id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,2167.675,"하루（Haru）",R,0,140,0.379,0.378,0,86.263,-142.248,0,0,0,0,2,L,"Fresh825",172.6,86,0.2,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.434,-37.275,-0.006,-17.063,-19.2,-48.162,-13.096,-64.647,24.33,-50.66,13.234,-64.726,41.864,-83.626,1.119,-116.193,-39.63,-96.173,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,2185.311,"하루（Haru）",R,13,89,-1.222,-0.352,2,-315.897,312.348,0,0,0,0,2,L,"Fresh825",172.6,86,0.2,2,83,2186.578,110,98,73,138,80,-40.956,42.109,-0.46,0.116,-0.185,0.157,0,0,0,-0.307,-36.98,-0.2,-17.37,-19.388,-48.919,-13.066,-64.598,24.393,-50.626,13.321,-64.567,41.88,-83.595,0.599,-116.264,-39.418,-95.741,2186.767,-0.943,-20.826,2189.034,2,"Pugeuk",-18.075,-40.659,0,0,0,0,0,0,0,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,2218.282,"하루（Haru）",R,0,94,0.784,0.831,0,0,0,0,0,0,1,4,R,"Megu3568",174.7,86,0.404,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173,-36.915,0.014,-16.91,-20.143,-49.912,-13.196,-64.795,24.657,-50.558,13.235,-64.818,39.006,-83.66,1.309,-113.214,-39.829,-91.215,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,1,1,0,0,0,255,255,255,3,2237.446,"하루（Haru）",R,0,139,-0.99,0.614,0,66.014,-115.411,0,0,0,1,4,R,"Megu3568",174.7,86,0.404,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126,-37.32,0.026,-16.896,-20.388,-49.722,-13.207,-64.787,24.725,-50.475,13.201,-64.77,39.036,-83.684,1.776,-116.124,-39.972,-91.229,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,2,1,0,0,0,255,255,255,4,2256.062,"하루（Haru）",R,0,130,0.426,1.656,2,50.586,-70.954,0,0,1,1,4,R,"Megu3568",174.7,86,0.404,3,59,2257.183,161,64,15,132,127,-14.281,33.035,0.57,0.098,0.065,0.106,0,0,0,-0.648,-37.047,0.012,-17.136,-20.168,-49.916,-13.166,-64.706,24.736,-50.355,13.367,-64.665,39.024,-83.666,-2.263,-113.708,-43.611,-93.681,2257.401,-3.15,-23.723,2258.584,2,"Pugeuk",-18.745,-46.735,0,0,0,0,0,0,0,2
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,2287.54,"하루（Haru）",R,13,103,-2.441,-1.604,1,-365.589,312.348,0,0,0,2,7,R,"Gonyong",179.9,95,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.328,-37.09,-0.192,-16.946,-21.455,-50.365,-13.047,-64.661,24.566,-50.884,13.263,-64.794,39.31,-83.694,-1.569,-112.356,-39.9,-93.554,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,0,2,0,0,0,255,255,255,6,2302.936,"하루（Haru）",R,0,135,-0.757,1.22,1,57.622,-98.133,0,0,0,2,7,R,"Gonyong",179.9,95,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-37.318,-0.102,-16.875,-21.513,-50.331,-13.065,-64.683,24.648,-50.842,13.305,-64.749,39.339,-83.667,-0.721,-111.101,-39.898,-93.543,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,2,0,2,0,0,0,255,255,255,7,2318.778,"하루（Haru）",R,0,138,0.383,-1.026,2,162.118,-75.899,0,0,1,2,7,R,"Gonyong",179.9,95,0.2,3,59,2319.648,172,99,22,144,117,33.279,20.74,0.17,-0.056,-0.047,0.203,0,0,0,-0.241,-36.894,-0.056,-17.221,-21.334,-50.446,-13.016,-64.606,23.443,-49.643,13.488,-64.811,37.943,-85.247,-0.87,-112.392,-39.889,-93.535,0,0,0,2324.951,8,"卯月満開",-41.011,-106.581,0,0,0,0,0,0,0,1
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,2535.758,"Pring__",R,0,132,-0.409,-0.465,0,250,-76.945,0,0,0,0,2,R,"Pugeuk",190,97,0.598,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37,-37.801,-0.263,-16.917,-24.224,-48.678,-14.467,-64.195,19.097,-48.196,10.584,-63.288,35.512,-87.129,-0.538,-109.163,-42.672,-89.739,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,1,0,0,0,0,255,255,255,1,2552.217,"Pring__",R,3,96,-1.651,-0.523,1,-436.364,0,0,0,0,0,2,R,"Pugeuk",190,97,0.598,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153,-37.971,-0.259,-16.948,-24.194,-48.557,-14.548,-64.158,19.158,-48.19,10.55,-63.262,35.506,-87.139,-0.58,-109.172,-42.89,-89.252,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,2,0,0,0,0,255,255,255,2,2572.876,"Pring__",R,0,128,2.648,0.861,2,239.886,-75.594,0,0,1,0,2,R,"Pugeuk",190,97,0.598,3,59,2573.913,64,67,20,83,67,-49.421,-51.69,-0.48,-0.007,-0.134,0.021,0,0,0,0.118,-37.103,0.162,-17.101,-24.15,-48.552,-14.508,-64.13,18.977,-47.967,10.481,-63.277,35.518,-87.142,-0.268,-108.993,-45.023,-89.479,2574.117,1.848,-20.853,2577.134,4,"Megu3568",25.659,-41.282,0,0,0,0,0,0,0,2
12,1,0,0,0,0,2,0,0,0,0,255,255,255,3,2593.148,"Pring__",R,3,113,-1.633,-0.464,4,-500,0,0,0,1,0,2,R,"Pugeuk",190,97,0.598,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123,-37.969,-0.519,-17.021,-24.292,-47.746,-14.779,-63.937,18.859,-48.76,9.351,-62.604,36.721,-85.07,0.373,-107.742,-44.102,-92.255,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,1,0,0,0,255,255,255,4,2621.842,"Pring__",R,14,100,1.35,-1.694,1,321.408,353.558,0.375,-18.4,0,1,4,R,"bdg06213",190,99.549,0.504,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188,-37.918,0.191,-17.073,-25.161,-49.104,-13.145,-64.283,18.898,-48.74,9.421,-62.54,37.155,-84.393,0.655,-102.07,-38.515,-86.401,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,1,0,1,0,0,0,255,255,255,5,2639.985,"Pring__",R,0,138,1.604,-0.469,2,247.16,-79.403,0,0,1,1,4,R,"bdg06213",190,99.549,0.504,3,59,2641.062,113,98,8,135,84,9.14,6.622,-0.54,-0.055,-0.155,0.076,0,0,0,-0.003,-37.421,0.163,-17.226,-25.024,-48.973,-13.138,-64.166,18.716,-48.575,9.42,-62.543,37.197,-84.416,0.536,-101.816,-37.11,-87.183,2643.634,-5.957,-66.293,2645.551,7,"Gonyong",-7.2,-85.496,1,0,0,0,0,0,0,2
