id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1596.258,"Espressο",R,0,140,-0.471,-0.432,2,161.177,-172.968,0,0,1,0,5,R,"즉석카레",169.8,99.808,0.397,3,43,1597.025,193,81,107,152,124,-23.514,31.082,0.51,-0.119,-0.16,0.073,0,0,0,-0.169,-37.013,-0.103,-16.459,-20.617,-47.468,-11.955,-62.822,21.941,-52.709,11.814,-62.666,35.808,-87.986,-3.168,-101.448,-35.011,-89.588,1596.939,-0.741,-21.179,1600.17,8,"あくせる",-37.461,-85.061,1,0,0,0,0,0,0,2
2,1,1,0,0,0,0,0,1,0,0,5,255,255,1,1636.235,"Espressο",R,0,140,2.291,1.571,1,136.62,-160.159,0,0,0,1,3,R,"_앰프_",170.6,89.947,0.4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,-37.322,-0.027,-16.259,-20.202,-42.965,-9.349,-62.24,19.047,-48.387,9.833,-64.144,32.133,-84.468,-4.939,-99.952,-35.2,-85.823,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,0,0,1,0,0,5,255,255,2,1648.595,"Espressο",R,3,127,0.139,-0.257,0,-419.969,139.111,-0.431,-16.578,0,1,3,R,"_앰프_",170.6,89.947,0.4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,-37.377,-0.255,-16.507,-19.375,-44.314,-11.186,-62.317,18.811,-48.417,8.038,-63.791,32.819,-83.746,-5.413,-99.521,-35.144,-85.69,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,1,0,1,0,0,5,255,255,3,1667.055,"Espressο",R,13,96,-2.647,-0.514,1,-308.803,353.27,0,0,0,1,3,R,"_앰프_",170.6,89.947,0.4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,-37.376,-0.513,-16.456,-19.429,-44.018,-11.053,-62.233,18.821,-48.612,5.987,-63.149,32.608,-83.393,-5.355,-99.899,-35.052,-85.807,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,1,0,1,0,0,5,255,255,4,1708.774,"Espressο",R,10,117,-0.263,-2.401,1,0,400,-0.06,-19.761,0,1,3,R,"_앰프_",170.6,89.947,0.4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,-37.305,-0.171,-16.467,-19.63,-43.485,-8.673,-62.982,18.332,-49.312,6.436,-63.048,36.497,-84.348,-5.271,-99.055,-34.028,-88.492,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,3,1,0,1,0,0,5,255,255,5,1722.126,"Espressο",R,0,140,1.051,0.582,2,96.434,-128.283,0,0,1,1,3,R,"_앰프_",170.6,89.947,0.4,3,57,1723.081,186,112,23,149,86,42.689,-20.193,-0.51,-0.012,-0.062,0.525,0,0,0,0.246,-37.254,-0.001,-16.44,-20.175,-44.03,-10.619,-62.391,18.307,-49.242,9.652,-64.235,36.143,-84.341,-5.214,-99.025,-33.949,-88.554,1728.188,25.745,-75.041,1728.467,6,"ぐだもん",24.771,-72.968,0,0,0,0,0,0,0,1
7,1,1,0,0,0,0,1,1,0,0,5,255,255,6,1766.245,"Espressο",R,0,140,0.948,0.583,0,98.564,-147.293,0,0,0,2,7,R,"-라후이-",179.9,100.263,0.498,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392,-37.197,0.014,-16.42,-19.228,-42.646,-9.832,-61.728,18.905,-48.896,8.695,-65.229,36.31,-85.492,-7.471,-97.929,-34.518,-87.919,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,1,1,0,0,5,255,255,7,1784.004,"Espressο",R,13,112,-0.225,0.237,0,-362.536,344.337,0,0,0,2,7,R,"-라후이-",179.9,100.263,0.498,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.728,-37.744,0.247,-19.533,-18.847,-44.213,-8.868,-62.076,18.666,-48.922,-1.123,-58.099,32.182,-86.468,-7.416,-97.984,-34.633,-88.106,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,2,1,0,1,0,255,5,255,8,1813.174,"Espressο",R,0,140,-0.114,0.147,0,84.914,-132.2,0,0,1,2,7,R,"-라후이-",179.9,100.263,0.498,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,-37.191,0.063,-16.97,-19.99,-45.231,-11.09,-63.09,18.314,-46.625,7.3,-62.313,32.921,-85.34,-8.394,-98.873,-34.764,-88.686,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,2,0,1,0,255,5,255,9,1840.317,"Espressο",R,0,140,-0.021,-0.262,2,137.885,-130.953,0,0,1,3,1,R,"DoYaGee",190,107,0.601,3,57,1841.24,103,65,30,131,84,108.41,-69.838,-0.09,-0.102,-0.105,0.112,0,0,0,-0.359,-36.696,0.065,-16.473,-19.991,-48.202,-11.611,-63.114,18.183,-48.328,7.444,-60.73,33.746,-85.554,-8.7,-98.779,-35.975,-89.243,1846.243,-53.019,4.958,0,0,"",0,0,0,0,0,0,0,0,0,0
