id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1336.57,"アリアル",R,0,132,1.185,1.447,0.082,1.545,-36.819,1,0,0,0,0,0,0,0,0,3,R,"_앰프_",170.6,89.947,0.4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,-37.518,"눈꽃",0.088,-16.956,"Slaris",-20.953,-49.604,"아침땅_",-14.94,-63.727,"_이누_",18.154,-50.351,"coder_",11.655,-65.655,"소솨소솨",29.155,-81.622,"ke ro",0.897,-114.305,"Sabo_10",-40.897,-84.931,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1352.402,"アリアル",R,0,140,2.075,0.556,0.101,1.504,-36.854,4,0,0,0,0,-0.265,-20.387,1,0,3,R,"_앰프_",170.6,89.947,0.4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,-37.613,"눈꽃",0.029,-17.177,"Slaris",-21.081,-49.669,"아침땅_",-14.937,-63.73,"_이누_",16.543,-48.388,"coder_",11.126,-65.562,"소솨소솨",28.083,-81.974,"ke ro",0.372,-114.488,"Sabo_10",-40.589,-84.321,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1372.035,"アリアル",R,0,131,2.185,1.124,0.151,1.523,-36.792,4,0,0,0,0,0,0,1,0,3,R,"_앰프_",170.6,89.947,0.4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,-37.483,"눈꽃",-0.047,-16.911,"Slaris",-21.031,-49.581,"아침땅_",-14.19,-64.066,"_이누_",18.58,-50.347,"coder_",11.106,-66.158,"소솨소솨",28.07,-81.971,"ke ro",1.19,-114.427,"Sabo_10",-41.251,-84.908,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1387.481,"アリアル",R,3,126,-3.035,1.121,0.129,1.294,-37.103,1,0,-483.486,0,7.829,0,0,0,0,3,R,"_앰프_",170.6,89.947,0.4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,-37.618,"눈꽃",-0.421,-16.91,"Slaris",-21.307,-50.745,"아침땅_",-15.37,-63.461,"_이누_",16.323,-48.965,"coder_",11.075,-66.209,"소솨소솨",28.092,-81.968,"ke ro",0.16,-113.874,"Sabo_10",-39.892,-82.836,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,1401.033,"アリアル",R,0,140,0.845,0.792,0.029,1.524,-36.845,0,0,0,0,0,0,0,1,0,3,R,"_앰프_",170.6,89.947,0.4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,-37.328,"눈꽃",0.051,-17.008,"Slaris",-21.477,-50.069,"아침땅_",-14.391,-63.871,"_이누_",19.245,-48.33,"coder_",11.318,-66.2,"소솨소솨",28.089,-81.988,"ke ro",-0.667,-112.314,"Sabo_10",-39.304,-81.708,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,1423.168,"アリアル",R,0,138,0.828,0.843,0.026,1.512,-36.778,0,0,0,0,0,0,0,0,1,8,R,"-라후이-",179.7,95.263,0.498,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,-37.614,"눈꽃",0.071,-16.835,"Slaris",-22.031,-52.247,"아침땅_",-14.601,-63.816,"_이누_",20.04,-51.311,"coder_",11.398,-66.23,"소솨소솨",30.99,-85.057,"ke ro",-0.22,-112.912,"Sabo_10",-41.795,-86.957,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,1,1,0,0,0,255,255,255,6,1436.724,"アリアル",R,3,126,-3.215,0.569,-0.061,1.523,-36.982,4,0,-500,0,10.108,0,0,1,1,8,R,"-라후이-",179.7,95.263,0.498,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,-37.531,"눈꽃",-0.427,-16.861,"Slaris",-22.915,-50.835,"아침땅_",-14.608,-63.836,"_이누_",20.029,-51.316,"coder_",11.349,-66.242,"소솨소솨",31.057,-85.059,"ke ro",-0.219,-112.918,"Sabo_10",-39.712,-85.033,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,2,1,0,0,0,255,255,255,7,1449.498,"アリアル",R,0,140,0.861,1.616,0.117,1.637,-36.847,4,0,0,0,0,0,0,1,1,8,R,"-라후이-",179.7,95.263,0.498,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,-37.425,"눈꽃",0.063,-16.806,"Slaris",-21.949,-52.026,"아침땅_",-14.168,-64.054,"_이누_",20.13,-51.377,"coder_",11.393,-66.215,"소솨소솨",31.038,-85.048,"ke ro",-0.221,-112.907,"Sabo_10",-38.998,-83.406,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,1467.995,"アリアル",R,0,137,1.212,1.283,0.058,1.535,-36.752,4,0,0,0,0,0,0,1,2,1,R,"Dοpi",179.6,90,0.3,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,-37.503,"눈꽃",-0.357,-16.802,"Slaris",-22.315,-52.771,"아침땅_",-14.629,-63.834,"_이누_",20.171,-52.27,"coder_",11.217,-65.978,"소솨소솨",30.132,-85.304,"ke ro",-0.277,-108.003,"Sabo_10",-40.631,-84.739,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,2,0,0,0,255,255,255,9,1482.16,"アリアル",R,0,132,1.046,2.283,0.062,1.678,-36.814,4,0,0,0,0,0,0,1,2,1,R,"Dοpi",179.6,90,0.3,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,-37.496,"눈꽃",-0.096,-16.764,"Slaris",-22.309,-52.728,"아침땅_",-14.626,-63.816,"_이누_",21.765,-54.228,"coder_",11.913,-65.639,"소솨소솨",29.835,-85.335,"ke ro",-0.274,-107.994,"Sabo_10",-40.968,-84.099,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
11,1,1,0,0,0,2,2,0,0,0,255,255,255,10,1497.378,"アリアル",R,3,108,4.678,-1.626,0.577,1.509,-37.593,3,0,-490.909,0,5.473,0.991,-20.797,0,2,1,R,"Dοpi",179.6,90,0.3,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,-37.466,"눈꽃",0.014,-16.941,"Slaris",-22.404,-52.683,"아침땅_",-15.104,-63.493,"_이누_",20.138,-52.367,"coder_",12.069,-65.761,"소솨소솨",29.88,-85.308,"ke ro",-0.274,-107.996,"Sabo_10",-40.295,-82.921,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,6
12,1,1,0,0,0,0,2,1,0,0,1,255,255,11,1517.943,"アリアル",R,0,131,0.698,1.51,0.051,1.585,-36.774,2,0,0,0,0,0,0,1,3,7,R,"ByeolBam",174.9,90,0.496,2,58,1518.857,171,106,30,170,144,85,44.701,-11.394,-0.5,0.033,-0.083,0.257,0,0,0,0.083,-37.411,"눈꽃",0.063,-16.871,"Slaris",-21.067,-46.384,"아침땅_",-14.068,-64.108,"_이누_",20.928,-52.406,"coder_",11.221,-65.544,"소솨소솨",31.302,-87.21,"ke ro",-1.795,-111.812,"Sabo_10",-38.372,-90.536,0,0,0,1524.312,5,"coder_",13.3,-75.08,0,0,0,0,0,0,0,1
13,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1659.093,"siesta_aves",R,32,137,1.417,0.826,-0.182,1.515,-36.566,2,0,160.097,-7.673,8.457,0,0,1,0,5,R,"coder_",164.9,94.897,0.454,3,58,1660.138,104,78,25,130,134,106,-0.195,24.553,0.24,-0.189,-0.13,0.138,0,0,0,0.097,-37.768,"Dοpi",-0.412,-16.93,"Chunsik03",-21.721,-47.729,"_앰프_",-14.421,-63.368,"DoYaGee",19.402,-47.094,"즉석카레",15.585,-63.5,"Penguin_iDOL",39.288,-89.609,"ByeolBam",0.733,-105.775,"-라후이-",-41.348,-90.551,1660.895,-8.436,-36.784,1662.378,3,"_앰프_",-18.869,-59.949,0,0,0,0,0,0,0,2
14,1,0,0,0,0,0,1,0,0,0,255,255,255,1,1688.902,"siesta_aves",R,33,130,-0.016,-0.387,-0.039,1.356,-36.401,2,0,114.565,-40.864,6.572,0,0,1,1,9,L,"encounter v",190,100,0.447,3,58,1689.998,186,126,25,193,152,97,15.319,-26.022,-0.27,0.039,-0.143,0.489,0,0,0,0.153,-37.494,"Dοpi",0.252,-17.036,"Chunsik03",-20.96,-45.851,"_앰프_",-13.641,-63.875,"DoYaGee",22.465,-46.401,"즉석카레",15.196,-62.962,"Penguin_iDOL",37.909,-92.084,"ByeolBam",1.993,-106.572,"-라후이-",-40.742,-87.226,1693.095,35.889,-73.587,1699.712,6,"Penguin_iDOL",53.244,-98.683,1,0,0,0,0,0,0,2
15,1,0,0,0,0,0,1,0,1,0,255,9,255,2,1754.99,"siesta_aves",R,33,140,0.654,2.306,0.109,1.57,-36.612,2,0,146.592,-27.883,10.902,0,0,1,2,1,L,"눈꽃",190,94.886,0.496,3,58,1755.853,182,94,12,138,142,124,-1.7,6,0.77,0.019,0.017,0.091,0,0,0,0.132,-37.68,"Dοpi",0.556,-16.949,"Chunsik03",-21.054,-46.283,"_앰프_",-5.387,-62.01,"DoYaGee",19.617,-45.31,"즉석카레",14.438,-63.35,"Penguin_iDOL",42.214,-93.443,"ByeolBam",3.487,-107.009,"-라후이-",-34.897,-82.465,1756.345,-0.965,-35.759,1759.112,7,"ByeolBam",-2.41,-98.074,1,2,0,0,0,0,0,2
16,1,0,0,0,0,0,2,1,0,0,10,255,255,3,1793.525,"siesta_aves",R,0,118,-1.627,0.728,-0.144,1.574,-36.47,2,0,-19.817,0,4.674,0,0,1,3,8,L,"Sabo_10",184.7,94,0.597,3,58,1794.558,183,148,48,196,155,110,28.684,14.141,0.06,0.037,-0.094,0.347,0,0,0,0.113,-37.435,"Dοpi",-0.342,-16.968,"Chunsik03",-18.05,-44.443,"_앰프_",-12.23,-62.348,"DoYaGee",21.13,-45.367,"즉석카레",15.347,-62.672,"Penguin_iDOL",43.142,-86.549,"ByeolBam",0.731,-102.717,"-라후이-",-36.519,-85.495,0,0,0,1799.729,7,"ByeolBam",-9.452,-112.07,0,0,0,0,0,0,0,1
17,2,1,0,0,0,0,0,0,0,0,255,255,255,12,1851.796,"アリアル",R,0,135,0.779,1.096,0.095,1.572,-36.868,1,0,0,0,0,0,0,0,4,4,R,"DoYaGee",190,107,0.601,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,-37.695,"눈꽃",0.067,-16.829,"Slaris",-22.049,-52.087,"아침땅_",-14.26,-64.153,"_이누_",19.216,-51.493,"coder_",11.363,-65.451,"소솨소솨",28.523,-82.808,"ke ro",-1.835,-117.471,"Sabo_10",-37.232,-86.559,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
18,2,1,0,0,1,0,0,0,0,0,255,255,255,13,1862.845,"アリアル",R,0,134,0.122,0.781,0.083,1.513,-36.875,2,0,0,0,0,0,0,1,4,4,R,"DoYaGee",190,107,0.601,3,58,1863.862,120,88,42,97,140,88,89.534,81.265,-0.51,-0.086,-0.082,0.179,0,0,0,0.069,-37.262,"눈꽃",0.108,-16.86,"Slaris",-21.991,-51.507,"아침땅_",-14.24,-64.101,"_이누_",19.384,-51.694,"coder_",11.356,-65.949,"소솨소솨",28.542,-82.806,"ke ro",-2.63,-114.832,"Sabo_10",-37.777,-86.165,0,0,0,1870.428,1,"눈꽃",-5.687,-14.981,0,0,0,0,0,0,0,1
19,2,1,0,0,0,0,1,0,0,0,255,255,255,14,1891.897,"アリアル",R,0,140,2.819,0.414,0.103,1.557,-36.967,2,0,0,0,0,0,0,1,5,0,R,"siesta_aves",190,107,0.398,2,58,1893.036,108,77,42,88,137,79,29.196,30.613,-0.37,0.237,-0.092,0.137,0,0,0,0.221,-37.433,"눈꽃",0.058,-16.919,"Slaris",-21.367,-49.291,"아침땅_",-14.262,-64.331,"_이누_",18.711,-51.226,"coder_",10.715,-65.853,"소솨소솨",28.068,-83.977,"ke ro",-1.812,-108.27,"Sabo_10",-39.073,-85.353,0,0,0,1898.745,-1,"집으로_",-39.157,-77.874,0,0,0,0,0,0,0,1
20,2,1,0,0,0,0,2,0,0,0,255,255,255,15,1919.826,"アリアル",R,0,135,1.835,1.932,0.153,1.68,-36.822,3,0,0,0,0,-0.099,-20.659,0,6,2,R,"Chunsik03",179.5,103.23,0.392,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,-37.49,"눈꽃",0.081,-16.848,"Slaris",-23.101,-50.279,"아침땅_",-14.696,-63.888,"_이누_",18.832,-52.755,"coder_",10.83,-66.482,"소솨소솨",27.684,-83.316,"ke ro",-2.09,-101.864,"Sabo_10",-35.325,-79.455,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,6
21,2,1,0,0,0,0,2,1,0,0,2,255,255,16,1954.4,"アリアル",R,0,128,1.405,1.146,0.093,1.53,-36.695,2,0,0,0,0,0,0,1,7,6,R,"Penguin_iDOL",180.4,90.434,0.395,3,58,1955.531,206,73,16,100,140,84,29.6,14.825,-0.48,-0.02,-0.075,0.098,0,0,0,-0.1,-37.401,"눈꽃",0.101,-16.98,"Slaris",-21.261,-48.771,"아침땅_",-14.563,-63.754,"_이누_",18.233,-52.572,"coder_",9.661,-66.179,"소솨소솨",26.89,-84.181,"ke ro",-4.536,-104.147,"Sabo_10",-42.609,-86.259,1960.245,-20.554,-85.146,1961.112,7,"ke ro",-22.032,-89.609,1,0,0,0,0,0,0,2
22,2,1,0,0,0,0,2,1,1,0,6,2,255,17,1991.065,"アリアル",R,0,133,1.318,1.265,0.115,1.534,-36.767,2,0,0,0,0,0,0,1,8,5,R,"즉석카레",169.9,94.808,0.397,2,58,1991.935,172,130,89,90,154,87,90.992,39.161,-0.47,-0.157,-0.076,0.238,0,0,0,0.097,-37.447,"눈꽃",0.043,-17.007,"Slaris",-20.74,-49.421,"아침땅_",-14.34,-63.71,"_이누_",20.192,-51.79,"coder_",13.362,-63.611,"소솨소솨",25.654,-82.205,"ke ro",-2.835,-111.947,"Sabo_10",-35.824,-76.39,0,0,0,1998.562,1,"눈꽃",1.169,-13.602,0,0,0,0,0,0,0,1
23,2,0,0,0,0,0,0,0,0,0,255,255,255,4,2048.6,"siesta_aves",R,33,136,2.83,2.175,0.215,1.88,-36.713,3,0,133.572,-53.051,9.893,0,0,0,4,2,R,"Slaris",190,90,0.451,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176,-38.12,"Dοpi",-0.09,-16.803,"Chunsik03",-20.681,-46.852,"_앰프_",-13.317,-64.157,"DoYaGee",22.46,-50.541,"즉석카레",13.642,-64.158,"Penguin_iDOL",42.498,-91.651,"ByeolBam",-0.709,-109.84,"-라후이-",-39.472,-84.946,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,6
24,2,0,0,0,0,0,0,1,0,0,11,255,255,5,2161.25,"siesta_aves",R,32,140,-3.099,0.644,-0.336,1.561,-36.525,2,0,154.6,-24.439,13.781,0,0,1,5,4,R,"_이누_",190.4,90.187,0.5,2,68,2162.15,245,131,0,232,148,130,25.604,47.504,0.48,-0.079,-0.088,0.443,0,0,0,0.176,-37.213,"Dοpi",-0.371,-17.092,"Chunsik03",-19.485,-42.345,"_앰프_",-14.27,-63.198,"DoYaGee",21.73,-51.173,"즉석카레",13.391,-64.06,"Penguin_iDOL",38.672,-87.824,"ByeolBam",-0.16,-108.437,"-라후이-",-38.079,-84.1,2166.878,-87.63,-95.135,0,0,"",0,0,0,0,0,0,0,0,0,3
25,2,0,0,0,0,1,0,1,0,0,11,255,255,6,2184.698,"siesta_aves",R,3,128,-4.75,0.202,-0.298,1.482,-36.488,1,0,-421.14,0,4.832,0,0,0,5,4,R,"_이누_",190.4,90.187,0.5,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157,-38.587,"Dοpi",-0.685,-16.872,"Chunsik03",-19.09,-40.802,"_앰프_",-14.669,-62.939,"DoYaGee",21.468,-49.953,"즉석카레",11.131,-63.89,"Penguin_iDOL",38.986,-88.374,"ByeolBam",0.249,-106.838,"-라후이-",-44.926,-84.369,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
26,2,0,0,0,1,1,0,1,0,0,11,255,255,7,2204.3,"siesta_aves",R,0,139,-5.395,0.7,-0.493,1.579,-36.468,1,0,-29.075,0,8.082,-1.667,-17.14,0,5,4,R,"_이누_",190.4,90.187,0.5,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052,-38.386,"Dοpi",-0.629,-17.097,"Chunsik03",-19.369,-41.863,"_앰프_",-14.609,-61.736,"DoYaGee",22.173,-50.513,"즉석카레",12.165,-63.493,"Penguin_iDOL",39.809,-87.642,"ByeolBam",-0.385,-104.057,"-라후이-",-44.918,-81.374,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
27,2,0,0,0,2,1,0,1,0,0,11,255,255,8,2224.816,"siesta_aves",R,15,88,0.339,0.702,0.013,1.296,-36.842,0,0,0,-302.912,1.103,0,0,1,5,4,R,"_이누_",190.4,90.187,0.5,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126,-38.522,"Dοpi",0.07,-16.931,"Chunsik03",-18.931,-42.56,"_앰프_",-14.041,-62.609,"DoYaGee",22.393,-50.91,"즉석카레",10.874,-63.361,"Penguin_iDOL",37.566,-86.412,"ByeolBam",0.096,-104.621,"-라후이-",-44.236,-82.003,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
28,2,0,0,0,2,2,0,1,0,0,11,255,255,9,2240.521,"siesta_aves",R,10,115,-0.782,-2.529,0.04,1.442,-36.786,1,0,-117.854,266.357,-2.563,-0.147,-20.303,0,5,4,R,"_이누_",190.4,90.187,0.5,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104,-38.645,"Dοpi",-0.252,-17.319,"Chunsik03",-19.472,-40.367,"_앰프_",-14.348,-61.904,"DoYaGee",21.926,-49.488,"즉석카레",11.25,-64.399,"Penguin_iDOL",37.646,-86.323,"ByeolBam",-0.453,-105.966,"-라후이-",-42.615,-79.664,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
29,2,0,0,0,3,2,0,1,0,0,11,255,255,10,2261.563,"siesta_aves",R,4,127,-2.011,0.481,-0.128,1.535,-36.5,4,0,-172.025,0,5.257,0,0,1,5,4,R,"_이누_",190.4,90.187,0.5,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,-38.152,"Dοpi",-0.212,-16.94,"Chunsik03",-19.418,-40.617,"_앰프_",-14.982,-61.839,"DoYaGee",22.62,-49.428,"즉석카레",8.217,-63.928,"Penguin_iDOL",37.421,-86.376,"ByeolBam",-0.074,-105.11,"-라후이-",-40.869,-79.082,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
30,2,0,0,0,0,0,1,1,0,0,11,255,255,11,2312.482,"siesta_aves",R,37,138,2.745,-0.37,0.232,1.418,-36.53,2,0,73.472,86.021,2.135,0,0,1,6,7,R,"ke ro",160,98.21,0.47,2,57,2313.377,122,42,0,90,73,62,-9.352,-41.623,-0.46,-0.047,-0.079,0,0,0,0,0.292,-37.31,"Dοpi",0.088,-17.036,"Chunsik03",-19.555,-41.499,"_앰프_",-14.806,-61.15,"DoYaGee",20.866,-47.877,"즉석카레",13.318,-63.842,"Penguin_iDOL",36.805,-89.585,"ByeolBam",-1.393,-107.152,"-라후이-",-38.646,-79.98,2313.612,3,-21.685,2315.912,4,"DoYaGee",17.528,-41.347,1,0,0,0,0,0,0,2
31,2,0,0,0,0,0,2,0,0,1,255,255,16,12,2475.473,"siesta_aves",R,32,140,0.29,0.196,-0.031,1.469,-36.522,0,0,185.479,-12.561,7.121,0,0,0,7,3,R,"아침땅_",170.3,95,0.5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.085,-38.275,"Dοpi",-0.244,-17.053,"Chunsik03",-20.811,-45.174,"_앰프_",-13.657,-62.374,"DoYaGee",19.884,-43.293,"즉석카레",15.037,-63.1,"Penguin_iDOL",38.406,-88.591,"ByeolBam",-0.019,-108.018,"-라후이-",-36.565,-81.198,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
32,2,0,0,0,0,1,2,0,0,1,255,255,16,13,2488.803,"siesta_aves",R,32,138,-3.419,-0.942,-0.371,1.307,-36.476,4,0,168.84,35.538,10.112,0,0,1,7,3,R,"아침땅_",170.3,95,0.5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134,-38.339,"Dοpi",-0.536,-17.046,"Chunsik03",-20.85,-45.152,"_앰프_",-13.721,-63.298,"DoYaGee",19.788,-42.747,"즉석카레",14.086,-62.602,"Penguin_iDOL",38.198,-88.768,"ByeolBam",0.122,-102.366,"-라후이-",-37.727,-79.675,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
33,2,0,0,0,0,2,2,0,0,1,255,255,16,14,2504.792,"siesta_aves",R,33,137,-4.896,-1.058,-0.49,1.282,-36.48,1,0,110.133,13.557,8.716,0,0,0,7,3,R,"아침땅_",170.3,95,0.5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164,-38.262,"Dοpi",-0.641,-16.965,"Chunsik03",-21.148,-45.251,"_앰프_",-13.673,-61.475,"DoYaGee",19.599,-42.579,"즉석카레",14.679,-63.387,"Penguin_iDOL",38.359,-88.627,"ByeolBam",0.113,-102.395,"-라후이-",-38.36,-79.033,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
34,2,0,0,0,1,2,2,0,0,1,255,255,16,15,2519.78,"siesta_aves",R,10,108,-0.706,-2.053,-0.097,1.228,-36.637,1,0,-1.843,390.855,1.943,0,0,0,7,3,R,"아침땅_",170.3,95,0.5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047,-38.318,"Dοpi",-0.009,-17.035,"Chunsik03",-21.207,-45.535,"_앰프_",-15.019,-63.939,"DoYaGee",19.679,-41.656,"즉석카레",13.809,-62.932,"Penguin_iDOL",37.238,-90.803,"ByeolBam",-0.631,-104.856,"-라후이-",-37.98,-78.07,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
35,2,0,0,0,2,2,2,0,0,1,255,255,16,16,2532.525,"siesta_aves",R,33,134,-3.325,0.278,-0.353,1.483,-36.411,1,0,134.697,-7.882,10.61,0,0,0,7,3,R,"아침땅_",170.3,95,0.5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013,-38.189,"Dοpi",-0.393,-17.072,"Chunsik03",-20.675,-44.956,"_앰프_",-14.938,-63.698,"DoYaGee",19.475,-42.548,"즉석카레",13.982,-63.328,"Penguin_iDOL",38.033,-90.572,"ByeolBam",-0.515,-103.299,"-라후이-",-39.629,-79.387,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
36,2,0,0,0,3,2,2,0,0,1,255,255,16,17,2545.217,"siesta_aves",R,34,132,-2.116,0.089,-0.215,1.451,-36.381,1,0,55.959,-14.385,7.397,0,0,0,7,3,R,"아침땅_",170.3,95,0.5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,-37.833,"Dοpi",-0.197,-17,"Chunsik03",-20.149,-43.906,"_앰프_",-14.308,-62.188,"DoYaGee",19.551,-43.121,"즉석카레",13.237,-63.224,"Penguin_iDOL",37.876,-90.712,"ByeolBam",0.15,-104.275,"-라후이-",-39.477,-79.084,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,5
