id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1502.715,"Apple_Sherbet",R,14,103,1.247,-0.906,0.307,1.621,-36.441,0,0,350.007,332.082,50.958,0.864,-17.099,0,0,5,R,"coder_",165,94.897,0.345,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,-37.374,"TaeGeuk_",0.424,-17.547,"하루（Haru）",-21.367,-47.793,"장덕춘_",-13.666,-64.099,"bdg06213",23.629,-51.718,"Pugeuk",9.814,-65.564,"Azuner",36.923,-86.755,"ʚneul_ɞ",0.193,-108.403,"卯月満開",-37.432,-91.738,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1521.52,"Apple_Sherbet",R,32,140,0.919,-0.975,0.369,1.637,-36.391,0,0,218.278,-200,50.214,-0.021,-17.642,1,0,5,R,"coder_",165,94.897,0.345,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-37.233,"TaeGeuk_",0.198,-17.511,"하루（Haru）",-20.762,-46.962,"장덕춘_",-13.841,-64.59,"bdg06213",23.591,-51.678,"Pugeuk",10.375,-65.394,"Azuner",36.913,-86.75,"ʚneul_ɞ",0.139,-108.223,"卯月満開",-37.421,-91.716,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1538.768,"Apple_Sherbet",R,10,110,-0.468,-2.366,0.255,1.479,-36.302,4,0,0,400,48.554,0,0,1,0,5,R,"coder_",165,94.897,0.345,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524,-37.211,"TaeGeuk_",-0.655,-18.688,"하루（Haru）",-19.135,-44.301,"장덕춘_",-13.925,-64.614,"bdg06213",23.467,-51.806,"Pugeuk",8.348,-63.556,"Azuner",37.024,-86.694,"ʚneul_ɞ",0.533,-110.262,"卯月満開",-37.51,-91.849,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1569.135,"Apple_Sherbet",R,13,114,-0.716,0.391,0.337,1.837,-36.463,2,0,-358.423,348.616,47.564,0,0,1,1,9,L,"encounter v",190,95,0.447,3,59,1570.345,168,115,27,149,146,126,-30,-37.854,0.2,0.05,-0.198,0.294,0,0,0,0.102,-37.033,"TaeGeuk_",-0.42,-17.758,"하루（Haru）",-20.073,-47.263,"장덕춘_",-13.735,-64.637,"bdg06213",23.575,-51.815,"Pugeuk",9.599,-65.06,"Azuner",40.414,-86.383,"ʚneul_ɞ",1.59,-110.27,"卯月満開",-35.702,-92.05,1570.507,0.97,-20.813,1572.123,4,"bdg06213",22.226,-47.805,0,0,0,0,0,0,0,2
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,1603.496,"Apple_Sherbet",R,14,101,0.672,0.498,0.158,2.082,-36.5,2,0,293.959,384.06,31.713,0,0,1,2,1,L,"눈꽃",190,94.886,0.496,3,59,1604.549,155,148,33,196,147,108,-27.03,-39.33,0.89,0.011,0.006,0.037,0,0,0,0.011,-36.793,"TaeGeuk_",-0.322,-17.733,"하루（Haru）",-20.275,-47.498,"장덕춘_",-13.891,-64.194,"bdg06213",25.123,-52.076,"Pugeuk",11.017,-64.816,"Azuner",39.547,-87.629,"ʚneul_ɞ",0.396,-111.108,"卯月満開",-35.362,-88.535,1604.69,1.813,-21.915,1606.407,4,"bdg06213",22.72,-47.591,0,0,0,0,0,0,0,2
6,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1774.719,"アリアル",R,0,140,3.146,0.059,0.152,1.456,-36.942,1,0,0,0,0,0,0,0,0,0,R,"Apple_Sherbet",190,88.921,0.302,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,-37.529,"눈꽃",0.111,-16.951,"Slaris",-21.672,-48.844,"아침땅_",-14.177,-64.427,"_이누_",19.62,-51.41,"coder_",13.479,-67.33,"소솨소솨",35.315,-84.602,"ke ro",-0.177,-100.586,"Sabo_10",-45.44,-80.733,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,1,0,0,0,0,0,255,255,255,1,1786.838,"アリアル",R,0,131,0.61,-0.197,0.05,1.407,-36.756,0,0,0,0,0,0,0,0,0,0,R,"Apple_Sherbet",190,88.921,0.302,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014,-37.903,"눈꽃",-0.185,-16.882,"Slaris",-20.35,-51.007,"아침땅_",-14.158,-64.43,"_이누_",19.649,-51.445,"coder_",12.969,-67.686,"소솨소솨",35.301,-84.582,"ke ro",-0.19,-100.581,"Sabo_10",-45.112,-81.085,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,1,1,0,0,0,0,255,255,255,2,1800.663,"アリアル",R,0,128,1.645,0.751,0.117,1.427,-36.76,1,0,0,0,0,0,0,0,0,0,R,"Apple_Sherbet",190,88.921,0.302,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,-37.704,"눈꽃",-0.257,-16.947,"Slaris",-20.523,-50.926,"아침땅_",-14.116,-64.448,"_이누_",19.935,-51.289,"coder_",13.082,-66.827,"소솨소솨",35.353,-84.572,"ke ro",-0.392,-101.05,"Sabo_10",-44.564,-80.376,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,2,1,0,0,0,0,255,255,255,3,1814.089,"アリアル",R,0,125,1.77,0.274,0.092,1.404,-36.652,2,0,0,0,0,0,0,1,0,0,R,"Apple_Sherbet",190,88.921,0.302,3,59,1815.102,170,149,34,224,153,96,18.12,-6.055,-0.45,-0.042,-0.071,0.23,0,0,0,0.147,-37.342,"눈꽃",0.067,-16.979,"Slaris",-20.283,-50.968,"아침땅_",-14.115,-64.427,"_이누_",20.088,-51.389,"coder_",13.779,-67.068,"소솨소솨",35.208,-84.666,"ke ro",-0.516,-101.479,"Sabo_10",-45.645,-81.312,0,0,0,1819.14,7,"ke ro",6.045,-91.373,0,0,0,0,0,0,0,1
10,1,0,0,0,0,0,1,0,0,0,255,255,255,4,1849.583,"アリアル",R,3,126,0.864,-0.774,0.312,1.417,-37.031,0,0,-500,0,0.218,0,0,0,1,2,L,"하루（Haru）",190,107,0.55,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,-38.024,"눈꽃",0.028,-16.975,"Slaris",-20.76,-49.961,"아침땅_",-9.951,-66.308,"_이누_",23.933,-51.748,"coder_",13.854,-68.867,"소솨소솨",41.061,-77.616,"ke ro",1.178,-110.039,"Sabo_10",-39.696,-84.349,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
