id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1585.568,"なおｐ--",R,10,89,0.987,0.157,0.137,1.884,-36.703,0,0,0,400,11.042,0,0,0,0,6,R,"muyang_",172.1,90.462,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051,-37.374,"Kr_Luna",0.023,-17.336,"_Chun",-22.703,-51.894,"오띵__",-10.734,-66.283,"NABIMan",21.766,-50.621,"CVPileMaki",13.616,-64.861,"SFIDA",36.778,-86.658,"Multeinn",0.077,-101.448,"M_lunatic",-37.372,-85.937,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1603.542,"なおｐ--",R,0,140,1.916,0.927,0.166,1.668,-36.579,4,0,0,0,0,0.11,-20.457,1,0,6,R,"muyang_",172.1,90.462,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-37.446,"Kr_Luna",0.056,-17.891,"_Chun",-22.701,-51.81,"오띵__",-10.75,-66.307,"NABIMan",21.562,-49.558,"CVPileMaki",13.679,-64.772,"SFIDA",36.424,-85.543,"Multeinn",0.191,-100.705,"M_lunatic",-36.385,-83.416,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1626.876,"なおｐ--",R,0,131,0.447,1.318,0.042,1.704,-36.525,4,0,0,0,0,0,0,1,0,6,R,"muyang_",172.1,90.462,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106,-37.383,"Kr_Luna",0.046,-17.371,"_Chun",-22.828,-51.493,"오띵__",-10.724,-66.252,"NABIMan",21.49,-49.558,"CVPileMaki",13.577,-64.852,"SFIDA",36.451,-85.588,"Multeinn",0.682,-100.722,"M_lunatic",-36.39,-83.4,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1658.396,"なおｐ--",R,0,125,-2.19,-0.043,-0.204,1.487,-36.613,1,0,0,0,0,0,0,0,1,8,R,"-라후이-",190,95.263,0.498,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.268,-37.201,"Kr_Luna",-0.029,-17.191,"_Chun",-22.817,-51.057,"오띵__",-11.065,-66.089,"NABIMan",22.556,-50.974,"CVPileMaki",13.592,-64.831,"SFIDA",38.829,-88.403,"Multeinn",-0.368,-106.724,"M_lunatic",-40.211,-85.59,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,1677.183,"なおｐ--",R,0,133,1.91,1.275,0.178,1.74,-36.592,2,0,0,0,0,0,0,1,1,8,R,"-라후이-",190,95.263,0.498,2,59,1678.101,205,178,80,242,155,98,33.592,34.665,-0.33,-0.011,-0.043,0.344,0,0,0,0.015,-37.237,"Kr_Luna",0.067,-17.278,"_Chun",-22.859,-51.081,"오띵__",-10.963,-66.167,"NABIMan",23.43,-51.253,"CVPileMaki",13.577,-64.809,"SFIDA",38,-88.59,"Multeinn",1.142,-107.525,"M_lunatic",-40.188,-85.625,0,0,0,1683.297,8,"M_lunatic",-45.644,-83.773,0,0,0,0,0,0,0,1
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,1716.652,"なおｐ--",R,10,97,0.41,-2.517,0.057,1.827,-36.85,1,0,0,400,6.602,0.076,-20.394,0,2,1,R,"Dοpi",190,90,0.3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173,-37.443,"Kr_Luna",-0.018,-17.258,"_Chun",-22.336,-51.78,"오띵__",-11.01,-66.246,"NABIMan",22.047,-50.943,"CVPileMaki",13.547,-64.797,"SFIDA",37.31,-90.233,"Multeinn",-4.236,-104.984,"M_lunatic",-38.915,-86.75,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,0,2,0,0,0,255,255,255,6,1735.837,"なおｐ--",R,0,140,-0.13,1.332,-0.012,1.754,-36.594,4,0,0,0,0,0,0,1,2,1,R,"Dοpi",190,90,0.3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213,-37.241,"Kr_Luna",-0.09,-17.226,"_Chun",-22.29,-51.831,"오띵__",-11.04,-66.217,"NABIMan",22.213,-49.295,"CVPileMaki",13.521,-64.79,"SFIDA",37.309,-90.242,"Multeinn",-3,-104.154,"M_lunatic",-38.373,-86.67,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,1,2,0,0,0,255,255,255,7,1755.348,"なおｐ--",R,0,126,2.888,-0.075,0.231,1.487,-36.583,2,0,0,0,0,0,0,1,2,1,R,"Dοpi",190,90,0.3,3,59,1756.212,189,103,25,105,144,90,-40.781,-50.47,-0.48,-0.025,-0.052,0.041,0,0,0,-0.043,-37.057,"Kr_Luna",0.108,-17.251,"_Chun",-22.341,-51.906,"오띵__",-10.981,-66.144,"NABIMan",22.413,-50.238,"CVPileMaki",13.449,-64.732,"SFIDA",36.415,-88.273,"Multeinn",-3.382,-104.076,"M_lunatic",-38.382,-86.649,1756.413,1.937,-21.349,0,0,"",0,0,0,0,0,0,0,0,0,3
9,1,1,0,0,1,2,2,0,0,0,255,255,255,8,1778.356,"なおｐ--",R,3,99,0.139,0.042,0.284,1.576,-36.684,0,0,-356.946,83.245,1.164,0,0,1,2,1,R,"Dοpi",190,90,0.3,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.229,-37.806,"Kr_Luna",0.013,-17.203,"_Chun",-22.597,-50.843,"오띵__",-10.564,-66.174,"NABIMan",20.623,-48.679,"CVPileMaki",13.539,-64.818,"SFIDA",35.675,-84.596,"Multeinn",-2.179,-105.141,"M_lunatic",-38.593,-86.013,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1979.606,"Roscosmos",L,26,139,1.471,0.145,0.189,1.558,-36.651,0,0,-163.371,-200,-12.647,0,0,0,0,5,R,"CVPileMaki",169.7,94,0.395,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,-37.706,"Dοpi",0.073,-17.034,"siesta_aves",-22.041,-47.78,"_앰프_",-13.866,-64.199,"ByeolBam",23.482,-51.516,"즉석카레",11.103,-65.449,"muyang_",36.826,-84.712,"vovopo 보보포",-1.866,-104.314,"-라후이-",-40.519,-89.008,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
