id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,2044.399,"559：広告",R,26,138,1.025,1.049,0.057,1.951,-36.542,2,0,145.004,-154.588,10.642,0,0,1,0,6,R,"Apple_Sherbet",179,88.926,0.272,3,59,2045.355,124,93,34,135,141,84,38.165,-7.965,-0.47,-0.051,-0.03,0.197,0,0,0,-0.043,-37.581,"ゆっち一",0.029,-16.662,"CAT tourniquet",-21.725,-48.227,"mochi_2929",-11.05,-61.228,"にゃんこ3K",21.254,-53.082,"檸檬の残骸",12.035,-62.706,"sano jpn",33.031,-87.885,"alcohol500",-1.506,-100.286,"あくせる",-36.475,-79.373,2050.203,8.179,-83.65,2050.552,7,"alcohol500",8.111,-83.094,1,0,0,0,0,0,0,2
2,1,1,0,0,0,0,0,1,0,0,6,255,255,1,2077.09,"559：広告",R,27,137,-0.285,0.726,-0.053,1.896,-36.411,0,0,102.218,-141.757,4.757,0,0,1,1,9,R,"TaeGeuk_",177.3,92.367,0.435,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.187,-37.68,"ゆっち一",-0.035,-16.338,"CAT tourniquet",-19.249,-41.453,"mochi_2929",-7.583,-60.535,"にゃんこ3K",19.091,-46.699,"檸檬の残骸",7.627,-61.323,"sano jpn",32.461,-83.485,"alcohol500",-1.851,-99.241,"あくせる",-35.822,-78.673,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,1,0,1,0,0,6,255,255,2,2090.726,"559：広告",R,28,136,-0.728,0.374,-0.09,1.848,-36.349,0,0,89.54,-97.751,2.083,0,0,1,1,9,R,"TaeGeuk_",177.3,92.367,0.435,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.186,-37.926,"ゆっち一",-0.044,-16.468,"CAT tourniquet",-19.475,-41.473,"mochi_2929",-10.048,-60.595,"にゃんこ3K",19.051,-46.685,"檸檬の残骸",5.947,-62.288,"sano jpn",31.75,-85.122,"alcohol500",-2.004,-99.543,"あくせる",-35.891,-78.546,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,2,0,1,0,0,6,255,255,3,2105.423,"559：広告",R,4,133,-2.105,-1.033,-0.133,1.639,-36.426,2,0,-180.877,5.863,-1.995,0,0,1,1,9,R,"TaeGeuk_",177.3,92.367,0.435,3,72,2106.211,171,96,80,64,150,122,106.676,-64.028,0.65,-0.142,-0.23,0.055,0,0,0,-0.411,-37.28,"ゆっち一",-0.255,-16.577,"CAT tourniquet",-20.578,-43.075,"mochi_2929",-10.675,-60.805,"にゃんこ3K",19.363,-47.13,"檸檬の残骸",9.215,-63.011,"sano jpn",31.881,-85.137,"alcohol500",-1.814,-99.701,"あくせる",-35.874,-78.573,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
5,1,1,0,0,0,2,0,1,0,0,6,255,255,4,2121.864,"559：広告",R,3,115,-1.065,-1.108,0.085,1.639,-36.723,2,0,-479.299,0,20.097,0,0,1,1,9,R,"TaeGeuk_",177.3,92.367,0.435,3,71,2122.823,160,55,29,99,134,128,110.021,-62.699,0.5,-0.07,-0.129,0.23,0,0,0,-0.45,-36.983,"ゆっち一",-0.788,-16.723,"CAT tourniquet",-19.779,-42.145,"mochi_2929",-12.174,-60.925,"にゃんこ3K",19.365,-47.466,"檸檬の残骸",9.847,-64.832,"sano jpn",31.244,-84.566,"alcohol500",-1.258,-101.741,"あくせる",-36.312,-77.315,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
6,1,1,0,0,0,2,0,1,0,0,6,255,255,5,2136.592,"559：広告",R,26,139,-1.151,0.981,-0.139,1.929,-36.471,0,0,124.693,-184.421,11.412,0,0,1,1,9,R,"TaeGeuk_",177.3,92.367,0.435,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.446,-37.785,"ゆっち一",-0.325,-17.323,"CAT tourniquet",-19.148,-40.716,"mochi_2929",-11.669,-61.222,"にゃんこ3K",19.373,-47.449,"檸檬の残骸",3.129,-62.573,"sano jpn",31.379,-85.861,"alcohol500",-1.726,-103.428,"あくせる",-36.575,-75.887,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,1,1,0,0,6,255,255,6,2186.05,"559：広告",R,32,140,0.613,-0.196,0.012,1.737,-36.477,2,0,166.674,-144.906,1.034,0,0,1,2,2,L,"하루（Haru）",190,107,0.55,3,59,2186.944,203,127,46,179,155,130,55.434,-43.977,0.23,0.046,-0.007,0.174,0,0,0,-0.469,-37,"ゆっち一",-0.088,-17.002,"CAT tourniquet",-19.326,-39.859,"mochi_2929",-8.729,-61.603,"にゃんこ3K",21.467,-46.583,"檸檬の残骸",7.461,-62.445,"sano jpn",37.277,-83.462,"alcohol500",2.618,-103.196,"あくせる",-26.631,-85.703,2193.786,84.875,-84.456,0,0,"",0,0,0,0,0,0,0,0,0,3
8,1,1,0,0,0,1,1,1,0,0,6,255,255,7,2213.011,"559：広告",R,13,109,-0.45,-1.143,0.081,1.718,-36.54,2,0,-227.74,400,-0.46,0,0,1,2,2,L,"하루（Haru）",190,107,0.55,3,59,2214.043,215,192,96,255,155,109,-30,14.343,0.91,0.113,-0.045,0,0,0,0,-0.146,-37.225,"ゆっち一",-0.032,-16.742,"CAT tourniquet",-19.137,-41.608,"mochi_2929",-11.059,-62.04,"にゃんこ3K",21.178,-47.18,"檸檬の残骸",13.681,-61.443,"sano jpn",40.661,-81.236,"alcohol500",4.619,-102.394,"あくせる",-29.174,-87.493,2214.136,-0.335,-22.085,2216.069,3,"mochi_2929",-9.251,-56.527,0,1,0,0,0,0,0,2
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,2344.485,"Azuner",R,0,127,-3.147,-2.034,-0.293,1.003,-36.243,2,0,0,0,0,0,0,1,0,3,L,"mochi_2929",174.6,94.434,0.477,3,59,2345.569,150,115,38,130,144,127,30.594,-6.24,0.42,-0.026,-0.134,0.347,0,0,0,-0.1,-36.836,"HalF_HearteD",-0.039,-17.209,"하루（Haru）",-20.333,-48.204,"장덕춘_",-14.661,-63.83,"bdg06213",23.802,-52.155,"Pugeuk",13.525,-62.759,"Apple_Sherbet",39.502,-84.497,"Oort__Cloud",2.462,-108.997,"卯月満開",-39.657,-93.1,2350.669,32.302,-123.406,2352.919,7,"Oort__Cloud",24.426,-118.731,1,0,0,0,0,0,0,2
10,1,0,0,0,0,0,0,0,1,0,255,12,255,1,2379.09,"Azuner",R,0,136,-2.836,0.687,-0.264,1.445,-36.318,1,0,0,0,0,0,0,0,1,6,R,"sano jpn",170.1,99.636,0.323,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179,-37.719,"HalF_HearteD",0.025,-16.816,"하루（Haru）",-20.44,-45.071,"장덕춘_",-14.128,-63.442,"bdg06213",24.067,-50.143,"Pugeuk",3.716,-63.946,"Apple_Sherbet",41.928,-88.76,"Oort__Cloud",-3.395,-115.843,"卯月満開",-40.903,-91.823,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
