id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,270.042,"인생최패망자",R,26,140,-0.697,-0.464,-0.058,1.564,-36.263,0,0,-28.316,-200,0,0,0,0,0,5,R,"muyang_",172.1,90.462,0.5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003,-37.521,0,"Pring__",0.037,-16.898,0,"Fresh825",-22.943,-47.237,0,"ʚEveɞ",-14.023,-64.292,0,"HANA_ARASHI",24.097,-51.878,0,"Yaksok~",11.885,-63.443,0,"IbikiKai_JP",37.852,-90.632,0,"Gonyong",-8.615,-98.335,0,"SOM_candy",-38.401,-81.958,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,284.978,"인생최패망자",R,13,90,-1.02,-0.885,0.096,1.721,-36.402,0,0,-319.446,312.348,0,-0.39,-17.321,0,0,5,R,"muyang_",172.1,90.462,0.5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-37.06,0,"Pring__",-0.068,-16.913,0,"Fresh825",-23.073,-47.066,0,"ʚEveɞ",-13.114,-64.995,0,"HANA_ARASHI",22.385,-51.636,0,"Yaksok~",10.522,-62.158,0,"IbikiKai_JP",38.07,-90.936,0,"Gonyong",-9.6,-97.813,0,"SOM_candy",-38.234,-81.793,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,299.029,"인생최패망자",R,27,140,2.529,1.205,0.223,1.843,-36.446,3,0,55.435,-121.9,0,0.389,-20.212,0,0,5,R,"muyang_",172.1,90.462,0.5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,-37.167,0,"Pring__",0.091,-17.159,0,"Fresh825",-23.104,-47.093,0,"ʚEveɞ",-13.181,-64.978,0,"HANA_ARASHI",23.601,-51.097,0,"Yaksok~",10.532,-62.178,0,"IbikiKai_JP",37.059,-89.284,0,"Gonyong",-9.57,-97.785,0,"SOM_candy",-39.206,-82.228,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,6
4,1,1,0,0,0,0,0,1,0,0,5,255,255,3,329.088,"인생최패망자",R,13,91,-0.656,-0.833,0.103,1.663,-36.454,0,0,-312.607,327.428,0,0,0,0,1,0,R,"-라후이-",190,95,0.498,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.062,-37.22,0,"Pring__",-0.222,-16.923,0,"Fresh825",-18.384,-39.579,0,"ʚEveɞ",-13.323,-63.31,0,"HANA_ARASHI",23.112,-52.716,0,"Yaksok~",6.691,-62.755,0,"IbikiKai_JP",38.213,-91.112,0,"Gonyong",-11.635,-110.328,0,"SOM_candy",-47.441,-93.136,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,1,0,1,0,0,5,255,255,4,348.646,"인생최패망자",R,13,90,0.437,-1.611,0.376,1.523,-36.554,2,0,-307.372,329.95,0,0,0,1,1,0,R,"-라후이-",190,95,0.498,3,35,349.719,152,23,83,130,79,90,143,110,-8.235,39.03,0.89,-0.053,-0.187,0,0,-0.235,-37.055,0,"Pring__",0.105,-17.156,0,"Fresh825",-18.49,-39.459,0,"ʚEveɞ",-13.28,-63.308,0,"HANA_ARASHI",24.564,-51.318,0,"Yaksok~",9.787,-62.354,0,"IbikiKai_JP",38.163,-91.084,0,"Gonyong",-11.983,-110.759,0,"SOM_candy",-46.429,-91.68,0,346.077,-2.221,-24.105,347.177,2,"Fresh825",-17.558,-41.367,0,0,0,0,0,0,0,2
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,386.329,"인생최패망자",R,10,100,-1.494,-1.889,0.053,1.583,-36.529,1,0,-76.253,400,0,-0.317,-18.957,0,2,1,R,"Dοpi",179.8,90,0.3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,-37.472,0,"Pring__",-0.306,-16.787,0,"Fresh825",-23.106,-47.942,0,"ʚEveɞ",-13.411,-64.239,0,"HANA_ARASHI",24.373,-51.832,0,"Yaksok~",9.246,-61.834,0,"IbikiKai_JP",37.96,-92.531,0,"Gonyong",-5.695,-110.309,0,"SOM_candy",-37.785,-83.457,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,0,2,0,0,0,255,255,255,6,403.163,"인생최패망자",R,26,140,0.831,0.794,0.083,1.78,-36.413,0,0,-19.49,-183.027,0,0,0,1,2,1,R,"Dοpi",179.8,90,0.3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,-37.407,0,"Pring__",0.029,-16.854,0,"Fresh825",-23.408,-47.566,0,"ʚEveɞ",-14.399,-63.94,0,"HANA_ARASHI",24.889,-51.181,0,"Yaksok~",9.739,-63.015,0,"IbikiKai_JP",38.099,-92.75,0,"Gonyong",-7.144,-110.241,0,"SOM_candy",-37.823,-83.576,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,1,2,0,0,0,255,255,255,7,417.466,"인생최패망자",R,26,139,1.062,1.488,0.098,1.895,-36.435,1,0,1.247,-200,0,0,0,0,2,1,R,"Dοpi",179.8,90,0.3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,-37.251,0,"Pring__",0.137,-17.159,0,"Fresh825",-23.118,-47.569,0,"ʚEveɞ",-13.572,-64.263,0,"HANA_ARASHI",24.335,-51.31,0,"Yaksok~",9.693,-63.006,0,"IbikiKai_JP",38.241,-92.789,0,"Gonyong",-7.253,-110.241,0,"SOM_candy",-37.744,-83.443,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,2,1,2,0,0,0,255,255,255,8,431.613,"인생최패망자",R,26,140,0.955,0.492,0.084,1.726,-36.438,2,0,17.329,-187.711,0,0,0,1,2,1,R,"Dοpi",179.8,90,0.3,3,34,432.57,48,15,55,54,43,72,64,64,20.931,-18.431,-0.46,-0.019,-0.01,0,0,-0.204,-37.005,0,"Pring__",0.116,-16.949,0,"Fresh825",-23.081,-47.543,0,"ʚEveɞ",-13.633,-64.27,0,"HANA_ARASHI",24.115,-51.459,0,"Yaksok~",9.699,-63.014,0,"IbikiKai_JP",38.093,-92.736,0,"Gonyong",-7.236,-110.278,0,"SOM_candy",-38.166,-83.706,0,0,0,0,431.477,5,"Yaksok~",11.571,-53.47,0,0,0,0,0,0,0,1
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,546.972,"-라후이-",R,26,140,1.504,-0.206,0.235,1.621,-36.283,4,0,16.806,-176.266,9.836,0,0,1,0,3,L,"ʚEveɞ",165.4,94.542,0.398,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,-37.309,0,"Dοpi",0.102,-16.847,0,"siesta_aves",-21.001,-45.931,0,"즉석카레",-13.779,-63.914,0,"peperon8655",20.368,-45.813,0,"muyang_",13.419,-63.467,0,"Roscosmos",39,-81.058,0,"ByeolBam",1.374,-112.043,0,"Penguin_iDOL",-36.652,-86.801,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
