id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1918.074,"_Chun",L,28,140,-2.109,0.099,-0.167,1.561,-36.507,1,0,-66.094,-79.031,-2.143,0,0,0,0,8,L,"-Alta-",180.1,80,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188,-37.769,0,"Kr_Luna",-0.001,-17.289,0,"_AKASATA_",-21.458,-49.343,0,"오띵__",-13.016,-65.185,0,"NABIMan",21.678,-48.88,0,"CVPileMaki",13.54,-64.794,0,"SFIDA",36.641,-92.229,0,"Multeinn",-3.817,-105.29,0,"M_lunatic",-37.828,-86.927,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1936.89,"_Chun",L,27,135,-1.109,0.422,-0.103,1.627,-36.534,2,0,-52.057,-113.585,-4.928,0,0,1,0,8,L,"-Alta-",180.1,80,0.5,3,59,1937.901,30,3,87,34,5,103,29,42,23.147,-14.374,-0.49,0.016,-0.053,0.088,0.048,-0.071,-37.153,0,"Kr_Luna",-0.058,-17.333,0,"_AKASATA_",-21.704,-49.073,0,"오띵__",-13.004,-65.157,0,"NABIMan",21.802,-49.011,0,"CVPileMaki",13.483,-64.787,0,"SFIDA",36.656,-92.276,0,"Multeinn",-4.043,-104.487,0,"M_lunatic",-39.912,-85.881,0,0,0,0,1939.962,0,"_Chun",3.788,-34.963,0,0,0,0,0,0,0,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,1969.167,"_Chun",L,27,135,-1.187,0.45,-0.098,1.53,-36.464,2,0,-46.957,-117.452,-12.488,0,0,1,1,5,L,"shimenawa",175,94.582,0.2,3,97,1970.256,90,20,82,42,14,71,134,86,46.883,-9.431,-0.46,-0.029,-0.029,0.1,0,-0.075,-37.13,0,"Kr_Luna",-0.07,-17.329,0,"_AKASATA_",-20.22,-46.849,0,"오띵__",-13.03,-65.133,0,"NABIMan",22.376,-50.445,0,"CVPileMaki",13.555,-64.751,0,"SFIDA",39.39,-96.766,0,"Multeinn",6.549,-108.153,0,"M_lunatic",-29.132,-93.101,0,1975.774,12.544,-75.399,1975.956,5,"CVPileMaki",12.167,-73.812,0,0,0,0,0,0,0,1
4,1,1,0,0,0,0,2,0,0,0,255,255,255,3,2002.499,"_Chun",L,6,119,0.041,0.56,0.185,1.659,-36.565,0,0,-451.896,4.219,-14.634,0,0,0,2,3,R,"甲斐野柊太",175.4,86,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,-37.529,0,"Kr_Luna",-0.042,-17.371,0,"_AKASATA_",-21.218,-47.908,0,"오띵__",-11.98,-61.792,0,"NABIMan",19.529,-47.744,0,"CVPileMaki",11.489,-63.451,0,"SFIDA",43.083,-91.173,0,"Multeinn",-3.336,-104.227,0,"M_lunatic",-37.937,-81.484,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,1,2,0,0,0,255,255,255,4,2022.618,"_Chun",L,28,131,1.002,0.422,0.054,1.657,-36.626,0,0,-32.336,-94.99,0.149,0,0,1,2,3,R,"甲斐野柊太",175.4,86,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092,-37.741,0,"Kr_Luna",-0.002,-17.293,0,"_AKASATA_",-21.465,-47.78,0,"오띵__",-13.053,-65.176,0,"NABIMan",18.564,-46.449,0,"CVPileMaki",13.251,-64.804,0,"SFIDA",42.666,-88.077,0,"Multeinn",-0.995,-105.288,0,"M_lunatic",-37.964,-81.477,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,2,2,0,0,0,255,255,255,5,2042.188,"_Chun",L,27,140,-2.968,0.713,-0.266,1.574,-36.515,2,0,-34.393,-118.71,-0.454,0,0,1,2,3,R,"甲斐野柊太",175.4,86,0.2,3,35,2043.201,183,11,87,66,40,67,143,117,18.432,17.163,0.79,-0.031,-0.011,0.038,0,-0.165,-37.229,0,"Kr_Luna",-0.355,-17.345,0,"_AKASATA_",-21.417,-46.828,0,"오띵__",-13.101,-65.155,0,"NABIMan",18.681,-47.112,0,"CVPileMaki",13.304,-64.781,0,"SFIDA",42.26,-88.299,0,"Multeinn",-1.33,-105.88,0,"M_lunatic",-37.966,-81.474,0,2048.555,-52.311,-115.824,0,0,"",0,0,0,0,0,0,0,0,0,4
7,1,1,1,0,0,0,2,0,0,0,255,255,255,6,2090.814,"_Chun",L,26,134,0.794,-0.157,0.098,1.506,-36.522,2,0,-55.018,-153.51,-5.413,0,0,0,3,1,R,"あおいぬ",190,85,0.495,3,60,2091.872,61,15,82,55,6,65,96,69,-37.904,24.352,-0.17,-0.021,-0.008,0.196,0,-0.098,-36.987,0,"Kr_Luna",0.11,-17.336,0,"_AKASATA_",-21.378,-48.291,0,"오띵__",-13.285,-65.002,0,"NABIMan",21.486,-48.812,0,"CVPileMaki",13.47,-64.78,0,"SFIDA",32.323,-102.413,0,"Multeinn",-8.515,-109.55,0,"M_lunatic",-43.793,-86.538,0,2091.992,-0.313,-20.337,2095.089,3,"오띵__",-16.967,-55.645,0,0,0,0,0,0,0,2
8,1,0,1,0,0,0,0,0,0,0,255,255,255,0,2285.022,"白霜らいふ",R,29,140,0.413,-1.703,0.063,1.269,-36.364,1,0,-250,-32.908,-112.434,-0.168,-17.367,0,0,5,R,"CVPileMaki",170,94,0.395,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,-37.636,0,"あおいぬ",-0.018,-17.169,0,"P0TA0",-22.324,-45.731,0,"甲斐野柊太",-14.556,-64.322,0,"Kenomo",18.12,-44.096,0,"shimenawa",15.754,-62.688,0,"紅さかな",45.468,-92.197,0,"わかなで",0.737,-120.218,0,"-Alta-",-43.996,-89.145,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,0,1,0,1,0,0,0,0,0,255,255,255,1,2299.717,"白霜らいふ",R,26,139,1.013,-0.332,0.135,1.438,-36.364,2,0,-190.887,-200,116.581,0,0,1,0,5,R,"CVPileMaki",170,94,0.395,3,59,2300.814,187,8,92,44,26,131,141,97,-30,47.242,0.03,-0.022,-0.048,0.092,0,0.255,-37.022,0,"あおいぬ",0.049,-17.085,0,"P0TA0",-22.383,-45.671,0,"甲斐野柊太",-14.478,-64.364,0,"Kenomo",17.62,-44.429,0,"shimenawa",16.118,-62.673,0,"紅さかな",45.405,-92.174,0,"わかなで",1.201,-116.545,0,"-Alta-",-44.03,-89.21,0,2301.01,-1.096,-19.082,2301.174,1,"あおいぬ",0.184,-20.357,0,0,0,0,0,0,0,2
10,1,0,1,0,1,1,0,0,0,0,255,255,255,2,2318.141,"白霜らいふ",R,32,126,1.718,0.971,0.261,1.746,-36.703,2,0,250,-49.398,-21.063,0,0,1,0,5,R,"CVPileMaki",170,94,0.395,3,59,2319.257,93,9,87,41,25,120,137,91,95.598,-75.342,-0.13,0.021,-0.026,0.106,0,0.182,-37.119,0,"あおいぬ",0.047,-16.997,0,"P0TA0",-23.188,-47.067,0,"甲斐野柊太",-13.973,-64.583,0,"Kenomo",20.014,-45.865,0,"shimenawa",15.594,-63.437,0,"紅さかな",43.886,-90.69,0,"わかなで",1.481,-116.409,0,"-Alta-",-43.306,-87.664,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
11,1,0,1,0,1,2,0,0,0,0,255,255,255,3,2338.938,"白霜らいふ",R,32,135,2.529,-0.654,0.175,1.392,-36.382,4,0,250,-178.378,-56.996,0,0,1,0,5,R,"CVPileMaki",170,94,0.395,3,68,2340.055,0,0,0,0,0,0,0,53,-81.411,75.95,0.91,0,0,0,0,0.276,-36.747,0,"あおいぬ",0.089,-17.061,0,"P0TA0",-23.264,-46.896,0,"甲斐野柊太",-14.98,-63.907,0,"Kenomo",20.345,-46.793,0,"shimenawa",15.3,-63.428,0,"紅さかな",42.809,-91.167,0,"わかなで",0.572,-114.436,0,"-Alta-",-46.104,-87.122,0,2340.259,0.347,-17.64,2340.543,1,"あおいぬ",0.623,-17.601,0,0,0,0,0,0,0,2
