id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1540.781,"Chunsik03",R,26,140,-0.355,1.263,-0.072,1.686,-36.614,4,0,153.022,-171.882,5.141,0,0,1,0,5,R,"CVPileMaki",169.6,94,0.395,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,-37.148,0,"-라후이-",-0.024,-17.029,0,"siesta_aves",-20.623,-44.918,0,"즉석카레",-14.795,-64.093,0,"Dοpi",20.103,-47.856,0,"muyang_",13.111,-61.608,0,"Roscosmos",40.956,-82.557,0,"ByeolBam",0.097,-110.529,0,"Penguin_iDOL",-41.567,-90.134,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1555.239,"Chunsik03",R,26,140,2.046,1.886,0.137,1.774,-36.641,4,0,183.268,-200,-4.009,0,0,1,0,5,R,"CVPileMaki",169.6,94,0.395,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,-37.184,0,"-라후이-",0.202,-16.902,0,"siesta_aves",-21.142,-45.499,0,"즉석카레",-14.551,-64.229,0,"Dοpi",20.328,-47.955,0,"muyang_",14.221,-63.876,0,"Roscosmos",40.942,-82.622,0,"ByeolBam",0.243,-110.514,0,"Penguin_iDOL",-41.722,-90.077,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1571.549,"Chunsik03",R,32,129,-0.917,1.583,-0.166,1.72,-36.995,2,0,234.653,-200,-5.237,0,0,1,0,5,R,"CVPileMaki",169.6,94,0.395,3,39,1572.681,90,7,74,35,19,103,126,114,-30,40.51,0.75,0.003,0.006,0.171,0,-0.033,-36.953,0,"-라후이-",-0.136,-16.984,0,"siesta_aves",-21.118,-45.548,0,"즉석카레",-14.594,-64.23,0,"Dοpi",20.287,-47.858,0,"muyang_",13.796,-63.561,0,"Roscosmos",40.957,-82.699,0,"ByeolBam",0.27,-111.035,0,"Penguin_iDOL",-41.552,-90.221,0,1572.299,-1.951,-20.752,1573.766,2,"siesta_aves",-20.629,-42.213,0,0,0,0,0,0,0,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1601.759,"Chunsik03",R,27,140,-2.011,0.11,-0.12,1.523,-36.501,1,0,129.584,-139.588,-0.183,0,0,0,1,2,L,"Kr_Luna",189.9,95.054,0.505,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,-37.242,0,"-라후이-",-0.025,-16.883,0,"siesta_aves",-22.428,-46.839,0,"즉석카레",-12.438,-64.192,0,"Dοpi",20.345,-48.613,0,"muyang_",13.016,-60.598,0,"Roscosmos",47.006,-91.386,0,"ByeolBam",0.811,-113.54,0,"Penguin_iDOL",-43.589,-90.152,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,1612.081,"Chunsik03",R,26,140,-0.07,0.45,0.036,1.573,-36.549,0,0,197.682,-200,4.852,0,0,0,1,2,L,"Kr_Luna",189.9,95.054,0.505,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,-37.207,0,"-라후이-",-0.06,-17.028,0,"siesta_aves",-22.508,-46.932,0,"즉석카레",-12.835,-63.961,0,"Dοpi",20.407,-48.541,0,"muyang_",15.04,-62.97,0,"Roscosmos",47.508,-90.523,0,"ByeolBam",-0.689,-113.672,0,"Penguin_iDOL",-43.691,-90.277,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,1,1,0,0,0,255,255,255,5,1626.321,"Chunsik03",R,13,108,0.365,-0.706,0.369,1.533,-36.583,2,0,-366.106,333.101,12.639,0,0,1,1,2,L,"Kr_Luna",189.9,95.054,0.505,3,39,1627.208,76,27,85,97,44,186,128,112,-30,-25.47,0.93,-0.003,-0.027,0.069,0,0.008,-36.748,0,"-라후이-",0.122,-17.195,0,"siesta_aves",-22.494,-46.938,0,"즉석카레",-12.746,-64.556,0,"Dοpi",20.674,-48.369,0,"muyang_",14.492,-62.826,0,"Roscosmos",47.505,-90.515,0,"ByeolBam",0.021,-114.47,0,"Penguin_iDOL",-43.825,-90.106,0,1626.782,0.678,-22.019,1628.716,5,"muyang_",11.645,-55.138,0,0,0,0,0,0,0,2
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,1669.716,"Chunsik03",R,26,140,-0.205,0.902,0.13,1.659,-36.668,0,0,193.967,-200,0.67,0,0,0,2,1,L,"_Chun",190,80,0.455,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,-37.244,0,"-라후이-",-0.179,-16.789,0,"siesta_aves",-22.656,-47.034,0,"즉석카레",-14.165,-64.322,0,"Dοpi",20.851,-48.264,0,"muyang_",12.412,-64.125,0,"Roscosmos",47.233,-92.947,0,"ByeolBam",-3.185,-114.676,0,"Penguin_iDOL",-39.145,-98.703,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,2,0,0,0,255,255,255,7,1683.89,"Chunsik03",R,22,115,-1.027,0,0.132,1.62,-36.535,2,0,-143.259,166.157,-0.096,0,0,1,2,1,L,"_Chun",190,80,0.455,3,38,1684.871,255,22,135,60,33,89,150,130,-30,43.253,0.41,-0.005,0.005,0.257,0,0.072,-36.744,0,"-라후이-",-0.302,-17.012,0,"siesta_aves",-22.732,-46.821,0,"즉석카레",-14.167,-64.304,0,"Dοpi",20.798,-48.177,0,"muyang_",13.86,-63.036,0,"Roscosmos",47.681,-93.029,0,"ByeolBam",3.681,-113.162,0,"Penguin_iDOL",-39.213,-98.639,0,1684.449,-1.683,-22.691,1693.016,8,"Penguin_iDOL",-57.668,-72.517,1,0,0,0,0,0,0,2
9,1,1,0,0,0,0,2,0,1,0,255,1,255,8,1725.55,"Chunsik03",R,32,140,3.691,0.401,0.479,1.563,-36.616,1,0,250,-200,-16.025,0,0,0,3,4,L,"NABIMan",190,89.838,0.531,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,-37.015,0,"-라후이-",0.355,-16.623,0,"siesta_aves",-22.23,-45.566,0,"즉석카레",-5.237,-64.546,0,"Dοpi",20.346,-43.846,0,"muyang_",13.673,-62.72,0,"Roscosmos",43.99,-86.457,0,"ByeolBam",3.723,-113.939,0,"Penguin_iDOL",-40.592,-91.779,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,0,2,0,1,0,255,1,255,9,1740.881,"Chunsik03",R,26,140,1.209,-0.165,0.266,1.455,-36.586,2,0,156.325,-195.31,3.29,0,0,1,3,4,L,"NABIMan",190,89.838,0.531,3,37,1741.766,222,15,148,48,56,125,150,66,20.114,4.254,1,0.083,-0.073,0.082,0,0.126,-36.842,0,"-라후이-",0.337,-16.652,0,"siesta_aves",-22.211,-45.604,0,"즉석카레",-8.753,-63.923,0,"Dοpi",20.643,-46.934,0,"muyang_",14.262,-63.048,0,"Roscosmos",43.964,-86.064,0,"ByeolBam",0.744,-112.41,0,"Penguin_iDOL",-41.059,-93.252,0,1744.316,-4.576,-60.477,1744.449,3,"즉석카레",-4.189,-57.213,0,0,0,0,0,0,0,1
