id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1409.15,"甲斐野柊太",R,10,102,-0.527,-0.36,-0.148,1.778,-36.797,0,0,-5.257,321.001,0,0,0,0,0,6,R,"Apple_Sherbet",176.8,87.926,0.272,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.345,-37.171,0,"白霜らいふ",-0.025,-16.531,0,"P0TA0",-22.466,-45.882,0,"vovopo 보보포",-15.597,-63.749,0,"あおいぬ",16.804,-42.897,0,"shimenawa",16.121,-62.693,0,"Pizzallaris",36.96,-81.848,0,"紅さかな",0.121,-117.162,0,"Kenomo",-48.517,-95.318,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1425.802,"甲斐野柊太",R,27,140,0.801,-0.132,0.042,1.753,-36.717,2,0,110.343,-140.424,0,0,0,1,0,6,R,"Apple_Sherbet",176.8,87.926,0.272,3,59,1426.754,219,22,97,53,12,87,145,93,-16.227,32.07,-0.45,-0.019,-0.036,0.197,0,-0.482,-36.755,0,"白霜らいふ",0.022,-16.54,0,"P0TA0",-22.444,-45.911,0,"vovopo 보보포",-15.05,-63.949,0,"あおいぬ",16.49,-43.001,0,"shimenawa",16.454,-62.226,0,"Pizzallaris",36.739,-81.78,0,"紅さかな",0.256,-117.17,0,"Kenomo",-48.996,-94.157,0,1426.951,-1.23,-21.707,1430.885,8,"Kenomo",-36.663,-79.313,1,0,0,0,0,0,0,2
3,1,1,0,0,0,0,0,1,0,0,6,255,255,2,1454.338,"甲斐野柊太",R,28,127,2.939,0.841,0.262,1.909,-36.888,1,0,39.6,-50.297,0,0,0,0,1,5,R,"Pugeuk",160,95.761,0.552,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26,-36.983,0,"白霜らいふ",0.204,-17.049,0,"P0TA0",-18.12,-39.784,0,"vovopo 보보포",-12.258,-63.649,0,"あおいぬ",16.813,-42.912,0,"shimenawa",9.938,-62.273,0,"Pizzallaris",36.701,-81.805,0,"紅さかな",-0.525,-115.986,0,"Kenomo",-47.746,-91.535,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,0,0,1,0,0,6,255,255,3,1475.26,"甲斐野柊太",R,27,140,5.01,1.172,0,1.789,-36.681,2,0,58.749,-137.178,0,0,0,1,1,5,R,"Pugeuk",160,95.761,0.552,3,59,1476.18,136,11,79,40,26,99,137,122,-30,-5.926,0.47,-0.036,-0.062,0.247,0,-0.198,-36.895,0,"白霜らいふ",0.138,-16.662,0,"P0TA0",-18.359,-39.69,0,"vovopo 보보포",-18.68,-61.154,0,"あおいぬ",16.846,-42.861,0,"shimenawa",14.364,-63.618,0,"Pizzallaris",36.607,-81.852,0,"紅さかな",-0.443,-116.163,0,"Kenomo",-47.145,-92.063,0,1476.285,-0.088,-20.504,1478.385,5,"shimenawa",4.413,-64.081,1,0,0,0,0,0,0,2
5,1,1,0,0,0,0,1,1,0,0,5,255,255,4,1518.592,"甲斐野柊太",R,0,126,1.688,0.412,0.146,1.88,-36.708,1,0,38.138,-38.023,0,0,0,0,2,2,R,"하루（Haru）",190,90,0.55,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171,-37.189,0,"白霜らいふ",0.079,-16.687,0,"P0TA0",-18.421,-39.512,0,"vovopo 보보포",-12.526,-63.536,0,"あおいぬ",17.002,-43.175,0,"shimenawa",11.329,-62.698,0,"Pizzallaris",36.878,-80.642,0,"紅さかな",0.175,-116.056,0,"Kenomo",-49.673,-91.803,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,0,1,1,0,0,5,255,255,5,1555.054,"甲斐野柊太",R,28,134,2.291,0.874,0.198,1.966,-36.881,2,0,47.806,-52.846,0,0,0,0,2,2,R,"하루（Haru）",190,90,0.55,2,59,0,203,8,62,11,4,171,108,73,-41.236,52.267,-0.46,0.063,0.017,0,0,-0.305,-36.761,0,"白霜らいふ",0.12,-16.737,0,"P0TA0",-18.28,-39.343,0,"vovopo 보보포",-15.483,-63.663,0,"あおいぬ",16.876,-43.198,0,"shimenawa",12.094,-62.697,0,"Pizzallaris",36.785,-81.444,0,"紅さかな",0.128,-116.142,0,"Kenomo",-49.525,-92.633,0,1556.618,-1.327,-20.676,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,1,1,0,1,0,255,5,255,6,1590.008,"甲斐野柊太",R,10,109,-1.453,-2.529,-0.204,1.342,-36.573,1,0,3.844,400,0,-0.269,-20.231,0,2,2,R,"하루（Haru）",190,90,0.55,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.378,-37.405,0,"白霜らいふ",-0.076,-16.773,0,"P0TA0",-18.574,-39.73,0,"vovopo 보보포",-12.382,-63.456,0,"あおいぬ",16.95,-42.051,0,"shimenawa",8.588,-62.437,0,"Pizzallaris",37.384,-79.462,0,"紅さかな",-0.207,-115.118,0,"Kenomo",-50.202,-92.655,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,2,1,1,1,0,0,5,255,255,7,1609.921,"甲斐野柊太",R,3,109,-0.714,-0.574,0.051,1.643,-36.674,2,0,-256.135,7.996,0,0,0,1,2,2,R,"하루（Haru）",190,90,0.55,2,59,1610.98,255,21,202,105,30,255,150,35,8.129,12.923,0.92,-0.022,-0.029,0.184,0,-0.365,-37.094,0,"白霜らいふ",0.092,-16.719,0,"P0TA0",-18.305,-39.516,0,"vovopo 보보포",-16.567,-62.542,0,"あおいぬ",16.108,-43.348,0,"shimenawa",14.213,-63.967,0,"Pizzallaris",37.436,-79.487,0,"紅さかな",-0.002,-115.454,0,"Kenomo",-50.166,-92.615,0,1612.068,-2.306,-30.712,1615.468,3,"vovopo 보보포",-9.556,-50.987,0,0,0,0,0,0,0,2
9,1,1,0,0,0,0,2,0,0,1,255,255,5,8,1648.289,"甲斐野柊太",R,14,94,1.014,-1.638,-0.065,1.564,-36.848,4,0,318.836,332.854,0,0.287,-18.507,1,3,4,R,"bdg06213",190,86.379,0.25,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.253,-37.414,0,"白霜らいふ",-0.126,-16.7,0,"P0TA0",-21.769,-44.9,0,"vovopo 보보포",-13.429,-61.95,0,"あおいぬ",17.431,-41.285,0,"shimenawa",11.545,-61.059,0,"Pizzallaris",36.704,-78.85,0,"紅さかな",-1.055,-108.146,0,"Kenomo",-49.873,-94.267,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,2,0,0,1,255,255,5,9,1667.257,"甲斐野柊太",R,3,98,-1.971,-1.004,0.015,1.528,-36.853,4,0,-406.271,0,0,0,0,1,3,4,R,"bdg06213",190,86.379,0.25,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.393,-37.406,0,"白霜らいふ",-0.377,-16.755,0,"P0TA0",-21.781,-44.784,0,"vovopo 보보포",-13.543,-59.997,0,"あおいぬ",17.519,-40.88,0,"shimenawa",14.222,-63.642,0,"Pizzallaris",38.442,-85.805,0,"紅さかな",0.076,-110.102,0,"Kenomo",-45.665,-90.582,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
11,1,1,0,0,0,2,2,0,0,1,255,255,5,10,1684.424,"甲斐野柊太",R,0,125,1.095,1.195,0.086,2.029,-37.014,1,0,43.895,-42.752,0,0.429,-5.462,0,3,4,R,"bdg06213",190,86.379,0.25,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.305,-37.009,0,"白霜らいふ",0.367,-16.85,0,"P0TA0",-21.976,-45.047,0,"vovopo 보보포",-15.537,-56.803,0,"あおいぬ",12.653,-33.279,0,"shimenawa",9.644,-64.893,0,"Pizzallaris",38.448,-85.81,0,"紅さかな",-0.414,-115.725,0,"Kenomo",-45.916,-91.611,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
12,1,1,1,0,1,2,2,0,0,0,255,255,255,11,1701.463,"甲斐野柊太",R,27,140,0.676,-1.133,0.049,1.565,-36.719,2,0,48.168,-108.831,0,0,0,1,3,4,R,"bdg06213",190,86.379,0.25,3,59,1702.545,85,7,73,51,37,77,132,95,-23.978,30.57,-0.12,0.006,-0.069,0.057,0,0.04,-36.929,0,"白霜らいふ",0.018,-16.182,0,"P0TA0",-22,-44.755,0,"vovopo 보보포",-18.431,-61.12,0,"あおいぬ",16.324,-42.681,0,"shimenawa",14.351,-64.1,0,"Pizzallaris",38.391,-85.83,0,"紅さかな",0.166,-116.22,0,"Kenomo",-47.742,-91.81,0,1702.618,-0.452,-20.113,1704.868,3,"vovopo 보보포",-20.389,-54.58,0,0,0,0,0,0,0,2
13,1,0,1,0,0,0,0,0,0,0,255,255,255,0,2539.036,"卯月満開",R,0,136,-0.523,0.821,-0.049,1.698,-36.787,0,0,0,0,0,0,0,0,0,9,L,"-Alta-",190,80,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127,-37.271,0,"HalF_HearteD",-0.059,-16.551,0,"하루（Haru）",-17.867,-44.787,0,"장덕춘_",-11.881,-65.007,0,"bdg06213",23.462,-52.931,0,"Pugeuk",13.454,-63.732,0,"Apple_Sherbet",41.79,-86.844,0,"ʚneul_ɞ",5.109,-110.011,0,"Azuner",-40.896,-86.765,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
14,1,0,1,0,1,1,0,0,0,0,255,255,255,2,2582.444,"卯月満開",R,10,119,1.76,-0.167,0.14,1.594,-36.835,2,0,0,400,8.964,0,0,1,0,9,L,"-Alta-",190,80,0.5,3,59,2583.526,211,26,138,97,36,133,150,38,26.893,-37.514,0.91,0.069,-0.104,0.114,0,-0.253,-37.024,0,"HalF_HearteD",0.197,-16.624,0,"하루（Haru）",-17.436,-45.713,0,"장덕춘_",-11.915,-64.999,0,"bdg06213",23.194,-51.967,0,"Pugeuk",13.056,-62.697,0,"Apple_Sherbet",41.556,-85.919,0,"ʚneul_ɞ",5.073,-108.339,0,"Azuner",-41.031,-86.962,0,2585.635,11.276,-34.284,2590.335,4,"bdg06213",23.857,-43.884,1,0,0,0,0,0,0,2
15,1,0,1,0,0,0,0,1,0,0,9,255,255,3,2722.995,"卯月満開",R,0,113,-0.751,1.01,-0.07,1.707,-36.757,0,0,0,0,0,0,0,0,1,3,L,"vovopo 보보포",175.3,90,0.6,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118,-37.947,0,"HalF_HearteD",0.019,-16.621,0,"하루（Haru）",-17.486,-42.763,0,"장덕춘_",-13.264,-63.052,0,"bdg06213",22.862,-51.057,0,"Pugeuk",6.294,-64.295,0,"Apple_Sherbet",39.911,-82.919,0,"ʚneul_ɞ",0.339,-104.091,0,"Azuner",-41.431,-84.758,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
16,1,0,1,0,0,1,0,1,0,0,9,255,255,4,2742.049,"卯月満開",R,13,106,0.794,-0.29,0.247,1.586,-36.747,2,0,-409.954,262.706,4.456,0,0,1,1,3,L,"vovopo 보보포",175.3,90,0.6,3,59,2743.197,205,33,127,111,54,170,150,107,23.785,-28.228,0.08,0.044,-0.079,0.072,0,-0.558,-37.2,0,"HalF_HearteD",-0.068,-16.851,0,"하루（Haru）",-18.506,-41.773,0,"장덕춘_",-13.301,-63.05,0,"bdg06213",23.101,-52.884,0,"Pugeuk",7.646,-64.907,0,"Apple_Sherbet",39.538,-82.537,0,"ʚneul_ɞ",0.298,-104.494,0,"Azuner",-41.501,-84.701,0,2747.835,26.279,-105.737,2751.518,7,"ʚneul_ɞ",22.715,-126.796,1,0,0,0,0,0,0,2
17,1,0,1,0,0,0,0,0,1,1,255,12,9,5,2789.942,"卯月満開",R,0,117,3.617,2.544,0.317,1.804,-37.083,1,0,0,0,0,0,0,0,2,5,L,"shimenawa",174.7,94.582,0.2,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.435,-37.94,0,"HalF_HearteD",0.278,-16.56,0,"하루（Haru）",-20.092,-46.031,0,"장덕춘_",-5.325,-63.206,0,"bdg06213",21.507,-49.992,0,"Pugeuk",14.391,-62.984,0,"Apple_Sherbet",43.87,-92.949,0,"ʚneul_ɞ",3.332,-107.867,0,"Azuner",-42.217,-87.36,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
