id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,798.891,"Espressο",R,27,140,0.854,-0.565,0.281,1.443,-36.613,0,0,102.088,-144.346,-6.476,0,0,0,0,3,L,"ʚEveɞ",165.2,95.3,0.401,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-37.51,0,"ゆっち一",-0.077,-17.202,0,"檸檬の残骸",-19.456,-46.393,0,"mochi_2929",-9.851,-59.719,0,"にゃんこ3K",22.876,-47.817,0,"559：広告",10.116,-59.748,0,"sano jpn",40.774,-83.205,0,"alcohol500",2.523,-106.283,0,"あくせる",-37.456,-90.539,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,816.84,"Espressο",R,10,109,0.246,0.153,0.181,1.945,-36.936,2,0,0,313.207,-15.95,0,0,1,0,3,L,"ʚEveɞ",165.2,95.3,0.401,3,102,817.967,233,16,148,53,29,147,150,126,-30,31.679,0.31,0.078,-0.063,0.183,0,-0.28,-37.383,0,"ゆっち一",0.03,-16.592,0,"檸檬の残骸",-19.624,-46.903,0,"mochi_2929",-9.937,-60.229,0,"にゃんこ3K",23.032,-47.894,0,"559：広告",10.099,-59.714,0,"sano jpn",44.08,-82.613,0,"alcohol500",2.554,-107.057,0,"あくせる",-37.394,-90.499,0,818.147,-0.86,-22.04,819.564,2,"檸檬の残骸",-15.937,-46.5,0,0,0,0,0,0,0,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,830.543,"Espressο",R,38,73,-19.93,-2.727,0.115,1.244,-37.737,1,0,10.564,13.075,-1.727,-1.12,-32.109,0,1,4,R,"Megu3568",175.3,86,0.404,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232,-37.857,0,"ゆっち一",-0.048,-16.354,0,"檸檬の残骸",-19.323,-46.243,0,"mochi_2929",-12.803,-59.429,0,"にゃんこ3K",22.012,-50.977,0,"559：広告",9.762,-59.941,0,"sano jpn",41.312,-84.392,0,"alcohol500",-1.288,-108.987,0,"あくせる",-44.71,-89.756,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,875.252,"Espressο",R,26,140,0.573,0.589,0.275,1.666,-36.532,0,0,27.96,-200,-5.863,0,0,0,1,4,R,"Megu3568",175.3,86,0.404,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,-37.624,0,"ゆっち一",-0.012,-16.383,0,"檸檬の残骸",-19.422,-46.317,0,"mochi_2929",-11.024,-59.372,0,"にゃんこ3K",22.092,-52.668,0,"559：広告",7.658,-64.419,0,"sano jpn",36.23,-88.556,0,"alcohol500",-0.092,-106.598,0,"あくせる",-44.404,-90.019,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,890.882,"Espressο",R,26,140,0.494,0.29,0.257,1.593,-36.469,2,0,42.924,-200,3.187,0,0,0,1,4,R,"Megu3568",175.3,86,0.404,3,100,891.876,183,19,86,48,14,111,140,93,-1.422,33.603,-0.26,0.008,0.03,0.245,0,-0.172,-37.27,0,"ゆっち一",0.02,-16.503,0,"檸檬の残骸",-19.616,-46.51,0,"mochi_2929",-11.069,-59.798,0,"にゃんこ3K",22.153,-52.458,0,"559：広告",7.719,-64.334,0,"sano jpn",36.276,-88.458,0,"alcohol500",0.367,-106.374,0,"あくせる",-44.381,-90.062,0,892.481,-6.916,-29.447,893.593,2,"檸檬の残骸",-17.439,-42.798,0,0,0,0,0,0,0,2
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,923.14,"Espressο",R,13,123,0.842,-0.272,0.495,1.676,-36.687,0,0,-382.717,321.758,-14.678,0,0,0,2,7,R,"Gonyong",174.6,80,0.2,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,-37.473,0,"ゆっち一",-0.019,-16.383,0,"檸檬の残骸",-19.383,-46.544,0,"mochi_2929",-12.388,-61.07,0,"にゃんこ3K",21.111,-52.083,0,"559：広告",7.033,-64.52,0,"sano jpn",34.796,-88.448,0,"alcohol500",-0.426,-104.953,0,"あくせる",-44.138,-88.176,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,1,2,0,0,0,255,255,255,6,940.261,"Espressο",R,26,140,0.7,0.928,0.289,1.76,-36.616,0,0,34.24,-164.329,-2.012,0,0,0,2,7,R,"Gonyong",174.6,80,0.2,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,-37.603,0,"ゆっち一",-0.006,-16.345,0,"檸檬の残骸",-19.627,-46.329,0,"mochi_2929",-12.166,-61.148,0,"にゃんこ3K",21.176,-52.045,0,"559：広告",6.639,-63.692,0,"sano jpn",37.336,-87.722,0,"alcohol500",-0.739,-105.178,0,"あくせる",-44.154,-88.082,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,2,2,0,0,0,255,255,255,7,956.981,"Espressο",R,13,126,-3.142,-0.497,-0.056,1.66,-36.69,2,0,-346.394,360.57,-4.636,0,0,1,2,7,R,"Gonyong",174.6,80,0.2,3,43,957.908,118,23,91,82,23,93,143,112,-30,48.124,0.92,0.012,-0.017,0.009,0,-0.235,-37.304,0,"ゆっち一",-0.533,-16.598,0,"檸檬の残骸",-19.926,-46.771,0,"mochi_2929",-12.073,-61.154,0,"にゃんこ3K",21.211,-52.107,0,"559：広告",6.616,-63.715,0,"sano jpn",30.981,-90.536,0,"alcohol500",-1.066,-105.625,0,"あくせる",-44.144,-88.123,0,958.047,-1.558,-18.828,0,0,"",0,0,0,0,0,0,0,0,0,3
9,1,1,0,0,0,2,2,0,0,0,255,255,255,8,976.517,"Espressο",R,26,140,1.509,1.291,0.366,1.834,-36.648,2,0,115.188,-200,-11.504,0,0,1,2,7,R,"Gonyong",174.6,80,0.2,3,97,977.391,108,11,61,20,1,75,89,64,93.401,-77.452,-0.23,0.042,0.001,0.029,0,-0.133,-37.26,0,"ゆっち一",0.156,-16.553,0,"檸檬の残骸",-19.678,-46.399,0,"mochi_2929",-13.568,-62.833,0,"にゃんこ3K",22.128,-51.976,0,"559：広告",6.101,-64.071,0,"sano jpn",37.681,-91.273,0,"alcohol500",-3.548,-105.246,0,"あくせる",-42.301,-90.217,0,0,0,0,982.743,1,"ゆっち一",-15.511,-14.27,0,0,0,0,0,0,0,1
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1228.274,"HANA_ARASHI",R,26,127,1.399,0.529,0.171,1.719,-36.371,2,0,-0.524,-200,0,0,0,1,0,3,R,"mochi_2929",174,98.434,0.447,3,92,1229.34,155,14,95,95,34,99,150,92,37.293,-45.704,-0.46,0.06,-0.052,0.007,0,-0.106,-36.854,0,"Pring__",0.058,-17.053,0,"인생최패망자",-20.427,-45.667,0,"ʚEveɞ",-12.914,-64.693,0,"Megu3568",19.475,-47.118,0,"Yaksok~",12.285,-63.754,0,"IbikiKai_JP",40.723,-97.072,0,"Gonyong",0.241,-117.708,0,"SOM_candy",-39.705,-81.538,0,1234.201,62.343,-63.524,0,0,"",0,0,0,0,0,0,0,0,0,3
