id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1256.49,"Pugeuk",R,26,135,0.948,-0.114,0.081,1.227,-36.442,0,0,28.99,-181.136,14.539,0,0,1,0,5,R,"CVPileMaki",169.5,94,0.399,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037,-37.794,0,"TaeGeuk_",0.235,-17.587,0,"하루（Haru）",-19.532,-44.882,0,"장덕춘_",-14.013,-64.178,0,"bdg06213",21.742,-52.801,0,"HalF_HearteD",13.887,-63.31,0,"Apple_Sherbet",40.732,-90.435,0,"AI",0,-100.6,0,"卯月満開",-40.222,-93.843,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1271.639,"Pugeuk",R,26,132,0.402,0.006,0.061,1.251,-36.5,2,0,-76.065,-156.471,15.289,0,0,1,0,5,R,"CVPileMaki",169.5,94,0.399,3,86,1272.733,173,6,101,40,21,120,141,114,-30,6.985,0.16,0.013,-0.038,0.09,0,-0.065,-36.833,0,"TaeGeuk_",0.159,-17.728,0,"하루（Haru）",-19.604,-45.971,0,"장덕춘_",-13.451,-64.23,0,"bdg06213",21.353,-49.839,0,"HalF_HearteD",13.307,-63.888,0,"Apple_Sherbet",40.726,-90.402,0,"AI",0,-100.6,0,"卯月満開",-40.239,-93.876,0,1282.92,-11.153,-131.289,1286.262,5,"HalF_HearteD",-0.289,-61.078,1,0,0,0,0,0,0,2
3,1,1,0,0,0,0,0,0,1,0,255,5,255,2,1312.261,"Pugeuk",R,27,128,3.162,0.24,0.223,1.407,-36.678,1,0,-20.511,-119.428,1.475,0,0,0,1,2,L,"_Chun",190,80,0.455,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12,-37.368,0,"TaeGeuk_",0.445,-17.382,0,"하루（Haru）",-19.689,-44.273,0,"장덕춘_",-7.47,-62.895,0,"bdg06213",21.911,-47.156,0,"HalF_HearteD",13.705,-62.934,0,"Apple_Sherbet",44.14,-94.64,0,"AI",0,-100.6,0,"卯月満開",-39.41,-94.06,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,0,0,0,1,0,255,5,255,3,1329.527,"Pugeuk",R,26,132,2.298,0.023,0.197,1.243,-36.536,1,0,53.393,-200,15.65,0,0,0,1,2,L,"_Chun",190,80,0.455,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,-37.294,0,"TaeGeuk_",0.235,-17.329,0,"하루（Haru）",-18.509,-44.577,0,"장덕춘_",-7.169,-64.939,0,"bdg06213",22.214,-46.832,0,"HalF_HearteD",13.666,-62.842,0,"Apple_Sherbet",44.479,-94.653,0,"AI",0,-100.6,0,"卯月満開",-39.636,-93.927,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,0,0,0,1,0,255,5,255,4,1349.753,"Pugeuk",R,26,140,-0.417,-0.254,-0.028,1.206,-36.456,2,0,-39.617,-153.735,7.491,0,0,1,1,2,L,"_Chun",190,80,0.455,3,85,1350.725,178,10,96,41,27,145,141,130,105.513,63.13,0.48,0.034,-0.063,0.179,0,0.042,-36.99,0,"TaeGeuk_",-0.209,-17.465,0,"하루（Haru）",-18.279,-45.49,0,"장덕춘_",-4.549,-63.808,0,"bdg06213",21.974,-47.793,0,"HalF_HearteD",13.668,-62.796,0,"Apple_Sherbet",44.239,-94.617,0,"AI",0,-100.6,0,"卯月満開",-38.611,-92.868,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
6,1,1,0,0,2,1,0,0,1,0,255,5,255,5,1372.109,"Pugeuk",R,27,128,-0.245,0.223,0.055,1.355,-36.528,2,0,-14.636,-123.299,8.002,0,0,1,1,2,L,"_Chun",190,80,0.455,3,85,1373.08,177,10,89,42,21,130,140,96,34.755,-32.819,-0.4,0.032,0.018,0.192,0,-0.092,-37.016,0,"TaeGeuk_",-0.17,-17.265,0,"하루（Haru）",-18.304,-44.729,0,"장덕춘_",-6.255,-65.157,0,"bdg06213",22.386,-49.16,0,"HalF_HearteD",14.924,-63.054,0,"Apple_Sherbet",44.939,-96.286,0,"AI",0,-100.6,0,"卯月満開",-37.859,-92.667,0,1378.004,48.692,-81.127,1378.154,6,"Apple_Sherbet",47.193,-79.349,0,0,0,0,0,0,0,1
7,1,1,0,0,0,0,1,0,1,0,255,5,255,6,1407.684,"Pugeuk",R,3,105,-1.804,-0.482,-0.028,1.258,-36.578,2,0,-437.187,186.829,22.763,0,0,1,2,0,R,"なおｐ--",190,91.37,0.445,3,85,1408.857,198,15,79,82,56,100,145,130,94.983,-84.788,0.5,-0.007,-0.004,0.126,0,-0.233,-37.014,0,"TaeGeuk_",-0.414,-17.602,0,"하루（Haru）",-19.458,-46.404,0,"장덕춘_",-12.511,-64.603,0,"bdg06213",21.242,-50.072,0,"HalF_HearteD",8.884,-63.067,0,"Apple_Sherbet",40.236,-96.219,0,"AI",0,-100.61,0,"卯月満開",-38.77,-100.246,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
8,1,1,0,0,0,1,1,0,1,0,255,5,255,7,1427.464,"Pugeuk",R,4,113,-3.189,-0.333,-0.278,1.259,-36.482,2,0,-180.718,0,17.815,0,0,1,2,0,R,"なおｐ--",190,91.37,0.445,3,68,1428.604,187,26,117,83,34,134,150,117,-30,34.925,0.9,0.001,0.001,0.204,0,-0.428,-36.945,0,"TaeGeuk_",-0.68,-17.636,0,"하루（Haru）",-19.52,-45.622,0,"장덕춘_",-12.912,-64.49,0,"bdg06213",20.96,-49.998,0,"HalF_HearteD",7.752,-63.773,0,"Apple_Sherbet",40.061,-94.426,0,"AI",0,-100.61,0,"卯月満開",-37.706,-103.224,0,1428.637,-1.579,-21.616,1430.07,2,"하루（Haru）",-17.52,-44.202,0,0,0,0,0,0,0,2
9,1,1,0,0,0,0,2,0,0,1,255,255,5,8,1472.833,"Pugeuk",R,6,98,2.006,0.01,0.072,1.304,-36.537,1,0,355.455,0,17.869,0,0,0,3,1,L,"Kr_Luna",190,95.158,0.505,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,-37.443,0,"TaeGeuk_",0.276,-17.223,0,"하루（Haru）",-19.97,-45.282,0,"장덕춘_",-13.118,-64.74,0,"bdg06213",21.945,-47.402,0,"HalF_HearteD",13.665,-62.133,0,"Apple_Sherbet",43.246,-95.622,0,"AI",0,-100.6,0,"卯月満開",-43.763,-100.481,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,0,2,0,0,1,255,255,5,9,1492.956,"Pugeuk",R,26,138,-0.688,-0.412,0.031,1.172,-36.434,0,0,14.156,-167.535,11.944,0,0,0,3,1,L,"Kr_Luna",190,95.158,0.505,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,-37.383,0,"TaeGeuk_",-0.27,-17.632,0,"하루（Haru）",-19.426,-44.014,0,"장덕춘_",-12.79,-64.761,0,"bdg06213",22.004,-48.861,0,"HalF_HearteD",14.305,-62.046,0,"Apple_Sherbet",43.181,-95.685,0,"AI",0,-100.6,0,"卯月満開",-43.755,-100.466,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
