id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1609.025,"인생최패망자",R,14,98,2.301,-1.242,0.087,1.569,-36.411,1,0,346.331,314.455,0,0.638,-17.711,0,0,8,L,"Sabo_10",184.8,94,0.497,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027,-37.895,0,"Pring__",0.222,-17.002,0,"Fresh825",-20.403,-47.996,0,"ʚEveɞ",-12.933,-65.096,0,"Megu3568",18.78,-45.834,0,"Yaksok~",13.088,-64.124,0,"IbikiKai_JP",51.364,-96.249,0,"Gonyong",2.683,-124.844,0,"SOM_candy",-36.736,-100.144,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1623.739,"인생최패망자",R,10,98,-0.799,0.38,-0.07,2.102,-36.626,0,0,0,400,0,0,0,0,0,8,L,"Sabo_10",184.8,94,0.497,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,-38.09,0,"Pring__",0.043,-16.865,0,"Fresh825",-20.327,-47.923,0,"ʚEveɞ",-12.894,-65.037,0,"Megu3568",18.845,-45.899,0,"Yaksok~",15.072,-62.319,0,"IbikiKai_JP",51.376,-96.279,0,"Gonyong",2.727,-124.924,0,"SOM_candy",-36.916,-99.883,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1639.426,"인생최패망자",R,34,109,3.082,0.407,0.532,1.832,-36.986,1,0,89.151,-79.908,0,0.751,-10.41,0,0,8,L,"Sabo_10",184.8,94,0.497,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,-37.903,0,"Pring__",0.106,-16.932,0,"Fresh825",-20.415,-47.938,0,"ʚEveɞ",-12.923,-65.08,0,"Megu3568",18.805,-45.986,0,"Yaksok~",15.059,-63.543,0,"IbikiKai_JP",51.394,-96.3,0,"Gonyong",4.117,-126.128,0,"SOM_candy",-37.207,-99.202,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,1657.097,"인생최패망자",R,26,136,-0.567,0.421,-0.059,1.727,-36.37,0,0,21.87,-151.532,0,0,0,1,0,8,L,"Sabo_10",184.8,94,0.497,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.083,-37.615,0,"Pring__",-0.114,-16.802,0,"Fresh825",-20.35,-47.896,0,"ʚEveɞ",-12.934,-65.072,0,"Megu3568",18.811,-45.972,0,"Yaksok~",14.746,-64.053,0,"IbikiKai_JP",51.379,-96.292,0,"Gonyong",4.262,-126.135,0,"SOM_candy",-37.943,-98.859,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,1670.654,"인생최패망자",R,10,92,-0.438,-0.948,-0.063,1.735,-36.482,4,0,2.74,400,0,-0.006,-17.742,1,0,8,L,"Sabo_10",184.8,94,0.497,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,-37.664,0,"Pring__",0.111,-17.624,0,"Fresh825",-20.58,-46.968,0,"ʚEveɞ",-12.908,-65.064,0,"Megu3568",18.783,-45.943,0,"Yaksok~",15.298,-62.831,0,"IbikiKai_JP",51.373,-96.288,0,"Gonyong",4.301,-126.145,0,"SOM_candy",-38.32,-99.007,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,1699.583,"인생최패망자",R,26,135,3.591,-0.959,0.006,1.695,-36.316,2,0,-60.551,-200,0,0,0,1,1,0,R,"Slaris",190,86.36,0.452,3,58,1700.526,196,17,125,55,16,126,150,106,26.416,8.707,-0.05,-0.002,-0.08,0.254,0,-0.219,-36.934,0,"Pring__",-0.038,-16.953,0,"Fresh825",-21.938,-45.404,0,"ʚEveɞ",-13.389,-64.862,0,"Megu3568",18.868,-45.83,0,"Yaksok~",12.169,-64.008,0,"IbikiKai_JP",42.159,-98.02,0,"Gonyong",-3.002,-116.15,0,"SOM_candy",-38.335,-84.77,0,1705.441,-27.364,-108.21,1708.691,7,"Gonyong",-29.646,-120.753,1,0,0,0,0,0,0,2
7,1,1,0,0,0,0,1,0,1,0,255,0,255,6,1747.824,"인생최패망자",R,26,135,1.076,0.959,0.111,1.833,-36.376,0,0,-42.402,-165.602,0,0,0,0,2,2,R,"アリアル",190,94.5,0.5,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,-37.105,0,"Pring__",0.065,-16.819,0,"Fresh825",-24.12,-47.713,0,"ʚEveɞ",-12.989,-65.069,0,"Megu3568",19.207,-44.275,0,"Yaksok~",7.162,-61.741,0,"IbikiKai_JP",41.048,-96.225,0,"Gonyong",-5.371,-125.109,0,"SOM_candy",-39.243,-89.69,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,1,0,1,0,255,0,255,7,1764.459,"인생최패망자",R,14,92,0.3,0.152,-0.184,1.995,-36.507,0,0,305.3,341.689,0,0,0,0,2,2,R,"アリアル",190,94.5,0.5,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,-37.498,0,"Pring__",-0.243,-16.871,0,"Fresh825",-24.03,-47.563,0,"ʚEveɞ",-12.996,-65.08,0,"Megu3568",19.052,-43.395,0,"Yaksok~",8.471,-62.221,0,"IbikiKai_JP",39.603,-96.991,0,"Gonyong",-5.411,-125.216,0,"SOM_candy",-39.231,-89.314,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,2,1,0,1,0,255,0,255,8,1782.65,"인생최패망자",R,13,94,-2.801,-1.523,-0.161,1.498,-36.498,1,0,-319.237,332.328,0,-0.658,-18.251,0,2,2,R,"アリアル",190,94.5,0.5,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,-37.401,0,"Pring__",-0.314,-16.963,0,"Fresh825",-23.906,-47.136,0,"ʚEveɞ",-13.031,-65.009,0,"Megu3568",18.765,-43.174,0,"Yaksok~",8.373,-63.496,0,"IbikiKai_JP",39.578,-96.978,0,"Gonyong",-5.353,-125.162,0,"SOM_candy",-39.117,-88.962,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,2,1,0,1,0,255,0,255,9,1796.778,"인생최패망자",R,27,127,2.594,2.259,0.232,2.093,-36.678,1,0,28.828,-107.712,0,0,0,0,2,2,R,"アリアル",190,94.5,0.5,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,-37.664,0,"Pring__",0.116,-17.098,0,"Fresh825",-22.925,-46.862,0,"ʚEveɞ",-13.012,-65.073,0,"Megu3568",19.44,-43.916,0,"Yaksok~",8.488,-62.533,0,"IbikiKai_JP",39.599,-96.993,0,"Gonyong",-5.242,-124.989,0,"SOM_candy",-39.089,-89.391,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
