id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1650.37,"ゆっち一",R,26,135,-0.117,-1.386,0.001,1.12,-36.408,1,0,-84.89,-200,56.133,0,0,0,0,5,R,"CVPileMaki",170,94,0.399,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,-37.189,0,"mochi_2929",-0.165,-16.591,0,"CAT tourniquet",-18.995,-45.933,0,"sano jpn",-12.908,-59.155,0,"にゃんこ3K",21.537,-51.819,0,"じゃが一",12.003,-64.712,0,"ぐだもん",39.341,-85.31,0,"alcohol500",1.102,-112.785,0,"あくせる",-45.858,-92.177,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1667.021,"ゆっち一",R,26,137,-1.272,-1.072,-0.102,1.17,-36.387,0,0,-75.224,-200,81.324,0,0,0,0,5,R,"CVPileMaki",170,94,0.399,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,-37.397,0,"mochi_2929",0.171,-16.638,0,"CAT tourniquet",-18.995,-46.078,0,"sano jpn",-12.879,-59.13,0,"にゃんこ3K",21.569,-51.873,0,"じゃが一",11.97,-64.889,0,"ぐだもん",39.301,-85.254,0,"alcohol500",1.245,-112.764,0,"あくせる",-45.828,-92.298,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1684.412,"ゆっち一",R,26,140,-0.228,0.357,-0.035,1.402,-36.286,2,0,47.948,-164.203,5.312,0,0,1,0,5,R,"CVPileMaki",170,94,0.399,3,141,1685.423,82,12,76,46,18,72,129,111,26.219,38.868,0.74,-0.006,-0.04,0.114,0,0.264,-36.849,0,"mochi_2929",-0.092,-16.454,0,"CAT tourniquet",-18.893,-45.072,0,"sano jpn",-12.856,-59.115,0,"にゃんこ3K",21.577,-51.859,0,"じゃが一",12.016,-64.702,0,"ぐだもん",39.352,-85.464,0,"alcohol500",1.392,-112.689,0,"あくせる",-45.894,-92.355,0,1690.193,-74.176,-87.327,0,0,"",0,0,0,0,0,0,0,0,0,3
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1711.702,"ゆっち一",R,14,114,1.19,-2.303,-0.042,1.233,-36.373,2,0,377.585,327.765,21.174,0,0,1,0,5,R,"CVPileMaki",170,94,0.399,3,79,1712.785,135,18,113,71,51,79,150,126,-30,-29.543,0.54,0,-0.05,0.038,0,-0.097,-36.986,0,"mochi_2929",-0.09,-16.446,0,"CAT tourniquet",-18.593,-45.187,0,"sano jpn",-14.249,-60.989,0,"にゃんこ3K",21.806,-51.847,0,"じゃが一",11.492,-64.918,0,"ぐだもん",41.58,-87.644,0,"alcohol500",1.092,-114.502,0,"あくせる",-46.462,-91.989,0,1712.471,0.325,-19.987,1714.089,4,"にゃんこ3K",17.157,-49.686,0,0,0,0,0,0,0,2
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1742.878,"ゆっち一",R,0,140,-0.326,0.242,0.069,1.437,-36.31,0,0,0,0,0,0,0,0,1,2,L,"_Chun",190,80,0.455,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,-37.157,0,"mochi_2929",-0.24,-16.685,0,"CAT tourniquet",-18.489,-45.837,0,"sano jpn",-10.779,-63.251,0,"にゃんこ3K",23.765,-50.247,0,"じゃが一",14.789,-63.601,0,"ぐだもん",42.694,-92.752,0,"alcohol500",7.353,-119.802,0,"あくせる",-38.069,-99.613,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,1758.263,"ゆっち一",R,0,109,1.33,1.301,0.163,1.765,-36.432,1,0,36.959,0,1.059,0,0,0,1,2,L,"_Chun",190,80,0.455,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167,-37.01,0,"mochi_2929",-0.22,-16.635,0,"CAT tourniquet",-18.429,-45.915,0,"sano jpn",-10.216,-62.764,0,"にゃんこ3K",23.503,-50.572,0,"じゃが一",14.599,-63.588,0,"ぐだもん",42.505,-93.055,0,"alcohol500",2.793,-119.945,0,"あくせる",-38.421,-99.378,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,1,1,0,0,0,255,255,255,6,1773.185,"ゆっち一",R,0,120,0.095,0.399,0.013,1.495,-36.382,2,0,0,0,25.633,0,0,1,1,2,L,"_Chun",190,80,0.455,3,140,1774.154,215,22,107,75,36,110,150,118,-1.083,-31.757,0.88,-0.043,0.049,0.226,0,-0.235,-36.868,0,"mochi_2929",-0.071,-16.656,0,"CAT tourniquet",-18.168,-45.657,0,"sano jpn",-12.057,-60.32,0,"にゃんこ3K",23.469,-50.492,0,"じゃが一",14.665,-63.459,0,"ぐだもん",42.581,-93.194,0,"alcohol500",3.826,-120.414,0,"あくせる",-38.413,-99.5,0,1774.402,10.123,-36.93,1775.263,4,"にゃんこ3K",18.258,-49.28,0,0,0,0,0,0,0,2
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,1799.649,"ゆっち一",R,10,110,0.189,-1.571,0.026,1.255,-36.333,4,0,0,400,55.371,0.036,-18.142,1,2,0,R,"なおｐ--",190,91.37,0.445,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,-37.179,0,"mochi_2929",0.095,-16.526,0,"CAT tourniquet",-18.517,-44.159,0,"sano jpn",-16.575,-59.832,0,"にゃんこ3K",22.598,-52.468,0,"じゃが一",15.426,-63.422,0,"ぐだもん",33.584,-98.625,0,"alcohol500",-3.866,-113.155,0,"あくせる",-48.521,-93.028,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,2,0,0,0,255,255,255,8,1815.814,"ゆっち一",R,27,140,-2.008,-0.831,0.042,1.196,-36.236,2,0,-16.779,-135.792,9.015,0,0,1,2,0,R,"なおｐ--",190,91.37,0.445,3,139,1816.852,153,16,97,65,28,121,144,107,2.938,27.894,-0.01,-0.026,-0.054,0.116,0,0.176,-36.79,0,"mochi_2929",0.056,-16.626,0,"CAT tourniquet",-18.289,-44.178,0,"sano jpn",-15.983,-61.805,0,"にゃんこ3K",22.459,-52.325,0,"じゃが一",13.975,-63.591,0,"ぐだもん",33.73,-98.58,0,"alcohol500",-2.342,-113.276,0,"あくせる",-48.617,-93.093,0,1817.485,-13.669,-42.752,1820.075,8,"あくせる",-38.42,-82.972,1,0,0,0,0,0,0,2
10,1,1,0,0,0,0,2,1,0,0,0,255,255,9,1846.786,"ゆっち一",R,0,140,-1.97,0.177,-0.092,1.424,-36.281,2,0,0,0,0,0,0,1,3,1,L,"Kr_Luna",189.9,95.158,0.505,2,139,1847.543,165,23,119,65,27,187,150,116,-13.575,-10.769,0.07,0.021,-0.027,0.201,0,-0.209,-36.931,0,"mochi_2929",-0.142,-16.662,0,"CAT tourniquet",-19.343,-45.36,0,"sano jpn",-12.413,-61.819,0,"にゃんこ3K",23.02,-50.085,0,"じゃが一",15.52,-62.572,0,"ぐだもん",42.866,-93.256,0,"alcohol500",3.509,-111.314,0,"あくせる",-41.766,-99.383,0,1847.325,0.406,-24.322,1851.297,7,"alcohol500",17.897,-106.252,1,0,0,0,0,0,0,2
11,1,1,0,0,0,0,2,1,1,0,1,0,255,10,1882.127,"ゆっち一",R,26,139,1.38,0.848,0.13,1.502,-36.353,0,0,-6.421,-200,-3.285,0,0,0,4,4,R,"HANA_ARASHI",190,85,0.27,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043,-37.42,0,"mochi_2929",0.17,-16.57,0,"CAT tourniquet",-18.593,-42.905,0,"sano jpn",-12.714,-60.396,0,"にゃんこ3K",19.868,-47.437,0,"じゃが一",14.596,-62.897,0,"ぐだもん",42.551,-97.211,0,"alcohol500",-0.31,-112.473,0,"あくせる",-48.849,-94.527,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
12,1,1,0,0,0,1,2,1,1,0,1,0,255,11,1900.792,"ゆっち一",R,26,135,-191.182,-2.529,0.116,1.407,-36.325,2,0,-10.483,-200,4.573,0,0,1,4,4,R,"HANA_ARASHI",190,85,0.27,3,138,1901.683,173,8,74,45,10,68,138,93,17.92,-17.321,-0.48,-0.052,-0.12,0.059,0,-0.017,-37.018,0,"mochi_2929",0.052,-16.556,0,"CAT tourniquet",-19.174,-45.087,0,"sano jpn",-11.128,-60.095,0,"にゃんこ3K",20.598,-48.524,0,"じゃが一",13.021,-63.427,0,"ぐだもん",42.613,-97.241,0,"alcohol500",1.091,-113.182,0,"あくせる",-48.917,-94.722,0,1904.797,29.442,-78.699,1912.2,7,"alcohol500",49.232,-104.928,1,0,0,0,0,0,0,2
13,1,1,1,0,0,0,2,0,1,1,255,4,1,12,2084.566,"ゆっち一",R,27,127,1.265,1.351,0.218,1.749,-36.498,1,0,-4.247,-114.981,-6.413,0,0,0,5,3,R,"오띵__",165.3,86.143,0.405,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045,-37.3,0,"mochi_2929",0.201,-16.45,0,"CAT tourniquet",-17.764,-44.989,0,"sano jpn",-12.143,-57.439,0,"にゃんこ3K",20.039,-42.035,0,"じゃが一",14.481,-61.002,0,"ぐだもん",34.256,-91.538,0,"alcohol500",-0.735,-111.873,0,"あくせる",-48.34,-93.553,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
14,1,1,1,0,1,0,2,0,1,1,255,4,1,13,2102.72,"ゆっち一",R,26,134,0.089,-0.378,0.187,1.279,-36.428,2,1,66.2,-200,19.328,0,0,1,5,3,R,"오띵__",165.3,86.143,0.405,3,137,2103.601,143,17,90,47,6,148,140,88,28.4,17.386,0.96,0.049,-0.021,0.121,0.073,0.254,-37.138,0,"mochi_2929",0.132,-16.425,0,"CAT tourniquet",-18.163,-44.985,0,"sano jpn",-13.498,-56.918,0,"にゃんこ3K",19.051,-40.773,0,"じゃが一",14.292,-61.544,0,"ぐだもん",35.651,-88.997,0,"alcohol500",1.056,-111.516,0,"あくせる",-47.456,-92.764,0,2108.138,-28.261,-87.022,2108.93,8,"あくせる",-29.153,-90.891,1,0,0,0,0,0,0,2
15,1,1,3,0,0,0,2,1,0,0,3,255,255,14,2263.045,"ゆっち一",R,10,111,-0.596,-0.905,0.016,1.511,-36.458,2,0,0,400,0.539,0,0,1,6,8,L,"NABIMan",190,89.844,0.546,3,35,2263.948,243,30,34,132,98,200,117,117,-30,-39.064,0.32,0.101,-0.032,0.046,0,-0.106,-37.055,0,"mochi_2929",-0.12,-16.562,0,"CAT tourniquet",-19.161,-44.415,0,"sano jpn",-11.769,-61.767,0,"にゃんこ3K",22.056,-47.295,0,"じゃが一",13.753,-63.638,0,"ぐだもん",42.774,-88.884,0,"alcohol500",2.574,-112.603,0,"あくせる",-40.818,-96.162,0,2263.742,0.779,-21.775,2265.145,4,"にゃんこ3K",18.427,-43.732,0,0,0,0,0,0,0,2
16,1,0,3,0,0,0,0,0,0,0,255,255,255,0,2410.835,"なおｐ--",R,0,140,0.309,1.507,0.029,1.874,-36.655,1,0,0,0,0,0,0,0,0,1,R,"mochi_2929",190,97.434,0.447,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092,-37.936,0,"Kr_Luna",0.371,-17.312,0,"_Chun",-22.507,-52.221,0,"오띵__",-10.65,-66.365,0,"HANA_ARASHI",22.745,-50.411,0,"CVPileMaki",13.611,-64.701,0,"わかなで",46.53,-93.119,0,"Multeinn",-0.74,-107.704,0,"NABIMan",-42.077,-90.129,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
17,1,0,3,0,1,0,0,0,0,0,255,255,255,1,2430.933,"なおｐ--",R,13,88,-2.042,-0.758,-0.026,1.633,-36.971,1,0,-312.348,312.348,0,0,0,0,0,1,R,"mochi_2929",190,97.434,0.447,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031,-37.52,0,"Kr_Luna",-0.34,-17.198,0,"_Chun",-22.438,-52.133,0,"오띵__",-10.709,-66.373,0,"HANA_ARASHI",21.229,-49.324,0,"CVPileMaki",13.603,-64.787,0,"わかなで",45.223,-93.879,0,"Multeinn",-0.601,-108.195,0,"NABIMan",-42.326,-90.156,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
18,1,0,3,0,2,0,0,0,0,0,255,255,255,2,2450.807,"なおｐ--",R,0,140,1.051,0.233,0.098,1.628,-36.659,0,0,0,0,0,0,0,0,0,1,R,"mochi_2929",190,97.434,0.447,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.062,-37.866,0,"Kr_Luna",0.028,-17.211,0,"_Chun",-22.555,-52.175,0,"오띵__",-10.759,-66.348,0,"HANA_ARASHI",22.458,-52.002,0,"CVPileMaki",13.69,-64.722,0,"わかなで",44.917,-93.928,0,"Multeinn",0.241,-106.433,0,"NABIMan",-42.141,-90.035,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
19,1,0,3,0,2,1,0,0,0,0,255,255,255,3,2470.98,"なおｐ--",R,10,98,-0.395,-1.726,-0.055,1.373,-36.727,2,0,0,400,0,0,0,1,0,1,R,"mochi_2929",190,97.434,0.447,3,135,2472.22,130,18,127,84,63,120,150,121,10.198,39.98,0.38,-0.084,-0.202,0,0,-0.146,-37.267,0,"Kr_Luna",0.02,-17.274,0,"_Chun",-22.749,-51.787,0,"오띵__",-10.725,-66.355,0,"HANA_ARASHI",22.192,-51.011,0,"CVPileMaki",13.49,-64.731,0,"わかなで",41.451,-89.814,0,"Multeinn",-0.994,-105.01,0,"NABIMan",-42.317,-89.863,0,2473.916,-40.371,-61.628,2477.867,8,"NABIMan",-67.09,-80.914,1,1,0,0,0,0,0,2
20,1,0,3,0,0,0,1,0,0,0,255,255,255,4,2515.026,"なおｐ--",R,13,88,0.178,-1.871,0.237,1.392,-36.752,1,0,-312.348,312.348,0,0,0,0,1,3,R,"sano jpn",165.8,88.117,0.338,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015,-37.336,0,"Kr_Luna",0.076,-17.223,0,"_Chun",-22.641,-51.325,0,"오띵__",-10.831,-66.357,0,"HANA_ARASHI",22.191,-51.108,0,"CVPileMaki",13.53,-64.684,0,"わかなで",43.741,-92.078,0,"Multeinn",-2.122,-107.131,0,"NABIMan",-43.12,-83.888,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
21,1,0,3,0,1,0,1,0,0,0,255,255,255,5,2535.024,"なおｐ--",R,0,140,2.228,0.332,0.185,1.623,-36.617,4,0,0,0,0,0.015,-20.26,1,1,3,R,"sano jpn",165.8,88.117,0.338,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047,-37.775,0,"Kr_Luna",0.061,-18.172,0,"_Chun",-22.629,-51.368,0,"오띵__",-10.943,-66.279,0,"HANA_ARASHI",23.019,-52.87,0,"CVPileMaki",13.545,-64.633,0,"わかなで",39.126,-94.369,0,"Multeinn",-4.34,-107.122,0,"NABIMan",-40.476,-86.084,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
22,1,0,3,0,1,1,1,0,0,0,255,255,255,6,2559.285,"なおｐ--",R,3,87,0.79,-0.199,0.389,1.545,-36.84,0,0,-341.554,0,0,0,0,0,1,3,R,"sano jpn",165.8,88.117,0.338,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006,-37.684,0,"Kr_Luna",0.035,-17.225,0,"_Chun",-22.645,-51.429,0,"오띵__",-10.839,-66.317,0,"HANA_ARASHI",23.414,-52.812,0,"CVPileMaki",13.505,-64.639,0,"わかなで",37.484,-95.828,0,"Multeinn",-4.494,-106.089,0,"NABIMan",-41.686,-86.856,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
