id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1129.006,"アリアル",R,0,138,-0.4,-0.892,0.587,1.311,-36.801,0,0,0,0,0,0,0,0,0,5,R,"muyang_",172.8,80,0.496,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589,-37.603,0,"ke ro",-0.004,-17.126,0,"Slaris",-20.246,-48.318,0,"˗ˋˏ 카피 ˎˊ˗",-14.618,-63.898,0,"_이누_",18.667,-50.141,0,"coder_",11.614,-65.216,0,"소솨소솨",41.156,-84.606,0,"아침땅_",-0.277,-102.131,0,"Sabo_10",-36.967,-83.404,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1146.524,"アリアル",R,0,140,1.471,-0.021,0.636,1.338,-36.895,0,0,0,0,0,0,0,0,0,5,R,"muyang_",172.8,80,0.496,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471,-37.533,0,"ke ro",0.049,-17.148,0,"Slaris",-20.142,-48.371,0,"˗ˋˏ 카피 ˎˊ˗",-14.648,-63.951,0,"_이누_",18.596,-50.294,0,"coder_",10.776,-64.612,0,"소솨소솨",41.147,-84.611,0,"아침땅_",-0.521,-102.699,0,"Sabo_10",-36.855,-83.355,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1161.907,"アリアル",R,0,140,1.113,0.565,0.809,1.576,-36.875,0,0,0,0,0,0,0,0,0,5,R,"muyang_",172.8,80,0.496,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469,-37.568,0,"ke ro",0.015,-17.031,0,"Slaris",-20.153,-48.386,0,"˗ˋˏ 카피 ˎˊ˗",-14.635,-63.914,0,"_이누_",18.247,-50.489,0,"coder_",10.281,-64.455,0,"소솨소솨",41.165,-84.621,0,"아침땅_",-0.522,-102.689,0,"Sabo_10",-36.895,-83.402,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1185.679,"アリアル",R,0,131,-0.218,1.365,0.659,1.529,-36.807,4,0,0,0,0,0,0,1,1,1,R,"-라후이-",190,84,0.35,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,-37.539,0,"ke ro",0.014,-16.91,0,"Slaris",-20.132,-48.629,0,"˗ˋˏ 카피 ˎˊ˗",-15.774,-63.238,0,"_이누_",20.737,-52.039,0,"coder_",11.649,-65.307,0,"소솨소솨",42.204,-83.534,0,"아침땅_",0.103,-105.714,0,"Sabo_10",-37.896,-85.204,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,1199.377,"アリアル",R,0,139,2.571,-0.425,0.811,1.477,-36.836,1,0,0,0,0,0,0,0,1,1,R,"-라후이-",190,84,0.35,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454,-37.649,0,"ke ro",0.052,-16.997,0,"Slaris",-20.228,-48.558,0,"˗ˋˏ 카피 ˎˊ˗",-15.785,-63.295,0,"_이누_",19.523,-52.016,0,"coder_",11.709,-65.776,0,"소솨소솨",42.203,-83.538,0,"아침땅_",0.088,-105.677,0,"Sabo_10",-38.598,-85.125,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,1,1,0,0,0,255,255,255,5,1212.154,"アリアル",R,0,131,3.47,-0.807,0.634,1.446,-36.836,2,0,0,0,0,0,0,1,1,1,R,"-라후이-",190,84,0.35,3,89,1213.01,212,18,129,71,29,179,150,98,36.745,32.902,-0.45,-0.011,-0.096,0.209,0,0.367,-37.31,0,"ke ro",0.024,-17.031,0,"Slaris",-20.248,-48.518,0,"˗ˋˏ 카피 ˎˊ˗",-15.786,-63.342,0,"_이누_",19.516,-51.558,0,"coder_",11.624,-65.819,0,"소솨소솨",42.167,-83.544,0,"아침땅_",0.084,-105.717,0,"Sabo_10",-38.437,-85.325,0,1218.059,-52.603,-79.518,1218.267,8,"Sabo_10",-50.994,-77.882,0,0,0,0,0,0,0,1
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,1238.992,"アリアル",R,0,140,1.646,0.643,0.688,1.503,-36.913,2,0,0,0,0,0,0,1,2,4,R,"Dοpi",180.2,80,0.3,2,88,1239.882,188,9,85,30,10,181,139,93,44.34,-33.777,-0.35,0.02,-0.004,0.031,0,0.797,-37.531,0,"ke ro",0.048,-17.155,0,"Slaris",-20.846,-48.172,0,"˗ˋˏ 카피 ˎˊ˗",-15.211,-63.73,0,"_이누_",20.454,-52.518,0,"coder_",11.179,-66.128,0,"소솨소솨",40.57,-85.351,0,"아침땅_",-1.639,-101.747,0,"Sabo_10",-39.722,-85.335,0,1244.942,31.611,-83.172,1245.2,6,"소솨소솨",30.841,-81.457,0,0,0,0,0,0,0,1
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1489.473,"peperon8655",L,0,129,-0.621,-0.344,-0.081,1.64,-36.745,2,0,0,0,0,0,0,0,0,5,R,"coder_",164.3,90.42,0.403,3,84,1490.532,5,2,30,8,6,47,1,32,-66.865,25.205,0.48,-0.022,-0.107,0.037,1,-0.053,-37.23,0,"-라후이-",-0.134,-16.613,0,"siesta_aves",-21.193,-49.181,0,"즉석카레",-12.235,-60.869,0,"Dοpi",15.883,-44.202,0,"muyang_",14.307,-63.41,0,"Roscosmos",45.669,-92.993,0,"ByeolBam",-0.122,-110.477,0,"Penguin_iDOL",-45.761,-89.189,0,1490.825,-0.253,-20.2,1493.55,-1,"gwant",-1.891,-23.931,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,1,0,0,0,255,255,255,1,1518.742,"peperon8655",L,14,104,-2.963,-2.529,-0.119,1.394,-36.71,1,0,-367.557,314.427,0,-0.498,-21.355,0,1,2,R,"Slaris",190,86.36,0.452,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,-37.995,0,"-라후이-",-0.209,-16.517,0,"siesta_aves",-20.908,-48.863,0,"즉석카레",-12.771,-59.869,0,"Dοpi",19.536,-45.631,0,"muyang_",14.641,-64.116,0,"Roscosmos",44.173,-91.344,0,"ByeolBam",0.383,-111.761,0,"Penguin_iDOL",-41.486,-92.262,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,1,0,1,0,0,0,255,255,255,2,1533.544,"peperon8655",L,0,131,0.02,-0.965,0.002,1.622,-36.517,1,0,0,0,0,0,0,0,1,2,R,"Slaris",190,86.36,0.452,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,-37.939,0,"-라후이-",-0.22,-16.493,0,"siesta_aves",-21.088,-47.507,0,"즉석카레",-12.599,-60.072,0,"Dοpi",20.099,-47.032,0,"muyang_",13.033,-64.181,0,"Roscosmos",44.447,-93.115,0,"ByeolBam",-1.934,-111.441,0,"Penguin_iDOL",-41.432,-92.4,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
