id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1134.694,"_AKASATA_",R,12,118,-1.645,-1.488,0.118,1.151,-36.517,1,0,0,136.484,8.269,-0.409,-16.414,0,0,5,R,"coder_",164.2,80,0.305,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,-37.803,0,"_Chun",-0.031,-17.13,0,"Kr_Luna",-18.882,-40.086,0,"오띵__",-13.135,-65.093,0,"なおｐ--",21.714,-47.811,0,"CVPileMaki",13.563,-64.767,0,"あいくんだよー『아이 군』",28.126,-93.826,0,"Multeinn",-8.084,-104.831,0,"NABIMan",-42.212,-85.681,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1153.939,"_AKASATA_",R,27,140,-0.765,0.326,0.256,1.426,-36.55,0,0,72.436,-130.587,9.158,0,0,0,0,5,R,"coder_",164.2,80,0.305,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,-37.593,0,"_Chun",-0.04,-17.147,0,"Kr_Luna",-14.913,-40.298,0,"오띵__",-12.956,-64.997,0,"なおｐ--",18.278,-44.08,0,"CVPileMaki",13.079,-63.874,0,"あいくんだよー『아이 군』",29.275,-93.575,0,"Multeinn",-8.47,-101.09,0,"NABIMan",-42.103,-85.957,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1170.4,"_AKASATA_",R,26,140,2.505,0.148,0.548,1.389,-36.647,1,0,111.261,-174.806,-4.347,0,0,0,0,5,R,"coder_",164.2,80,0.305,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,-37.744,0,"_Chun",0.024,-17.224,0,"Kr_Luna",-17.341,-41.65,0,"오띵__",-12.899,-65.105,0,"なおｐ--",20.826,-47.01,0,"CVPileMaki",13.596,-64.804,0,"あいくんだよー『아이 군』",31.009,-98.172,0,"Multeinn",-8.212,-101.696,0,"NABIMan",-42.538,-87.364,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,1186.013,"_AKASATA_",R,13,126,-1.737,-1.031,0.311,1.371,-36.572,1,0,-379.842,325.146,23.359,0,0,0,0,5,R,"coder_",164.2,80,0.305,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,-37.646,0,"_Chun",-0.063,-17.179,0,"Kr_Luna",-16.662,-39.46,0,"오띵__",-12.563,-64.374,0,"なおｐ--",16.746,-42.167,0,"CVPileMaki",13.611,-64.784,0,"あいくんだよー『아이 군』",31.014,-98.308,0,"Multeinn",-7.3,-105.247,0,"NABIMan",-42.754,-87.124,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,3,1,0,0,0,0,255,255,255,4,1201.255,"_AKASATA_",R,28,131,3.169,1.405,0.605,1.63,-36.708,3,0,62.005,-96.404,-3.054,0,-19.245,0,0,5,R,"coder_",164.2,80,0.305,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,-37.28,0,"_Chun",0.038,-17.316,0,"Kr_Luna",-17.286,-42.147,0,"오띵__",-13.089,-65.31,0,"なおｐ--",18.092,-43.874,0,"CVPileMaki",13.593,-64.783,0,"あいくんだよー『아이 군』",39.381,-84.429,0,"Multeinn",-5.896,-104.964,0,"NABIMan",-42.437,-86.458,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,6
6,1,1,0,0,0,0,0,1,0,0,5,255,255,5,1254.888,"_AKASATA_",R,26,140,-2.883,0.14,0.456,1.408,-36.534,2,0,121.78,-200,-0.746,0,0,1,1,2,R,"Slaris",190,86.36,0.452,3,114,1255.795,145,10,85,44,23,91,139,93,15.448,-32.107,-0.51,-0.04,-0.026,0.111,0,0.173,-36.799,0,"_Chun",-0.013,-17.088,0,"Kr_Luna",-18.88,-46.262,0,"오띵__",-12.538,-64.516,0,"なおｐ--",20.835,-46.977,0,"CVPileMaki",7.722,-66.624,0,"あいくんだよー『아이 군』",34.034,-95.719,0,"Multeinn",-1.237,-110.85,0,"NABIMan",-44.342,-94.959,0,1258.807,32.925,-69.271,1264.332,6,"あいくんだよー『아이 군』",53.34,-99.246,1,0,0,0,0,0,0,2
7,1,1,1,0,0,0,0,0,1,0,255,2,255,6,1308.147,"_AKASATA_",R,26,140,0.238,-0.502,0.337,1.275,-36.487,0,0,134.232,-200,-2.638,0,0,0,2,8,L,"encounter v",180,93,0.497,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,-37.517,0,"_Chun",-0.008,-17.075,0,"Kr_Luna",-19.83,-47.1,0,"오띵__",-7.207,-64.482,0,"なおｐ--",20.857,-46.759,0,"CVPileMaki",15.59,-62.94,0,"あいくんだよー『아이 군』",43.986,-87.498,0,"Multeinn",4.49,-105.646,0,"NABIMan",-38.381,-87.445,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,1,0,0,1,0,0,1,0,255,2,255,7,1327.088,"_AKASATA_",R,26,133,1.785,1.065,0.478,1.547,-36.573,1,0,115.806,-186.543,-7.382,0.665,-17.697,0,2,8,L,"encounter v",180,93,0.497,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.826,0,"_Chun",0.239,-17.181,0,"Kr_Luna",-20.233,-47.593,0,"오띵__",-9.336,-66.562,0,"なおｐ--",21.246,-46.823,0,"CVPileMaki",16.984,-62.073,0,"あいくんだよー『아이 군』",45.32,-88.279,0,"Multeinn",6.912,-108.535,0,"NABIMan",-38.503,-86.777,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,1,1,0,0,1,0,255,2,255,8,1346.357,"_AKASATA_",R,28,140,-36.936,8.827,0.142,1.166,-36.465,2,0,45.221,-89.323,0.924,0,0,1,2,8,L,"encounter v",180,93,0.497,3,112,1347.479,184,9,130,70,41,100,150,88,33.929,18.817,-0.47,0.027,-0.183,0.162,0,-0.217,-37.032,0,"_Chun",-0.028,-17.192,0,"Kr_Luna",-20.179,-48.758,0,"오띵__",-7.237,-66.459,0,"なおｐ--",21.565,-47.863,0,"CVPileMaki",17.127,-62.116,0,"あいくんだよー『아이 군』",45.281,-88.34,0,"Multeinn",10.603,-107.641,0,"NABIMan",-38.737,-87.704,0,1352.282,-13.306,-90.826,1353.753,7,"Multeinn",-14.733,-100.543,1,0,0,0,0,0,0,2
10,1,1,1,0,0,0,0,1,0,1,8,255,2,9,1390.819,"_AKASATA_",R,13,114,-0.522,-1.229,0.368,1.251,-36.496,4,0,-195.841,400,9.235,0,0,1,3,1,L,"눈꽃",190,80,0.496,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,-37.815,0,"_Chun",-0.006,-17.094,0,"Kr_Luna",-19.624,-43.415,0,"오띵__",-10.755,-64.829,0,"なおｐ--",20.23,-45.641,0,"CVPileMaki",15.897,-62.871,0,"あいくんだよー『아이 군』",41.419,-86.215,0,"Multeinn",6.436,-107.81,0,"NABIMan",-39.181,-89.846,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
