id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1575.919,"하루（Haru）",R,26,140,1.928,0.094,0.098,1.922,-36.358,2,0,74.563,-156.509,5.256,0,0,1,0,1,R,"mochi_2929",180.2,97.434,0.447,3,59,1576.991,187,18,125,86,36,159,150,99,91.425,-87.105,-0.19,0.025,-0.035,0.027,0,-0.534,-36.776,0,"HalF_HearteD",0.186,-17.035,0,"Azuner",-23.104,-48.472,0,"장덕춘_",-14.823,-63.943,0,"bdg06213",22.205,-48.431,0,"Pugeuk",10.434,-58.676,0,"Apple_Sherbet",40.819,-87.951,0,"magimari",-1.909,-105.23,0,"卯月満開",-44.775,-95.725,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1594.502,"하루（Haru）",R,10,99,1.18,-0.513,0.11,1.933,-36.459,2,0,0,400,-6.441,0,0,1,0,1,R,"mochi_2929",180.2,97.434,0.447,3,59,1595.786,65,14,107,63,18,156,115,107,-30,1.148,0.12,0.047,-0.048,0.185,0,0.069,-37.289,0,"HalF_HearteD",0.124,-16.937,0,"Azuner",-23.113,-48.471,0,"장덕춘_",-14.835,-63.887,0,"bdg06213",21.127,-48.429,0,"Pugeuk",10.997,-59.264,0,"Apple_Sherbet",41.265,-86.996,0,"magimari",-1.834,-104.506,0,"卯月満開",-42.759,-90.24,0,1595.658,0.212,-19.792,1607.691,7,"magimari",-8.296,-133.109,1,0,0,0,0,0,0,2
3,1,1,0,0,0,0,0,0,0,1,255,255,1,2,1641.907,"하루（Haru）",R,27,140,1.514,1.828,0.125,2.085,-36.455,1,0,64.689,-122.527,5.809,0,0,0,1,3,R,"sano jpn",170.5,87.841,0.328,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,-37.54,0,"HalF_HearteD",0.069,-16.869,0,"Azuner",-20.989,-46.401,0,"장덕춘_",-14.677,-63.946,0,"bdg06213",20.518,-44.078,0,"Pugeuk",10.246,-58.41,0,"Apple_Sherbet",44.034,-91.071,0,"magimari",-2.37,-105.227,0,"卯月満開",-39.454,-92.658,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,0,0,0,0,1,255,255,1,3,1659.37,"하루（Haru）",R,27,140,-0.677,1.178,-0.08,1.986,-36.368,1,0,59.257,-115.546,9.117,0,0,0,1,3,R,"sano jpn",170.5,87.841,0.328,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.327,-37.22,0,"HalF_HearteD",-0.14,-16.897,0,"Azuner",-20.946,-46.421,0,"장덕춘_",-14.661,-63.891,0,"bdg06213",19.05,-44.357,0,"Pugeuk",10.493,-58.46,0,"Apple_Sherbet",43.279,-90.347,0,"magimari",-1.559,-105.567,0,"卯月満開",-39.486,-88.907,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,0,0,0,0,1,255,255,1,4,1674.646,"하루（Haru）",R,28,132,0.846,1.32,0.069,2.018,-36.445,1,0,32.981,-70.413,3.211,0,0,0,1,3,R,"sano jpn",170.5,87.841,0.328,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.262,-36.988,0,"HalF_HearteD",-0.022,-16.972,0,"Azuner",-20.952,-46.376,0,"장덕춘_",-14.694,-63.9,0,"bdg06213",19.569,-42.984,0,"Pugeuk",10.405,-58.603,0,"Apple_Sherbet",43.308,-90.35,0,"magimari",-1.539,-105.543,0,"卯月満開",-40.171,-89.904,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,3,0,0,0,0,1,255,255,1,5,1689.453,"하루（Haru）",R,10,92,-0.055,-0.765,-0.012,1.938,-36.928,2,0,0,388.878,-7.09,0,0,1,1,3,R,"sano jpn",170.5,87.841,0.328,3,75,1690.693,120,17,81,105,49,132,140,110,-30,48.019,0.92,-0.042,0.026,0.118,0.4,-0.216,-36.946,0,"HalF_HearteD",0.001,-17.042,0,"Azuner",-20.916,-46.421,0,"장덕춘_",-14.676,-63.883,0,"bdg06213",19.203,-42.888,0,"Pugeuk",10.523,-58.334,0,"Apple_Sherbet",43.035,-90.116,0,"magimari",-1.57,-105.565,0,"卯月満開",-40.147,-89.896,0,1690.608,-1.145,-21.299,0,0,"",0,0,0,0,0,0,0,0,0,3
7,1,1,0,0,3,1,0,0,0,1,255,255,1,6,1708.123,"하루（Haru）",R,27,132,-0.614,-0.747,-0.08,1.683,-36.375,0,0,77.366,-119.772,8.89,0,0,0,1,3,R,"sano jpn",170.5,87.841,0.328,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-37.574,0,"HalF_HearteD",-0.111,-16.827,0,"Azuner",-20.84,-46.42,0,"장덕춘_",-13.788,-63.545,0,"bdg06213",20.678,-45.157,0,"Pugeuk",11.831,-60.223,0,"Apple_Sherbet",44.244,-87.101,0,"magimari",-2.426,-105.702,0,"卯月満開",-42.235,-90.775,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,3,2,0,0,0,1,255,255,1,7,1722.887,"하루（Haru）",R,27,140,0.334,0.75,0.013,1.911,-36.323,2,0,64.376,-148.753,7.669,0,0,1,1,3,R,"sano jpn",170.5,87.841,0.328,3,75,1723.912,155,4,57,22,20,50,105,67,14.741,7.757,-0.36,-0.048,0.019,0.014,0,-0.688,-36.935,0,"HalF_HearteD",0.001,-16.941,0,"Azuner",-20.791,-46.516,0,"장덕춘_",-13.93,-63.379,0,"bdg06213",21.305,-47.007,0,"Pugeuk",11.359,-59.888,0,"Apple_Sherbet",43.49,-88.36,0,"magimari",-2.018,-106.171,0,"卯月満開",-42.345,-90.967,0,1725.975,-6.791,-53.49,1726.725,3,"장덕춘_",-7.682,-57.811,0,0,0,0,0,0,0,2
9,1,1,0,0,0,0,1,0,0,1,255,255,1,8,1752.923,"하루（Haru）",R,10,102,0.916,-0.283,0.085,1.935,-36.552,0,0,0,400,-8.127,0,0,0,2,0,R,"559：広告",190,83.967,0.437,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017,-37.377,0,"HalF_HearteD",0.106,-16.688,0,"Azuner",-21.298,-46.619,0,"장덕춘_",-14.2,-64.267,0,"bdg06213",21.146,-45.625,0,"Pugeuk",10.475,-57.753,0,"Apple_Sherbet",41.925,-87.99,0,"magimari",-1.06,-106.05,0,"卯月満開",-40.82,-93.464,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,1,0,0,1,255,255,1,9,1767.178,"하루（Haru）",R,27,140,-0.236,0.343,-0.038,1.864,-36.262,2,0,57.519,-139.261,7.065,0,0,1,2,0,R,"559：広告",190,83.967,0.437,3,36,1768.258,208,19,119,56,18,131,150,130,101.308,-78.814,0.63,-0.002,-0.057,0.114,0,-0.124,-37.291,0,"HalF_HearteD",0.082,-16.804,0,"Azuner",-21.3,-46.733,0,"장덕춘_",-14.019,-64.542,0,"bdg06213",20.938,-47.832,0,"Pugeuk",11.251,-59.2,0,"Apple_Sherbet",41.981,-87.412,0,"magimari",-1.079,-106.032,0,"卯月満開",-40.847,-93.579,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
