id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1081.575,"sano jpn",R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,R,"muyang_",172.6,80,0.446,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1115.291,"sano jpn",R,27,84,137,0.672,0.06,0.231,1.486,-36.528,0,0,124.407,-131.906,6.482,0,0,0,0,5,R,"muyang_",172.6,80,0.446,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-37.286,0,"ゆっち一",-0.034,-16.504,0,"檸檬の残骸",-20.973,-46.91,0,"mochi_2929",-11.831,-62.13,0,"にゃんこ3K",21.186,-54.117,0,"559：広告",8.79,-65.296,0,"じゃが一",35.87,-93.658,0,"alcohol500",-5.07,-110.606,0,"あくせる",-43.471,-88.481,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1136.004,"sano jpn",R,10,73,116,-2.481,-1.93,-0.011,1.416,-36.591,1,0,0,400,0.863,-0.556,-17.194,0,0,5,R,"muyang_",172.6,80,0.446,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,-37.238,0,"ゆっち一",-0.449,-16.993,0,"檸檬の残骸",-20.725,-46.485,0,"mochi_2929",-12.293,-62.843,0,"にゃんこ3K",21.165,-54.048,0,"559：広告",8.973,-66.063,0,"じゃが一",35.968,-96.647,0,"alcohol500",-5.639,-112.152,0,"あくせる",-43.478,-88.424,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,1154.703,"sano jpn",R,3,63,96,1.408,0.171,0.444,1.419,-36.585,0,0,-362.394,0,-26.41,0,0,0,0,5,R,"muyang_",172.6,80,0.446,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,-37.445,0,"ゆっち一",-0.09,-16.455,0,"檸檬の残骸",-20.029,-46.366,0,"mochi_2929",-12.345,-63.018,0,"にゃんこ3K",21.175,-54.081,0,"559：広告",8.975,-66.039,0,"じゃが一",35.937,-96.647,0,"alcohol500",-2.151,-111.924,0,"あくせる",-43.149,-87.524,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,1170.662,"sano jpn",R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,R,"muyang_",172.6,80,0.446,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,3,2,0,0,0,0,255,255,255,5,1197.518,"sano jpn",R,6,70,99,1.977,-0.654,0.109,1.437,-36.554,2,0,447.356,0,0.177,0,0,1,0,5,R,"muyang_",172.6,80,0.446,2,35,1198.563,237,30,48,75,39,137,88,-11.911,38,-0.36,0.018,-0.046,0.072,0,0.218,-0.532,-36.872,0,"ゆっち一",-0.038,-16.697,0,"檸檬の残骸",-20.578,-46.903,86,"mochi_2929",-12.494,-63.122,0,"にゃんこ3K",21.18,-54.115,0,"559：広告",8.204,-64.792,0,"じゃが一",36.678,-94.858,0,"alcohol500",-4.555,-110.303,0,"あくせる",-43.124,-87.535,0,1198.781,-1.926,-23.125,1200.348,2,"檸檬の残骸",-17.743,-43.705,0,0,0,0,0,0,0,2
7,1,1,0,0,0,0,1,0,0,0,255,255,255,6,1229.525,"sano jpn",R,27,82,134,2.086,1.074,0.331,1.606,-36.513,4,0,111.47,-125.155,4.481,0,0,1,1,8,R,"Penguin_iDOL",180,80,0.397,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,-37.35,0,"ゆっち一",0.005,-16.434,120,"檸檬の残骸",-20.134,-46.565,0,"mochi_2929",-13.697,-62.705,0,"にゃんこ3K",20.715,-53.966,0,"559：広告",7.39,-66.019,0,"じゃが一",37.079,-104.23,0,"alcohol500",-6.188,-114.493,0,"あくせる",-43.36,-89.335,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,1,0,0,0,255,255,255,7,1247.019,"sano jpn",R,3,60,93,0.334,-1.042,0.427,1.21,-36.922,1,0,-354.294,0,-23.739,0,0,0,1,8,R,"Penguin_iDOL",180,80,0.397,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,-37.889,0,"ゆっち一",-0.214,-16.509,0,"檸檬の残骸",-20.448,-46.252,0,"mochi_2929",-13.7,-62.709,0,"にゃんこ3K",20.721,-53.989,0,"559：広告",7.649,-65.998,0,"じゃが一",37.028,-104.166,0,"alcohol500",-8.525,-113.49,0,"あくせる",-43.462,-89.399,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,1,1,1,0,0,0,255,255,255,8,1266.352,"sano jpn",R,26,79,131,1.201,0.761,0.266,1.568,-36.516,0,0,140.322,-177.391,3.431,0,0,1,1,8,R,"Penguin_iDOL",180,80,0.397,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,-37.397,0,"ゆっち一",-0.058,-16.319,0,"檸檬の残骸",-20.824,-46.676,0,"mochi_2929",-13.693,-62.691,0,"にゃんこ3K",20.729,-54.001,0,"559：広告",7.66,-66.001,0,"じゃが一",37.174,-104.058,0,"alcohol500",-5.046,-114.349,0,"あくせる",-43.44,-89.391,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,2,1,0,0,0,255,255,255,9,1286.044,"sano jpn",R,13,59,92,1.471,0.39,0.411,1.604,-36.505,0,0,-284.108,307.541,-24.732,0,0,0,1,8,R,"Penguin_iDOL",180,80,0.397,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,-37.376,0,"ゆっち一",-0.019,-16.475,0,"檸檬の残骸",-20.586,-47.199,0,"mochi_2929",-13.732,-62.593,0,"にゃんこ3K",20.737,-54.012,0,"559：広告",7.652,-65.873,0,"じゃが一",37.37,-103.32,0,"alcohol500",-5.947,-112.25,0,"あくせる",-43.434,-89.42,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
