id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1089.351,"눈꽃",R,0,98,140,-0.648,0.039,0.016,1.922,-36.643,0,0,7.069,-11.073,3.145,0,0,0,0,5,R,"CVPileMaki",169.6,94,0.399,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329,-37.072,0,"encounter v",-0.069,-16.948,0,"_이누_",-20.597,-48.44,0,"아침땅_",-14.633,-63.93,0,"Slaris",21.144,-48.76,0,"coder_",11.348,-65.777,0,"소솨소솨",36.64,-84.361,0,"ke ro",0.561,-106.295,0,"Sabo_10",-40.381,-90.755,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1104.023,"눈꽃",R,28,84,137,2.153,0.694,0.044,1.89,-36.46,2,0,72.37,-89.452,16.637,0,0,1,0,5,R,"CVPileMaki",169.6,94,0.399,3,139,1105.138,107,9,79,62,44,138,73,36.279,9.005,0.96,0.009,-0.01,0.088,0,0.194,0.251,-36.993,0,"encounter v",-0.055,-17.145,120,"_이누_",-19.874,-47.762,0,"아침땅_",-14.618,-63.943,88,"Slaris",21.299,-48.8,0,"coder_",11.454,-65.72,0,"소솨소솨",36.679,-84.427,0,"ke ro",0.737,-106.257,0,"Sabo_10",-41.396,-89.396,0,1109.635,-12.421,-70.698,1110.211,0,"HANA_ARASHI",-12.334,-70.343,0,0,0,0,0,0,0,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,1189.502,"눈꽃",R,28,81,133,-1.725,0.079,-0.12,1.926,-36.684,1,0,23.859,-53.111,10.89,0,0,0,1,2,L,"Kr_Luna",190,95.367,0.505,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-37.197,0,"encounter v",0.015,-16.977,0,"_이누_",-19.029,-50.542,0,"아침땅_",-12.418,-65.187,0,"Slaris",23.887,-52.297,0,"coder_",12.682,-65.415,0,"소솨소솨",47.213,-91.644,0,"ke ro",11.063,-117.45,0,"Sabo_10",-33.001,-83.322,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,0,1,0,0,0,255,255,255,3,1203.663,"눈꽃",R,27,83,136,-0.628,0.468,-0.122,1.919,-36.632,2,0,91.146,-123.457,32.556,0,0,1,1,2,L,"Kr_Luna",190,95.367,0.505,2,137,1204.442,179,17,170,91,52,150,118,11.327,-24.39,0.18,0.006,-0.026,0.331,0,0.133,-0.136,-37.075,0,"encounter v",-0.109,-17.063,0,"_이누_",-19.222,-49.788,0,"아침땅_",-12.423,-65.184,0,"Slaris",23.837,-52.231,85,"coder_",12.202,-65.613,0,"소솨소솨",48.013,-92.827,0,"ke ro",8.574,-113.867,87,"Sabo_10",-32.561,-85.725,0,1206.878,30.1,-87.119,1211.288,7,"ke ro",40.454,-113.004,1,0,0,0,0,0,0,2
5,1,1,0,0,0,0,1,0,1,0,255,2,255,4,1240.492,"눈꽃",R,32,90,140,1.946,-0.708,0.108,1.718,-36.518,1,0,221.838,-157.914,18.275,0,0,0,2,1,L,"_Chun",190,80,0.455,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272,-37.39,0,"encounter v",-0.071,-16.983,0,"_이누_",-18.871,-46.803,0,"아침땅_",-7.676,-64.128,0,"Slaris",22.537,-47.648,0,"coder_",13.325,-67.274,0,"소솨소솨",45.467,-90.528,0,"ke ro",3.056,-114.858,0,"Sabo_10",-31.387,-82.488,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,0,1,0,1,0,255,2,255,5,1256.289,"눈꽃",R,14,71,112,2.394,-1.229,0.124,1.723,-36.433,1,0,357.374,349.691,2.499,0,0,0,2,1,L,"_Chun",190,80,0.455,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,-37.552,0,"encounter v",0.065,-17.499,0,"_이누_",-18.727,-48.834,0,"아침땅_",-8.677,-65.92,0,"Slaris",22.344,-48.001,0,"coder_",12.47,-66.621,0,"소솨소솨",46.558,-88.316,0,"ke ro",3.147,-114.909,0,"Sabo_10",-30.401,-80.405,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,2,0,1,0,1,0,255,2,255,6,1274.949,"눈꽃",R,34,89,140,0.018,0.552,-0.042,1.971,-36.491,2,0,83.102,-57.712,12.691,0,0,1,2,1,L,"_Chun",190,80,0.455,3,136,1275.822,154,13,72,64,24,143,76,-9.02,-32.037,0.97,-0.101,0.015,0.018,0,0.103,-0.04,-37.093,0,"encounter v",-0.067,-17.085,0,"_이누_",-18.639,-48.663,69,"아침땅_",-6.837,-65.914,0,"Slaris",21.148,-50.823,120,"coder_",12.13,-65.438,0,"소솨소솨",45.81,-88.92,0,"ke ro",3.369,-114.952,0,"Sabo_10",-31.691,-85.451,0,1275.767,3.274,-24.36,1277.475,4,"Slaris",18.511,-45.165,0,0,0,0,0,0,0,2
8,1,1,0,0,0,0,2,0,1,0,255,2,255,7,1303.705,"눈꽃",R,0,87,140,2.141,-0.246,0.123,1.814,-36.536,2,0,16.069,-14.813,2.014,0,0,1,3,4,R,"なおｐ--",190,90.37,0.445,3,134,1304.741,255,13,84,38,34,144,107,-11.318,-6.644,0.04,-0.068,-0.058,0.475,0,0.414,0.325,-37.198,0,"encounter v",0.058,-17.032,0,"_이누_",-20.977,-48.74,57,"아침땅_",-14.887,-63.787,0,"Slaris",21.483,-50.135,0,"coder_",9.313,-65.246,97,"소솨소솨",32.481,-87.296,0,"ke ro",-7.584,-115.024,0,"Sabo_10",-46.842,-103.906,0,1304.545,0.776,-25.132,1306.399,5,"coder_",4.555,-60.659,0,0,0,0,0,0,0,2
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1418.27,"HANA_ARASHI",R,13,77,116,1.224,0.458,0.254,1.836,-36.48,0,0,-384.274,319.897,0,0,0,0,0,5,R,"coder_",163.5,107,0.503,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-36.939,0,"_Chun",-0.002,-17.131,0,"Kr_Luna",-19.809,-46.188,0,"오띵__",-11,-65.855,0,"なおｐ--",20.814,-46.641,0,"CVPileMaki",9.901,-59.743,0,"tsubasa_jp",42.98,-93.578,0,"_AKASATA_",-4.754,-112.79,0,"M_lunatic",-45.084,-91.713,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,1,0,0,0,0,255,255,255,1,1431.028,"HANA_ARASHI",R,0,81,132,1.249,-0.467,0.116,1.584,-36.365,2,0,0,0,0,0,0,1,0,5,R,"coder_",163.5,107,0.503,3,132,1432.125,3,1,9,0,0,0,31,111.847,51.934,0.52,0.038,-0.136,0,1,0.67,0.05,-36.358,0,"_Chun",0.039,-17.266,120,"Kr_Luna",-20.178,-47.337,0,"오띵__",-11.026,-65.788,0,"なおｐ--",20.829,-46.664,0,"CVPileMaki",12.115,-61.723,0,"tsubasa_jp",42.996,-93.603,0,"_AKASATA_",-5.234,-112.579,0,"M_lunatic",-45.277,-92.771,0,1435.1,10.017,-11.069,1435.225,1,"_Chun",9.571,-11.418,0,0,0,0,0,0,0,1
