id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1382.784,"인생최패망자",R,27,81,132,-0.257,0.451,-0.025,1.715,-36.367,2,0,6.136,-143.709,0,0,0,1,0,7,R,"Pizzallaris",165.8,88.152,0.346,3,59,1383.859,125,20,164,88,54,142,122,98.046,-74.375,0.36,-0.037,0.002,0.115,0.19,0.214,-0.026,-37.092,0,"Pring__",0.015,-16.976,0,"Fresh825",-21.45,-44.732,0,"とりらむ",-13.551,-63.682,0,"Megu3568",17.719,-44.845,0,"ʚEveɞ",10.056,-66.012,0,"IbikiKai_JP",46.253,-87.855,0,"Gonyong",-2.814,-106.889,0,"SOM_candy",-43.785,-84.321,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1403.606,"인생최패망자",R,4,68,104,-1.057,0.528,-0.032,1.805,-36.427,0,0,-184.862,0,0,0,0,0,0,7,R,"Pizzallaris",165.8,88.152,0.346,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,-37.42,0,"Pring__",-0.321,-16.935,0,"Fresh825",-22.068,-44.745,0,"とりらむ",-14.354,-63.975,0,"Megu3568",17.858,-45.008,0,"ʚEveɞ",10.015,-66.094,0,"IbikiKai_JP",43.525,-88.944,0,"Gonyong",-5.036,-105.019,0,"SOM_candy",-46.321,-85.933,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1416.814,"인생최패망자",R,26,81,133,1.888,-1.341,0.153,1.437,-36.322,1,0,77.494,-200,0,0,0,0,0,7,R,"Pizzallaris",165.8,88.152,0.346,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,-37.581,0,"Pring__",0.035,-16.928,0,"Fresh825",-20.844,-42.72,0,"とりらむ",-14.374,-64.291,0,"Megu3568",17.883,-45.026,0,"ʚEveɞ",10.013,-66.137,0,"IbikiKai_JP",43.404,-88.887,0,"Gonyong",-4.973,-105.016,0,"SOM_candy",-45.836,-86.171,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1430.039,"인생최패망자",R,27,89,140,-1.797,0.167,-0.179,1.681,-36.349,1,0,42.191,-125.448,0,0,0,0,0,7,R,"Pizzallaris",165.8,88.152,0.346,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137,-37.485,0,"Pring__",-0.014,-16.917,0,"Fresh825",-23.15,-45.653,0,"とりらむ",-14.27,-63.73,0,"Megu3568",17.848,-45.041,0,"ʚEveɞ",10.029,-66.112,0,"IbikiKai_JP",43.492,-88.913,0,"Gonyong",-4.434,-105.444,0,"SOM_candy",-44.369,-86.121,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,1443.221,"인생최패망자",R,27,90,140,-1.169,0.705,-0.125,1.757,-36.342,0,0,58.536,-138.48,0,0,0,0,0,7,R,"Pizzallaris",165.8,88.152,0.346,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203,-37.857,0,"Pring__",0.001,-16.928,0,"Fresh825",-21.974,-44.455,0,"とりらむ",-13.445,-64.532,0,"Megu3568",17.819,-45.018,0,"ʚEveɞ",10.046,-66.129,0,"IbikiKai_JP",43.436,-88.828,0,"Gonyong",-0.772,-111.131,0,"SOM_candy",-44.464,-86.18,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,1465.951,"인생최패망자",R,10,69,100,-1.103,-1.01,-0.153,1.666,-36.445,2,0,-0.489,400,0,0,0,1,1,5,L,"shimenawa",175.1,95.407,0.2,3,59,1467.147,124,18,118,128,71,141,84,10.805,-39.644,0.94,-0.071,-0.031,0,0,0.219,-0.239,-37.025,0,"Pring__",-0.093,-16.951,0,"Fresh825",-20.633,-48.968,86,"とりらむ",-10.639,-65.25,0,"Megu3568",18.103,-46.762,107,"ʚEveɞ",15.413,-63.457,0,"IbikiKai_JP",45.737,-91.97,0,"Gonyong",2.648,-126.72,0,"SOM_candy",-44.422,-111.591,0,1468.578,19.73,-43.531,1468.795,4,"Megu3568",18.629,-42.267,0,0,0,0,0,0,0,1
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,1486.206,"인생최패망자",R,26,84,137,0.912,0.763,0.076,1.768,-36.38,0,0,34.522,-176.229,0,0,0,0,2,3,R,"カズティー",174.9,85,0.329,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,-37.662,0,"Pring__",0.12,-16.776,111,"Fresh825",-23.909,-46.212,0,"とりらむ",-13.972,-64.28,0,"Megu3568",17.809,-46.129,0,"ʚEveɞ",9.341,-66.449,0,"IbikiKai_JP",42.217,-89.535,0,"Gonyong",-0.569,-113.909,0,"SOM_candy",-45.564,-93.222,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,2,0,0,0,255,255,255,7,1496.314,"인생최패망자",R,26,84,136,3.238,0.526,0.248,1.723,-36.535,1,0,183.946,-200,0,0,0,0,2,3,R,"カズティー",174.9,85,0.329,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,-37.521,0,"Pring__",0.043,-16.8,0,"Fresh825",-23.895,-46.212,0,"とりらむ",-14.079,-63.828,0,"Megu3568",17.99,-46.112,0,"ʚEveɞ",9.487,-66.542,0,"IbikiKai_JP",42.121,-89.472,0,"Gonyong",-0.564,-113.826,0,"SOM_candy",-45.605,-87.787,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,1,1,2,0,0,0,255,255,255,8,1507.783,"인생최패망자",R,27,86,139,1.468,1.363,0.009,1.46,-36.362,2,0,39.201,-122.992,0,0,0,1,2,3,R,"カズティー",174.9,85,0.329,3,59,1508.692,255,20,116,92,15,150,90,-20.47,7.426,-0.58,-0.068,-0.106,0.086,0,0.954,0.024,-37.079,0,"Pring__",0.074,-16.994,0,"Fresh825",-23.832,-46.191,0,"とりらむ",-14.02,-63.876,107,"Megu3568",17.676,-45.96,0,"ʚEveɞ",9.478,-66.464,0,"IbikiKai_JP",42.252,-90.062,0,"Gonyong",-0.547,-113.924,0,"SOM_candy",-45.644,-88.688,0,1508.745,-0.1,-20.483,1511.162,3,"とりらむ",-5.972,-62.003,0,0,0,0,0,0,0,2
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1652.286,"甲斐野柊太",R,28,68,108,-0.735,0.388,-0.141,1.825,-36.748,0,0,64.508,-75.645,0,0,0,0,0,5,L,"ʚEveɞ",165.1,85,0.347,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.297,-37.395,0,"あおいぬ",0.001,-16.818,0,"Nibi-chan",-20.009,-47.347,0,"カズティー",-10.648,-59.129,0,"Kenomo",17.135,-42.847,0,"shimenawa",13.832,-63.933,0,"horisen",42.432,-98.687,0,"Pizzallaris",0.189,-118.656,0,"それいゆ るな",-46.925,-89.619,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
