id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1216.995,"Kr_Luna",L,26,94,140,1.669,0.013,0.18,1.716,-36.598,4,0,-98.911,-161.638,0,0,0,1,0,1,R,"mochi_2929",190,95.142,0.445,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,-37.428,0,"_Chun",0.109,-17.258,0,"_AKASATA_",-22.648,-48.675,0,"오띵__",-13.114,-65.229,0,"なおｐ--",20.2,-46.408,0,"CVPileMaki",12.251,-64.998,0,"SFIDA",39.726,-88.19,0,"Multeinn",0.572,-108.012,0,"M_lunatic",-43.996,-95.759,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1236.373,"Kr_Luna",L,14,74,113,-2.362,0.351,-0.079,1.966,-36.814,1,0,-356.161,350.927,0,0,0,0,0,1,R,"mochi_2929",190,95.142,0.445,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,-37.986,0,"_Chun",-0.143,-17.221,0,"_AKASATA_",-22.607,-48.759,0,"오띵__",-13.111,-65.214,0,"なおｐ--",20.669,-47,0,"CVPileMaki",12.231,-65.083,0,"SFIDA",39.663,-88.187,0,"Multeinn",1.039,-108.198,0,"M_lunatic",-41.525,-92.841,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1253.257,"Kr_Luna",L,26,91,140,2.925,-1.323,0.289,1.461,-36.54,2,0,-57.835,-152.435,0,0,0,0,0,1,R,"mochi_2929",190,95.142,0.445,3,59,1254.375,73,9,105,69,38,120,119,28.61,18.475,0.46,0.083,-0.073,0.218,0,0.233,0.332,-37.349,0,"_Chun",0.226,-17.337,0,"_AKASATA_",-22.58,-48.639,85,"오띵__",-13.079,-65.187,0,"なおｐ--",20.71,-47.024,0,"CVPileMaki",12.729,-64.96,0,"SFIDA",39.709,-88.171,0,"Multeinn",-2.705,-107.374,0,"M_lunatic",-41.544,-92.862,80,1257.873,-51.145,-110.357,1259.773,8,"M_lunatic",-52.983,-114.59,1,0,0,0,0,0,0,2
4,1,1,0,0,0,0,0,0,1,0,255,1,255,3,1294.427,"Kr_Luna",L,14,72,113,1.368,-0.163,0.255,1.833,-36.705,2,0,-390.434,312.348,0,0,0,1,1,3,R,"sano jpn",169.2,94.644,0.354,3,59,1295.521,169,19,130,110,105,150,80,-30,48.428,0.95,-0.053,0.028,0.11,0,0.451,0.299,-37.857,0,"_Chun",0.127,-17.316,0,"_AKASATA_",-20.786,-47.014,0,"오띵__",-13.18,-65.125,0,"なおｐ--",20.854,-46.873,0,"CVPileMaki",5.09,-64.469,0,"SFIDA",27.487,-99.424,0,"Multeinn",-0.274,-106.245,0,"M_lunatic",-45.551,-94.813,0,1293.856,-1.356,-22.323,0,0,"",0,0,0,0,0,0,0,0,0,3
5,1,1,0,0,0,1,0,0,1,0,255,1,255,4,1318.976,"Kr_Luna",L,27,94,140,2.148,-0.588,0.213,1.632,-36.566,1,0,-47.576,-123.612,0,0,0,0,1,3,R,"sano jpn",169.2,94.644,0.354,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,-37.675,0,"_Chun",0.163,-17.338,0,"_AKASATA_",-22.65,-48.721,0,"오띵__",-13.372,-64.975,0,"なおｐ--",20.412,-45.334,0,"CVPileMaki",1.972,-63.056,0,"SFIDA",25.991,-97.217,0,"Multeinn",-1.332,-107.878,0,"M_lunatic",-42.99,-92.333,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,1,0,0,1,0,255,1,255,5,1340.289,"Kr_Luna",L,6,79,117,1.27,-1.129,0.288,1.645,-36.581,2,0,-469.824,171.071,0,0,0,1,1,3,R,"sano jpn",169.2,94.644,0.354,3,59,1341.42,124,18,138,116,60,141,98,-13.497,-2.472,0.05,-0.052,-0.003,0.224,0,0.357,0.24,-37.891,119,"_Chun",0.129,-17.305,0,"_AKASATA_",-22.633,-48.774,0,"오띵__",-13.347,-65.017,91,"なおｐ--",19.94,-45.937,120,"CVPileMaki",4.331,-65.676,92,"SFIDA",25.096,-98.254,0,"Multeinn",-1.423,-109.694,0,"M_lunatic",-45.038,-92.315,0,1339.706,0.248,-22.776,1341.756,5,"CVPileMaki",1.909,-59.491,1,0,0,0,0,0,0,2
7,1,1,0,0,0,0,0,0,1,1,255,255,1,6,1385.198,"Kr_Luna",L,14,71,100,-2.734,-0.517,-0.054,1.83,-36.815,2,0,-351.161,317.475,0,0,0,1,2,8,R,"ゆっち一",180.2,85.623,0.42,3,59,1386.456,255,20,81,89,57,150,122,16.36,37.485,0.23,-0.048,-0.106,0.164,0,0.418,0.034,-37.851,0,"_Chun",-0.212,-17.118,120,"_AKASATA_",-21.288,-47.245,0,"오띵__",-12.794,-65.091,0,"なおｐ--",19.243,-42.98,0,"CVPileMaki",6.538,-65.538,100,"SFIDA",26.776,-106.503,0,"Multeinn",-5.984,-115.586,0,"M_lunatic",-46.912,-94.034,85,0,0,0,1388.223,8,"M_lunatic",-41.018,-91.821,0,0,0,0,0,0,0,1
8,1,1,1,0,0,0,1,0,1,0,255,3,255,7,1422.881,"Kr_Luna",L,26,89,140,2.854,-0.194,0.284,1.676,-36.519,1,0,-74.27,-162.142,0,0,0,0,3,4,R,"にゃんこ3K",190,90.056,0.546,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213,-37.993,0,"_Chun",0.498,-17.687,0,"_AKASATA_",-23.233,-48.656,0,"오띵__",-12.368,-65.437,0,"なおｐ--",20.318,-41.653,85,"CVPileMaki",5.333,-65.457,0,"SFIDA",40.154,-90.907,0,"Multeinn",4.432,-107.191,0,"M_lunatic",-44.603,-96.522,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,1,0,1,0,1,0,255,3,255,8,1445.532,"Kr_Luna",L,27,88,140,1.208,0.601,0.129,1.839,-36.693,0,0,-56.735,-123.612,0,0,0,0,3,4,R,"にゃんこ3K",190,90.056,0.546,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343,-38.023,0,"_Chun",0.12,-17.407,0,"_AKASATA_",-21.478,-47.778,0,"오띵__",-12.8,-65.354,0,"なおｐ--",20.097,-42.381,0,"CVPileMaki",6.575,-65.941,0,"SFIDA",38.391,-87.51,0,"Multeinn",3.605,-106.992,0,"M_lunatic",-44.564,-94.876,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,1,0,1,1,1,0,1,0,255,3,255,9,1466.473,"Kr_Luna",L,26,78,129,1.089,1.406,0.122,1.977,-36.659,1,0,-64.222,-171.931,0,0,0,0,3,4,R,"にゃんこ3K",190,90.056,0.546,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,-37.853,0,"_Chun",-0.117,-17.311,0,"_AKASATA_",-22.092,-48.8,0,"오띵__",-12.663,-65.394,0,"なおｐ--",20.17,-43.39,0,"CVPileMaki",4.871,-65.792,0,"SFIDA",38.443,-88.979,0,"Multeinn",7.037,-105.907,0,"M_lunatic",-46.596,-96.53,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
