id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,874.109,"559：広告",R,26,86,140,-1.056,0.309,-0.126,1.811,-36.604,2,0,118.881,-175.138,4.548,0,0,1,0,8,L,"卯月満開",171.2,90,0.2,2,46,874.917,6,0,19,8,5,1,37,-24.308,-15.232,0.77,0.002,-0.014,0.009,1,0.409,-0.4,-37.153,120,"Espressο",0.038,-17.232,0,"CAT tourniquet",-20.203,-46.8,90,"mochi_2929",-11.819,-62.685,0,"にゃんこ3K",23.277,-49.665,0,"sano jpn",14.693,-64.301,0,"ゆっち一",46.827,-86.223,0,"alcohol500",6.834,-114.242,0,"あくせる",-34.805,-95.347,0,875.259,0.32,-22.439,877.097,0,"559：広告",3.013,-32.147,0,1,0,0,0,0,0,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,901.412,"559：広告",R,13,81,119,-0.662,-1.381,0.053,1.651,-36.509,1,0,-362.227,344.662,-3.086,0,0,0,1,0,L,"하루（Haru）",190,84.777,0.553,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021,-37.712,0,"Espressο",-0.123,-17.677,120,"CAT tourniquet",-19.982,-46.179,0,"mochi_2929",-12.067,-63.164,0,"にゃんこ3K",23.989,-50.485,0,"sano jpn",16.51,-63.101,0,"ゆっち一",49.303,-88.5,0,"alcohol500",2.022,-117.542,0,"あくせる",-37.082,-96.406,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,0,1,0,0,0,255,255,255,2,917.425,"559：広告",R,27,73,126,0.633,-0.391,0.021,1.694,-36.482,2,0,134.759,-138.477,3.361,0,0,1,1,0,L,"하루（Haru）",190,84.777,0.553,3,108,918.44,131,18,132,160,110,143,129,25.107,-43.529,0.55,0.086,-0.024,0.022,0.036,0.239,-0.003,-37.323,0,"Espressο",-0.062,-17.701,0,"CAT tourniquet",-20.236,-46.541,0,"mochi_2929",-11.698,-63.78,0,"にゃんこ3K",23.981,-50.401,0,"sano jpn",16.466,-63.06,0,"ゆっち一",49.553,-88.619,0,"alcohol500",3.183,-117.33,0,"あくせる",-37.013,-96.133,0,923.417,90.23,-94.689,0,0,"",0,0,0,0,0,0,0,0,0,3
4,1,1,0,0,1,1,1,0,0,0,255,255,255,3,939.983,"559：広告",R,26,85,138,-1.475,-0.64,-0.166,1.646,-36.472,1,0,114.824,-164.108,-0.312,0,0,0,1,0,L,"하루（Haru）",190,84.777,0.553,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.268,-37.445,0,"Espressο",-0.16,-17.551,0,"CAT tourniquet",-20.017,-47.095,0,"mochi_2929",-11.981,-63.049,0,"にゃんこ3K",23.323,-51.136,0,"sano jpn",17.393,-62.273,0,"ゆっち一",50.56,-89.501,0,"alcohol500",1.079,-120.51,0,"あくせる",-36.46,-94.898,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,2,1,0,0,0,255,255,255,4,962.861,"559：広告",R,10,65,111,1.203,-1.84,0.117,1.622,-36.683,1,0,0,400,5.657,0,0,0,1,0,L,"하루（Haru）",190,84.777,0.553,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221,-37.879,0,"Espressο",0.871,-17.199,0,"CAT tourniquet",-19.988,-46.698,0,"mochi_2929",-12.078,-65.708,0,"にゃんこ3K",23.664,-50.376,0,"sano jpn",15.703,-62.688,0,"ゆっち一",50.527,-88.493,0,"alcohol500",4.314,-121.19,0,"あくせる",-36.694,-93.715,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,2,2,1,0,0,0,255,255,255,5,978.47,"559：広告",R,13,77,104,-0.461,-1.147,0.168,1.707,-36.771,4,0,-347.242,339.278,-6.675,0,0,1,1,0,L,"하루（Haru）",190,84.777,0.553,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,-37.458,0,"Espressο",-0.276,-17.433,0,"CAT tourniquet",-19.87,-45.653,0,"mochi_2929",-11.241,-64.884,0,"にゃんこ3K",23.8,-50.179,0,"sano jpn",15.49,-63.138,0,"ゆっち一",48.868,-89.64,0,"alcohol500",0.238,-120.401,0,"あくせる",-39.423,-96.084,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,1002.096,"559：広告",R,12,53,93,0.443,-0.807,0.124,1.703,-36.764,0,0,-88.825,132.31,-9.333,0,0,1,2,6,R,"Apple_Sherbet",176,86.926,0.301,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.083,-38.244,0,"Espressο",0.216,-17.434,0,"CAT tourniquet",-19.863,-46.473,0,"mochi_2929",-13.5,-62.875,0,"にゃんこ3K",21.74,-52.901,0,"sano jpn",15.49,-63.115,0,"ゆっち一",50.813,-93.812,0,"alcohol500",0.898,-118.377,0,"あくせる",-42.936,-91.19,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,2,0,0,0,255,255,255,7,1017.224,"559：広告",R,26,88,140,3.36,-0.945,0.027,1.598,-36.439,2,0,158.766,-171.323,2.109,0,0,1,2,6,R,"Apple_Sherbet",176,86.926,0.301,3,104,1018.14,255,20,186,85,44,150,88,50.976,-3.269,-0.67,-0.031,-0.052,0.28,0,0.288,-0.275,-37.087,0,"Espressο",0.213,-17.591,0,"CAT tourniquet",-20.662,-47.138,0,"mochi_2929",-13.439,-62.707,0,"にゃんこ3K",21.689,-52.949,0,"sano jpn",12.707,-64.97,0,"ゆっち一",49.387,-92.645,0,"alcohol500",-0.125,-119.023,0,"あくせる",-42.879,-91.237,0,1023.776,-5.158,-78.769,1023.913,3,"mochi_2929",-4.979,-77.112,0,0,0,0,0,0,0,1
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1192.101,"하루（Haru）",R,28,90,140,-0.763,0.102,-0.088,1.774,-36.238,0,0,61.315,-88.917,9.139,0,0,0,0,3,R,"mochi_2929",172.9,95.142,0.445,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167,-37.032,0,"TaeGeuk_",-0.196,-17.86,0,"HANA_ARASHI",-21.993,-48.727,0,"장덕춘_",-13.494,-64.583,0,"Azuner",18.759,-50.866,0,"Pugeuk",9.762,-63.026,0,"Apple_Sherbet",41.181,-94.671,0,"magimari",-2.587,-110.602,0,"卯月満開",-44.078,-95.874,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,1,0,0,0,0,255,255,255,1,1207.891,"하루（Haru）",R,6,49,99,2.14,0.437,0.034,1.858,-36.321,1,0,374.313,0,2.366,0,0,0,0,3,R,"mochi_2929",172.9,95.142,0.445,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,-37.541,0,"TaeGeuk_",0.397,-18.195,0,"HANA_ARASHI",-21.883,-48.725,0,"장덕춘_",-13.526,-64.547,0,"Azuner",18.807,-50.829,0,"Pugeuk",9.683,-63.938,0,"Apple_Sherbet",41.262,-94.884,0,"magimari",1.079,-112.601,0,"卯月満開",-44.083,-95.872,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,1,1,0,0,0,0,255,255,255,2,1226.071,"하루（Haru）",R,10,76,117,0.778,-1.771,0.072,1.636,-36.152,4,0,0,400,9.689,0.153,-18.471,1,0,3,R,"mochi_2929",172.9,95.142,0.445,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,-37.308,0,"TaeGeuk_",-0.215,-18.116,0,"HANA_ARASHI",-21.262,-49.206,0,"장덕춘_",-13.519,-64.527,0,"Azuner",18.837,-50.804,0,"Pugeuk",9.554,-63.895,0,"Apple_Sherbet",41.479,-94.691,0,"magimari",-0.555,-110.142,0,"卯月満開",-43.175,-91.774,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,1,2,0,0,0,0,255,255,255,3,1241.287,"하루（Haru）",R,27,87,140,0.334,1.524,0.009,1.993,-36.351,2,0,78.831,-122.831,11.211,0,0,1,0,3,R,"mochi_2929",172.9,95.142,0.445,3,54,1242.373,195,3,67,17,10,132,75,-64.035,65.983,-0.61,0.142,-0.016,0.306,0,0.173,0.099,-36.804,0,"TaeGeuk_",0.109,-18.055,0,"HANA_ARASHI",-20.784,-48.129,0,"장덕춘_",-13.423,-64.512,0,"Azuner",18.811,-50.795,0,"Pugeuk",9.669,-63.622,0,"Apple_Sherbet",41.347,-95.007,0,"magimari",-0.587,-110.247,0,"卯月満開",-43.748,-92.649,0,1242.597,-1.806,-18.771,0,0,"",0,0,0,0,0,0,0,0,0,3
13,1,0,0,0,1,2,0,0,0,0,255,255,255,4,1259.883,"하루（Haru）",R,3,66,113,-1.742,-0.327,-0.035,1.731,-36.367,2,0,-341.47,0,6.652,0,0,1,0,3,R,"mochi_2929",172.9,95.142,0.445,3,54,1261.093,247,16,101,44,24,150,64,5.171,27.441,1,0.013,-0.067,0.255,0,0.206,-0.457,-36.775,0,"TaeGeuk_",-0.486,-18.214,0,"HANA_ARASHI",-21.632,-48.992,120,"장덕춘_",-14.82,-63.579,99,"Azuner",18.517,-51.094,0,"Pugeuk",10.764,-64.698,0,"Apple_Sherbet",41.716,-97.991,0,"magimari",-2.458,-109.827,0,"卯月満開",-40.356,-90.775,0,1262.088,-7.762,-30.303,1264.476,3,"장덕춘_",-17.024,-53.781,0,0,0,0,0,0,0,2
14,1,0,0,0,0,0,1,0,0,0,255,255,255,5,1288.705,"하루（Haru）",R,0,53,111,1.559,0.709,0.206,2.037,-36.73,2,0,0,0,2.263,0,0,1,1,5,R,"sano jpn",171.1,91.796,0.304,3,97,1289.909,146,8,115,67,40,150,84,93.681,73.188,-0.81,-0.021,0.021,0.245,0,0.5,-0.171,-36.891,0,"TaeGeuk_",0.306,-17.956,0,"HANA_ARASHI",-21.412,-48.631,0,"장덕춘_",-12.803,-64.818,0,"Azuner",18.464,-51.118,0,"Pugeuk",8.318,-64.521,0,"Apple_Sherbet",42.175,-97.755,0,"magimari",-1.514,-107.785,0,"卯月満開",-39.928,-87.559,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
15,1,0,0,0,0,1,1,0,0,0,255,255,255,6,1317.758,"하루（Haru）",R,27,80,132,0.317,0.102,0.019,1.76,-36.257,2,0,35.895,-133.337,7.483,0,0,1,1,5,R,"sano jpn",171.1,91.796,0.304,3,75,1318.869,122,13,101,95,52,141,91,-13.572,38.047,-0.3,-0.011,0.022,0.196,0,0.436,-0.485,-36.893,0,"TaeGeuk_",0.279,-18.031,0,"HANA_ARASHI",-20.684,-48.109,0,"장덕춘_",-13.712,-64.309,0,"Azuner",18.105,-51.551,0,"Pugeuk",8.233,-65.049,0,"Apple_Sherbet",42.653,-100.133,0,"magimari",-1.62,-108.538,0,"卯月満開",-39.927,-89.439,0,0,0,0,1320.917,2,"HANA_ARASHI",-17.437,-43.318,0,0,0,0,0,0,0,2
