id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1503.203,"P0TA0",R,33,81,133,0.454,-0.25,0.008,1.763,-36.351,2,0,131.725,-17.996,4.023,0,0,1,0,5,R,"CVPileMaki",170.2,94,0.399,3,59,1504.334,197,17,107,89,55,150,129,27.111,24.639,0.44,0.009,-0.036,0.067,0,0.188,0.135,-36.999,0,"甲斐野柊太",-0.038,-16.211,0,"Nibi-chan",-21.704,-49.028,0,"カズティー",-15.089,-62.86,0,"あおいぬ",17.05,-43.051,0,"shimenawa",15.034,-63.861,75,"horisen",42.019,-99.641,0,"紅さかな",-0.1,-119.215,91,"Kenomo",-44.05,-91.53,0,1509.5,-26.179,-129.772,1511.4,7,"紅さかな",-22.655,-125.86,1,0,0,0,0,0,0,2
2,1,1,0,0,0,0,0,0,1,0,255,5,255,1,1547.982,"P0TA0",R,13,49,84,-1.393,-1.986,0.108,1.52,-36.746,1,0,-297.497,313.413,-23.531,-0.319,-19.439,0,1,1,L,"_Chun",190,80,0.455,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.284,-37.87,0,"甲斐野柊太",0.003,-16.313,120,"Nibi-chan",-18.673,-48.363,0,"カズティー",-14.332,-62.7,0,"あおいぬ",18.117,-41.591,0,"shimenawa",11.6,-63.195,0,"horisen",43.275,-100.616,0,"紅さかな",1.331,-121.154,0,"Kenomo",-39.94,-98.194,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,0,0,0,1,0,255,5,255,2,1560.635,"P0TA0",R,13,55,88,-2.254,-2.316,0.07,1.441,-36.72,1,0,-312.348,312.348,-30.31,-0.449,-20.05,0,1,1,L,"_Chun",190,80,0.455,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.342,-37.502,0,"甲斐野柊太",-0.067,-16.315,0,"Nibi-chan",-18.645,-48.301,0,"カズティー",-13.462,-63.058,0,"あおいぬ",18.377,-40.615,0,"shimenawa",8.76,-63.002,0,"horisen",43.264,-100.634,0,"紅さかな",1.002,-121.173,0,"Kenomo",-41.851,-95.803,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,0,0,0,1,0,255,5,255,3,1574.706,"P0TA0",R,32,51,110,0.45,-0.143,0.002,1.695,-36.646,2,0,250,-145.158,-13.845,0,0,1,1,1,L,"_Chun",190,80,0.455,3,59,1575.721,255,15,102,84,63,150,116,-6.297,9.119,0.88,-0.076,-0.041,0.184,0,0.23,-0.105,-37.436,0,"甲斐野柊太",-0.159,-16.363,0,"Nibi-chan",-18.584,-48.283,0,"カズティー",-13.412,-63.192,0,"あおいぬ",17.559,-42.16,0,"shimenawa",13.955,-63.02,107,"horisen",43.286,-100.427,0,"紅さかな",1.526,-121.173,0,"Kenomo",-43.251,-96.552,81,1575.983,-1.093,-28.806,1580.3,7,"紅さかな",-15.742,-117.51,1,0,0,0,0,0,0,2
5,1,1,1,0,0,0,0,1,0,0,1,255,255,4,1630.138,"P0TA0",R,3,49,86,0.56,-0.29,0.424,1.771,-37.144,2,0,-286.864,0,0.36,0,0,1,2,2,L,"Kr_Luna",190,95.2,0.505,3,59,1631.172,134,20,119,114,66,145,130,5.281,24.297,0.55,-0.011,0.014,0.06,0,0.156,0.072,-37.721,0,"甲斐野柊太",-0.07,-16.142,0,"Nibi-chan",-19.392,-41.856,84,"カズティー",-14.598,-63.112,87,"あおいぬ",17.665,-42.722,0,"shimenawa",14.077,-63.598,0,"horisen",43.891,-97.693,0,"紅さかな",2.418,-121.034,0,"Kenomo",-45.314,-96.419,0,1632.433,-15.241,-56.102,1632.883,3,"カズティー",-16.244,-58.469,0,0,0,0,0,0,0,2
6,1,1,1,0,0,0,2,0,0,0,255,255,255,5,1659.674,"P0TA0",R,3,49,85,-2.881,-1,0.123,1.597,-37.071,1,0,-327.079,0,-1.298,0,0,0,3,4,R,"なおｐ--",190,90.37,0.445,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,-37.349,0,"甲斐野柊太",-0.549,-16.263,0,"Nibi-chan",-21.564,-48.814,0,"カズティー",-15.053,-62.964,0,"あおいぬ",17.436,-43.015,0,"shimenawa",10.673,-63.504,0,"horisen",41.613,-99.957,0,"紅さかな",0.44,-121.907,0,"Kenomo",-47.006,-97.547,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,1,0,1,0,2,0,0,0,255,255,255,6,1672.086,"P0TA0",R,3,63,94,-3.408,-1.119,0.028,1.548,-36.741,4,0,-420.242,90.335,-7.923,-0.995,-16.825,1,3,4,R,"なおｐ--",190,90.37,0.445,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,-37.45,0,"甲斐野柊太",-0.822,-16.057,0,"Nibi-chan",-21.6,-48.735,0,"カズティー",-15.057,-62.894,0,"あおいぬ",17.442,-43.032,0,"shimenawa",13.283,-64.343,0,"horisen",41.61,-99.943,0,"紅さかな",0.624,-121.986,0,"Kenomo",-46.962,-97.366,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,1,0,1,1,2,0,0,0,255,255,255,7,1686.244,"P0TA0",R,13,48,83,-0.219,-2.221,0.387,1.622,-36.974,4,0,-274.407,343.137,-19.24,-0.069,-19.96,1,3,4,R,"なおｐ--",190,90.37,0.445,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,-37.617,0,"甲斐野柊太",0.004,-16.161,0,"Nibi-chan",-21.359,-48.775,0,"カズティー",-15.086,-62.911,0,"あおいぬ",17.459,-43.064,0,"shimenawa",10.146,-63.989,0,"horisen",41.602,-99.913,0,"紅さかな",0.311,-121.971,0,"Kenomo",-46.954,-97.405,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,1,2,2,0,0,0,255,255,255,8,1699.353,"P0TA0",R,28,64,119,0.247,-2.496,0.114,1.366,-36.694,1,0,85.339,-97.044,-2.646,0.045,-20.584,0,3,4,R,"なおｐ--",190,90.37,0.445,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,-37.609,0,"甲斐野柊太",0.082,-16.256,0,"Nibi-chan",-21.531,-48.764,0,"カズティー",-14.874,-63.114,0,"あおいぬ",17.414,-42.972,0,"shimenawa",10.424,-64.604,0,"horisen",41.588,-99.926,0,"紅さかな",0.783,-122.372,0,"Kenomo",-47.29,-96.641,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,1,0,2,2,2,0,0,0,255,255,255,9,1712.947,"P0TA0",R,13,57,90,-2.122,-2.529,0.121,1.502,-36.831,1,0,-222.946,400,-15.995,-0.362,-21.019,0,3,4,R,"なおｐ--",190,90.37,0.445,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.093,-37.56,0,"甲斐野柊太",-0.058,-18.328,0,"Nibi-chan",-21.581,-48.751,0,"カズティー",-14.914,-63.088,0,"あおいぬ",17.444,-43.01,0,"shimenawa",10.314,-64.82,0,"horisen",41.608,-99.94,0,"紅さかな",0.438,-119.83,0,"Kenomo",-47.55,-96.345,0,0,0,0,0,0,"",0,0,0,8,0,0,0,0,0,0
