id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1548.581,"なおｐ--",R,0,78,129,-0.567,0.138,-0.053,1.659,-36.47,0,0,0,0,0,0,0,0,0,5,R,"muyang_",172.6,80,0.446,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146,-37.232,0,"_Chun",0.094,-17.312,0,"Kr_Luna",-21.053,-52.783,0,"오띵__",-11.218,-65.995,0,"_AKASATA_",21.188,-49.58,0,"CVPileMaki",14.22,-64.035,0,"SFIDA",38.15,-91.039,0,"Multeinn",-0.851,-111.424,0,"NABIMan",-47.724,-88.904,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1562.926,"なおｐ--",R,0,92,140,1.415,0.316,0.132,1.688,-36.481,0,0,0,0,0,0,0,0,0,5,R,"muyang_",172.6,80,0.446,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121,-37.403,0,"_Chun",0.134,-17.358,0,"Kr_Luna",-20.701,-51.837,0,"오띵__",-11.295,-65.877,0,"_AKASATA_",21.236,-49.535,0,"CVPileMaki",14.398,-64.195,0,"SFIDA",38.583,-91.478,0,"Multeinn",-0.427,-108.784,0,"NABIMan",-47.749,-86.481,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1581.449,"なおｐ--",R,10,39,81,0.255,-2.767,0.035,1.309,-36.64,1,0,0,400,0,0.047,-20.591,0,0,5,R,"muyang_",172.6,80,0.446,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052,-37.426,0,"_Chun",0.106,-17.295,0,"Kr_Luna",-21.084,-49.8,0,"오띵__",-11.261,-65.962,0,"_AKASATA_",21.064,-49.423,0,"CVPileMaki",14.496,-64.22,0,"SFIDA",35.906,-92.54,0,"Multeinn",-1.146,-110.481,0,"NABIMan",-44.465,-89.695,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1597.326,"なおｐ--",R,0,80,132,0.195,0.521,0.049,1.742,-36.416,2,0,0,0,0,0,0,1,0,5,R,"muyang_",172.6,80,0.446,2,33,1598.32,255,16,128,71,50,150,84,97.746,80.611,-0.83,0.003,0.014,0.102,0,0.198,-0.04,-37.21,0,"_Chun",0.106,-17.364,0,"Kr_Luna",-20.959,-52.019,0,"오띵__",-11.174,-65.927,0,"_AKASATA_",21.26,-49.356,0,"CVPileMaki",14.363,-64.23,0,"SFIDA",36.011,-92.561,0,"Multeinn",0.177,-108.647,0,"NABIMan",-45.704,-90.755,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
5,1,1,0,0,1,2,0,0,0,0,255,255,255,4,1617.47,"なおｐ--",R,0,93,140,-0.013,0.417,-0.001,1.703,-36.442,2,0,0,0,0,0,0,1,0,5,R,"muyang_",172.6,80,0.446,2,33,1618.442,255,14,133,92,56,150,97,2.931,-15.43,-0.17,-0.005,-0.015,0.105,0,0.161,-0.148,-37.239,0,"_Chun",0.06,-17.241,0,"Kr_Luna",-21.163,-51.86,95,"오띵__",-11.943,-65.654,0,"_AKASATA_",22.425,-50.249,0,"CVPileMaki",14.543,-64.107,92,"SFIDA",38.283,-91.308,0,"Multeinn",-0.341,-110.906,0,"NABIMan",-44.65,-89.045,0,1619.509,5.894,-44.874,1620.642,5,"CVPileMaki",9.076,-60.421,0,0,0,0,0,0,0,2
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,1645.678,"なおｐ--",R,0,94,140,0.913,-0.296,0.085,1.581,-36.517,2,0,0,0,0,0,0,1,1,1,R,"-라후이-",190,95,0.501,3,58,1646.455,158,11,105,47,33,150,107,-29.958,-5.492,0.01,-0.019,-0.108,0.269,0,0.17,-0.024,-37.096,0,"_Chun",0.114,-17.278,0,"Kr_Luna",-19.758,-49.871,0,"오띵__",-12.751,-65.421,86,"_AKASATA_",22.972,-50.411,0,"CVPileMaki",14.351,-63.886,0,"SFIDA",29.13,-98.343,0,"Multeinn",-13.054,-116.982,85,"NABIMan",-50.946,-90.002,0,1646.609,0.308,-21.676,1652.575,7,"Multeinn",7.305,-98.355,1,0,0,0,0,0,0,2
7,1,1,0,0,0,0,1,1,0,0,1,255,255,6,1673.902,"なおｐ--",R,0,96,140,0.199,0.227,0.018,1.683,-36.525,2,0,0,0,0,0,0,1,2,2,R,"Dοpi",190,85,0.3,3,58,1674.815,156,11,108,72,36,150,130,102.56,-70.68,0.38,-0.024,-0.035,0.111,0,0.222,-0.108,-37.345,0,"_Chun",0.128,-17.194,0,"Kr_Luna",-19.47,-44.439,0,"오띵__",-13.684,-65.054,0,"_AKASATA_",22.589,-53.984,0,"CVPileMaki",9.178,-65.764,0,"SFIDA",41.477,-91.566,0,"Multeinn",-5.769,-114.946,0,"NABIMan",-45.418,-83.809,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
8,1,1,0,0,0,1,1,1,0,0,1,255,255,7,1695.987,"なおｐ--",R,10,45,98,1.754,-2.529,0.075,1.465,-36.612,2,0,-44.763,351.333,0,0.325,-20.927,1,2,2,R,"Dοpi",190,85,0.3,3,49,1697.108,148,10,69,67,60,142,34,-37.76,-27.214,0.92,-0.064,-0.097,0.103,0,0.398,-0.029,-37.493,0,"_Chun",0.269,-17.418,0,"Kr_Luna",-19.891,-46.817,63,"오띵__",-12.647,-65.666,0,"_AKASATA_",23.218,-53.822,120,"CVPileMaki",4.568,-63.719,0,"SFIDA",40.287,-91.176,0,"Multeinn",-4.596,-115.103,0,"NABIMan",-46.428,-85.335,0,1697.959,4.275,-26.381,1701.142,4,"_AKASATA_",14.951,-42.621,1,0,0,0,0,0,0,2
9,1,1,0,0,0,0,1,1,1,0,255,1,255,8,1727.081,"なおｐ--",R,0,77,128,0.684,0.467,0.064,1.713,-36.494,0,0,0,0,0,0,0,0,3,7,R,"ByeolBam",174.7,90,0.5,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138,-37.607,0,"_Chun",0.203,-17.287,120,"Kr_Luna",-19.427,-46.465,0,"오띵__",-14.104,-64.777,0,"_AKASATA_",21.636,-50.448,0,"CVPileMaki",10.833,-64.641,0,"SFIDA",40.213,-89.64,0,"Multeinn",-4.234,-109.661,0,"NABIMan",-45.511,-84.146,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,1,1,1,0,255,1,255,9,1747.751,"なおｐ--",R,3,44,81,-2.865,0.407,-0.117,1.75,-36.696,4,0,-326.177,3.577,0,0,0,1,3,7,R,"ByeolBam",174.7,90,0.5,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21,-37.534,0,"_Chun",-0.336,-17.097,0,"Kr_Luna",-20.084,-44.842,0,"오띵__",-13.846,-64.798,0,"_AKASATA_",22.973,-51.352,0,"CVPileMaki",8.657,-63.81,0,"SFIDA",39.83,-87.417,0,"Multeinn",-1.077,-105.75,0,"NABIMan",-45.294,-86.163,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
