id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1031.717,"Pugeuk",R,26,96,140,1.863,-2.08,0.208,1.035,-36.249,1,0,-128.595,-200,30.216,0.317,-17.206,0,0,5,R,"coder_",164.3,86.191,0.28,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,-37.516,0,"HalF_HearteD",0.099,-16.951,0,"Azuner",-24.174,-49.004,0,"장덕춘_",-12.515,-61.598,0,"bdg06213",17.367,-44.142,0,"HANA_ARASHI",13.264,-63.422,0,"Apple_Sherbet",42.239,-88.939,0,"하루（Haru）",-1.354,-111.825,0,"卯月満開",-42.353,-95.39,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1050.98,"Pugeuk",R,3,74,101,0.185,-0.423,0.463,1.353,-36.58,0,0,-459.091,0,13.961,0,0,0,0,5,R,"coder_",164.3,86.191,0.28,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,-37.301,0,"HalF_HearteD",0.179,-16.627,0,"Azuner",-24.17,-48.962,0,"장덕춘_",-13.563,-64.205,0,"bdg06213",14.439,-39.973,0,"HANA_ARASHI",13.208,-61.396,0,"Apple_Sherbet",41.374,-90.37,0,"하루（Haru）",-1.853,-111.36,0,"卯月満開",-38.624,-98.557,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1066.939,"Pugeuk",R,27,89,140,1.166,-2.449,0.137,1.006,-36.278,1,0,-106.754,-130.622,23.385,0.209,-18.771,0,0,5,R,"coder_",164.3,86.191,0.28,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,-37.191,0,"HalF_HearteD",0.156,-16.452,0,"Azuner",-24.211,-48.909,0,"장덕춘_",-13.361,-64.242,0,"bdg06213",17.859,-43.656,0,"HANA_ARASHI",11.22,-62.508,0,"Apple_Sherbet",40.066,-92.084,0,"하루（Haru）",-2,-109.47,0,"卯月満開",-42.753,-90.75,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,1081.952,"Pugeuk",R,12,78,113,1.303,-0.304,0.252,1.472,-36.477,2,0,0,136.654,6.826,0,0,1,0,5,R,"coder_",164.3,86.191,0.28,3,124,1083.092,199,12,172,101,44,150,95,2.06,43.08,-0.07,-0.05,-0.06,0.322,0,0.315,-0.005,-37.266,0,"HalF_HearteD",0.126,-16.747,0,"Azuner",-24.147,-48.886,85,"장덕춘_",-13.622,-64.564,0,"bdg06213",18.845,-45.261,0,"HANA_ARASHI",13.235,-62.531,0,"Apple_Sherbet",40.015,-92.166,0,"하루（Haru）",-2.246,-109.309,0,"卯月満開",-42.291,-91.013,0,1084.044,-12.691,-35.03,1085.015,2,"Azuner",-21.883,-45.845,0,0,0,0,0,0,0,2
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1111.126,"Pugeuk",R,26,86,140,2.317,0.073,0.238,1.355,-36.415,2,0,-92.239,-200,5.516,0,0,1,1,1,L,"encounter v",190,90,0.447,3,123,1112.193,249,15,44,97,57,134,110,100.905,69.706,0.83,0.015,-0.09,0.109,0,0.638,-0.584,-37.217,0,"HalF_HearteD",0.368,-16.762,0,"Azuner",-21.355,-48.073,0,"장덕춘_",-13.794,-64.685,0,"bdg06213",22.546,-50.462,0,"HANA_ARASHI",14.064,-62.804,0,"Apple_Sherbet",41.244,-89.303,0,"하루（Haru）",1.296,-107.647,0,"卯月満開",-40.045,-91.703,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,1131.781,"Pugeuk",R,6,76,103,2.07,-0.096,0.153,1.463,-36.385,2,0,468.182,0,25.054,0,0,1,1,1,L,"encounter v",190,90,0.447,3,122,1132.993,224,10,99,94,54,150,87,25.505,-31.756,0.95,0.027,-0.067,0.114,0,0.387,-0.335,-36.658,0,"HalF_HearteD",0.29,-16.49,0,"Azuner",-21.399,-48.006,0,"장덕춘_",-13.451,-64.625,0,"bdg06213",23.114,-50.416,0,"HANA_ARASHI",15.029,-61.832,0,"Apple_Sherbet",43.684,-89.521,89,"하루（Haru）",1.301,-106.298,0,"卯月満開",-39.438,-90.647,0,1137.507,46.053,-74.735,1137.665,6,"Apple_Sherbet",43.99,-72.456,0,0,0,0,0,0,0,1
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,1164.736,"Pugeuk",R,14,76,115,1.591,0.983,0.053,1.709,-36.445,1,0,303.173,397.601,3.821,0,0,0,2,4,R,"Slaris",190,86.36,0.452,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.364,-37.696,0,"HalF_HearteD",0.164,-16.215,95,"Azuner",-24.246,-49.078,0,"장덕춘_",-14.019,-64.453,0,"bdg06213",20.306,-50.178,0,"HANA_ARASHI",13.703,-62.283,0,"Apple_Sherbet",44.173,-95.655,0,"하루（Haru）",-5.039,-105.198,0,"卯月満開",-45.823,-100.473,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,0,2,0,0,0,255,255,255,7,1179.275,"Pugeuk",R,26,86,140,0.947,-0.882,0.123,1.171,-36.372,0,0,-128.791,-200,25.334,0,0,0,2,4,R,"Slaris",190,86.36,0.452,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,-37.171,0,"HalF_HearteD",0.157,-16.244,0,"Azuner",-24.249,-48.991,0,"장덕춘_",-13.97,-64.429,0,"bdg06213",22.381,-52.09,0,"HANA_ARASHI",14.117,-61.929,0,"Apple_Sherbet",43.48,-96.228,0,"하루（Haru）",-5.207,-107.014,0,"卯月満開",-45.783,-100.438,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,1,1,2,0,0,0,255,255,255,8,1194.145,"Pugeuk",R,14,78,116,2.578,0.197,0.118,1.563,-36.427,2,0,338.492,367.999,9.529,0,0,1,2,4,R,"Slaris",190,86.36,0.452,3,121,1195.121,255,14,5,46,57,27,59,-30,0.357,0.21,-0.09,0.014,0.443,0,0.911,0.071,-37.149,98,"HalF_HearteD",0.109,-16.452,0,"Azuner",-24.222,-48.978,0,"장덕춘_",-14.018,-64.366,0,"bdg06213",22.722,-51.775,0,"HANA_ARASHI",14.208,-62.334,0,"Apple_Sherbet",45.136,-98.692,0,"하루（Haru）",-5.366,-107.301,0,"卯月満開",-45.674,-100.263,0,1195.361,0.476,-21.981,1196.632,0,"Pugeuk",0.401,-33.989,0,0,0,0,0,0,0,2
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1403.287,"_이누_",R,28,90,140,-0.087,-0.241,-0.013,1.617,-36.368,0,0,22.168,-98.902,3.631,0,0,0,0,8,R,"卯月満開",171,90,0.2,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176,-37.191,0,"encounter v",-0.053,-17.136,0,"アリアル",-23.235,-47.888,0,"˗ˋˏ 카피 ˎˊ˗",-14.117,-64.354,0,"Slaris",22.087,-50.591,0,"coder_",11.908,-65.534,0,"소솨소솨",38.628,-85.311,0,"ke ro",-14.707,-110.171,0,"아침땅_",-41.796,-85.513,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,1,0,0,0,0,255,255,255,1,1416.71,"_이누_",R,26,93,140,0.046,-1.084,-0.008,1.609,-36.4,2,0,37.191,-194.58,8.435,0,0,1,0,8,R,"卯月満開",171,90,0.2,2,114,1417.7,215,6,107,61,26,150,91,-49.359,0.121,-0.41,-0.099,-0.058,0.027,0,0.228,-0.178,-36.68,120,"encounter v",-0.057,-17.227,0,"アリアル",-23.132,-47.843,85,"˗ˋˏ 카피 ˎˊ˗",-13.955,-64.495,0,"Slaris",22.128,-50.632,0,"coder_",10.487,-66.4,0,"소솨소솨",39.53,-86.16,0,"ke ro",-15.931,-109.974,0,"아침땅_",-41.687,-85.616,0,1417.882,0.007,-20.401,1419.302,0,"_이누_",-0.019,-35.937,0,0,0,0,0,0,0,2
12,1,0,0,0,0,0,1,0,0,0,255,255,255,2,1441.701,"_이누_",R,27,84,137,-0.489,1.375,-0.057,1.844,-36.503,1,0,43.521,-131.212,6.742,0,0,0,1,7,L,"하루（Haru）",164.8,80,0.553,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,-37.487,0,"encounter v",-0.045,-17.032,120,"アリアル",-22.063,-46.808,0,"˗ˋˏ 카피 ˎˊ˗",-15.451,-63.496,0,"Slaris",20.677,-49.645,0,"coder_",12.352,-66.098,0,"소솨소솨",40.905,-79.957,0,"ke ro",7.767,-104.982,0,"아침땅_",-32.924,-88.68,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,1,0,1,0,0,0,255,255,255,3,1456.847,"_이누_",R,27,89,140,-0.887,0.584,-0.1,1.728,-36.417,0,0,62.768,-141.147,8.347,0,0,0,1,7,L,"하루（Haru）",164.8,80,0.553,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027,-37.41,0,"encounter v",-0.029,-17.002,0,"アリアル",-22.03,-46.862,0,"˗ˋˏ 카피 ˎˊ˗",-15.376,-63.554,0,"Slaris",20.729,-49.608,0,"coder_",12.031,-64.892,0,"소솨소솨",41.732,-81.49,0,"ke ro",9.292,-106.003,0,"아침땅_",-32.613,-88.232,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,1,1,1,0,0,0,255,255,255,4,1475.003,"_이누_",R,14,68,110,1.618,-1.263,0.003,1.825,-36.458,1,0,379.597,325.432,3.39,0.551,-17.887,0,1,7,L,"하루（Haru）",164.8,80,0.553,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288,-37.316,0,"encounter v",0.247,-17.907,0,"アリアル",-22.019,-46.864,0,"˗ˋˏ 카피 ˎˊ˗",-13.868,-62.918,0,"Slaris",20.778,-49.663,0,"coder_",12.086,-64.784,0,"소솨소솨",42.441,-81.478,0,"ke ro",9.287,-106.009,0,"아침땅_",-31.333,-89.207,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,2,1,1,0,0,0,255,255,255,5,1490.399,"_이누_",R,0,72,125,0.83,-1.119,0.077,1.713,-36.436,4,0,0.704,0,4.465,0.119,-17.891,1,1,7,L,"하루（Haru）",164.8,80,0.553,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,-37.733,0,"encounter v",0.124,-17.608,0,"アリアル",-21.927,-46.851,0,"˗ˋˏ 카피 ˎˊ˗",-14.661,-63.54,0,"Slaris",20.821,-49.711,0,"coder_",12.165,-65.104,0,"소솨소솨",43.802,-83.619,0,"ke ro",10.342,-105.57,0,"아침땅_",-30.785,-89.583,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
