id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1608.371,"Pring__",R,26,87,140,-1.415,-0.455,-0.163,1.496,-36.118,0,0,134.226,-200,6.692,0,0,0,0,3,R,"sano jpn",167.9,90.796,0.324,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.181,-37.524,0,"ʚEveɞ",-0.216,-17.058,0,"Megu3568",-19.233,-45.838,0,"とりらむ",-12.982,-64.019,0,"인생최패망자",21.051,-51.098,0,"わだ、、",11.753,-64.225,0,"IbikiKai_JP",38.828,-87.971,0,"Gonyong",-10.822,-109.479,0,"SOM_candy",-45.488,-84.948,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1626.192,"Pring__",R,26,85,138,-0.599,1.108,-0.094,1.63,-36.218,0,0,140.416,-200,29.881,0,0,1,0,3,R,"sano jpn",167.9,90.796,0.324,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154,-37.66,0,"ʚEveɞ",-0.036,-17.089,0,"Megu3568",-19.412,-45.834,0,"とりらむ",-12.907,-64.123,0,"인생최패망자",20.802,-50.444,0,"わだ、、",12.112,-64.638,0,"IbikiKai_JP",38.616,-88.155,0,"Gonyong",-11.838,-110.851,0,"SOM_candy",-43.75,-84.223,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1645.232,"Pring__",R,13,87,111,-3.353,-1.093,-0.201,1.438,-36.067,1,0,-387.603,315.854,28.837,0,0,0,0,3,R,"sano jpn",167.9,90.796,0.324,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.337,-37.953,0,"ʚEveɞ",-0.404,-17.236,0,"Megu3568",-20.033,-43.78,0,"とりらむ",-12.998,-64.979,0,"인생최패망자",21.763,-52.154,0,"わだ、、",10.993,-64.245,0,"IbikiKai_JP",38.366,-88.357,0,"Gonyong",-11.816,-110.736,0,"SOM_candy",-44.359,-83.768,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1662.479,"Pring__",R,26,78,129,-2.3,-0.831,-0.227,1.433,-36.09,1,0,43.073,-200,18.613,0,0,0,0,3,R,"sano jpn",167.9,90.796,0.324,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.334,-37.793,0,"ʚEveɞ",-0.167,-17.006,0,"Megu3568",-19.014,-42.443,0,"とりらむ",-13.332,-64.505,0,"인생최패망자",21.251,-51.849,0,"わだ、、",10.715,-64.016,0,"IbikiKai_JP",38.38,-88.348,0,"Gonyong",-12.763,-113.276,0,"SOM_candy",-44.545,-83.631,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,1681.424,"Pring__",R,26,76,128,0.924,1.221,0.049,1.741,-36.289,2,0,117.451,-200,-9.437,0,0,1,0,3,R,"sano jpn",167.9,90.796,0.324,3,57,1682.596,98,8,44,88,37,120,77,110.219,-17.345,-0.23,0.018,0.035,0.075,0.048,0.399,-0.422,-36.694,0,"ʚEveɞ",-0.055,-17.15,0,"Megu3568",-19.101,-45.339,0,"とりらむ",-13.311,-64.703,0,"인생최패망자",21.241,-51.822,0,"わだ、、",11.235,-65.237,0,"IbikiKai_JP",38.368,-88.311,0,"Gonyong",-12.506,-110.494,0,"SOM_candy",-44.97,-84.391,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
6,1,1,0,0,2,2,0,0,0,0,255,255,255,5,1702.764,"Pring__",R,3,72,100,0.692,-0.487,0.391,1.507,-36.328,2,0,-454.546,0,-1.799,0,0,1,0,3,R,"sano jpn",167.9,90.796,0.324,3,57,1704.058,15,5,41,44,41,13,31,26.959,41.737,0.72,-0.011,-0.029,0.056,0,0.262,-0.28,-37.022,0,"ʚEveɞ",0.116,-17.083,0,"Megu3568",-19.772,-45.249,91,"とりらむ",-13.965,-64.185,0,"인생최패망자",21.715,-51.88,0,"わだ、、",12.015,-65.008,0,"IbikiKai_JP",37.829,-85.216,0,"Gonyong",-14.396,-110.965,0,"SOM_candy",-47.58,-80.792,0,1705.734,-7.759,-28.593,1707.551,2,"Megu3568",-13.589,-35.049,0,0,0,0,0,0,0,2
7,1,1,0,0,0,0,1,0,0,0,255,255,255,6,1734.926,"Pring__",R,13,77,104,-1.531,-0.728,0.038,1.584,-36.089,4,0,-369.138,312.348,14.696,0,0,1,1,8,R,"ゆっち一",180.2,83.623,0.42,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35,-37.518,0,"ʚEveɞ",-0.49,-17.232,120,"Megu3568",-19.525,-45.436,0,"とりらむ",-15.535,-62.493,0,"인생최패망자",21.348,-54.184,0,"わだ、、",10.721,-64.662,0,"IbikiKai_JP",43.533,-104.062,0,"Gonyong",-0.419,-126.47,0,"SOM_candy",-59.177,-100.156,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,1,0,0,0,255,255,255,7,1752.474,"Pring__",R,13,77,104,-1.185,-1.151,0.117,1.511,-36.095,2,0,-360.458,323.49,-7.705,0,0,1,1,8,R,"ゆっち一",180.2,83.623,0.42,3,72,1753.73,185,16,110,77,60,150,122,-10.026,-19.804,0.65,-0.071,-0.197,0.325,0,0.394,-0.136,-36.847,0,"ʚEveɞ",-0.412,-17.416,0,"Megu3568",-19.424,-45.238,92,"とりらむ",-15.593,-62.605,0,"인생최패망자",21.474,-54.396,0,"わだ、、",11.759,-64.36,93,"IbikiKai_JP",43.511,-104.023,0,"Gonyong",-0.426,-126.513,0,"SOM_candy",-59.294,-100.376,0,1753.868,0.787,-23.252,1755.651,5,"わだ、、",14.194,-60.852,0,0,0,0,0,0,0,2
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,1779.775,"Pring__",R,26,77,128,0.28,0.959,0.129,1.748,-36.19,0,0,121.856,-186.547,-3.483,0,0,0,2,1,R,"mochi_2929",190,95.142,0.445,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.477,-37.733,0,"ʚEveɞ",0.038,-16.938,0,"Megu3568",-19.306,-44.992,0,"とりらむ",-14.681,-64.573,0,"인생최패망자",19.676,-51.66,0,"わだ、、",11.227,-64.635,0,"IbikiKai_JP",37.781,-92.9,0,"Gonyong",-7.792,-123.442,0,"SOM_candy",-54.981,-97.759,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,2,0,0,0,255,255,255,9,1796.627,"Pring__",R,26,82,134,-1.646,-0.22,-0.033,1.52,-36.119,1,0,51.158,-200,2.98,0,0,0,2,1,R,"mochi_2929",190,95.142,0.445,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164,-37.625,0,"ʚEveɞ",-0.351,-17.289,0,"Megu3568",-19.346,-44.973,0,"とりらむ",-12.274,-64.059,0,"인생최패망자",19.55,-52.252,0,"わだ、、",12.274,-65.059,0,"IbikiKai_JP",37.84,-92.933,0,"Gonyong",-7.758,-123.24,0,"SOM_candy",-56.75,-98.281,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
