id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1440.221,"-라후이-",R,6,86,128,2.385,-0.129,0.327,1.409,-36.227,1,0,421.718,20.641,9.068,0,0,0,0,9,L,"ʚEveɞ",190,80,0.347,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,-36.919,0,"DoYaGee",0.056,-17.251,0,"Penguin_iDOL",-21.248,-47.909,0,"_앰프_",-11.955,-63.968,0,"peperon8655",21.549,-47.382,0,"muyang_",13.067,-63.992,0,"즉석카레",53.123,-97.538,0,"ByeolBam",1.294,-115.184,0,"Dοpi",-42.109,-90.803,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1453.412,"-라후이-",R,26,94,140,1.721,-0.777,0.459,1.13,-36.318,1,0,-177.252,-200,2.826,0,0,0,0,9,L,"ʚEveɞ",190,80,0.347,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,-37.093,0,"DoYaGee",0.054,-17.253,0,"Penguin_iDOL",-21.452,-47.67,0,"_앰프_",-11.954,-64.012,0,"peperon8655",21.489,-47.307,0,"muyang_",13.918,-64.017,0,"즉석카레",53.162,-97.552,0,"ByeolBam",-0.026,-119.058,0,"Dοpi",-43.03,-91.128,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,1468.497,"-라후이-",R,14,94,128,1.966,-0.871,0.326,1.548,-36.329,1,0,153.071,399.348,22.63,0,0,0,0,9,L,"ʚEveɞ",190,80,0.347,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,-37.461,0,"DoYaGee",0.036,-17.33,0,"Penguin_iDOL",-21.005,-48.126,0,"_앰프_",-11.223,-65.068,0,"peperon8655",21.589,-47.415,0,"muyang_",13.555,-63.981,0,"즉석카레",53.083,-97.529,0,"ByeolBam",0.224,-117.704,0,"Dοpi",-42.934,-91.056,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,3,0,0,0,0,0,255,255,255,3,1480.258,"-라후이-",R,26,92,140,-0.177,0.778,0.17,1.675,-36.243,0,0,-30.749,-189.893,9.841,0,0,1,0,9,L,"ʚEveɞ",190,80,0.347,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,-37.162,0,"DoYaGee",-0.032,-17.3,0,"Penguin_iDOL",-21.056,-47.634,0,"_앰프_",-13.95,-64.101,0,"peperon8655",21.57,-47.403,0,"muyang_",14.563,-63.577,0,"즉석카레",47.943,-99.822,0,"ByeolBam",-3.169,-118.019,0,"Dοpi",-45.016,-88.515,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,3,1,0,0,0,0,255,255,255,4,1493.2,"-라후이-",R,26,90,140,-0.752,0.654,0.107,1.644,-36.267,2,0,-69.911,-178.748,12.205,0,0,1,0,9,L,"ʚEveɞ",190,80,0.347,3,70,1494.273,255,15,117,48,14,150,103,14.566,-25.955,-0.16,0.102,-0.059,0.315,0,0.37,0.079,-36.788,0,"DoYaGee",-0.214,-17.388,0,"Penguin_iDOL",-21.063,-47.755,0,"_앰프_",-13.927,-64.069,80,"peperon8655",20.491,-46.805,0,"muyang_",14.57,-63.55,0,"즉석카레",52.787,-100.054,100,"ByeolBam",-2.295,-119.31,0,"Dοpi",-45.789,-90.235,0,1497.162,41.831,-79.798,1498.121,6,"즉석카레",48.858,-87.259,1,0,0,0,0,0,0,2
6,1,1,0,0,0,0,0,1,0,0,0,255,255,5,1523.007,"-라후이-",R,6,70,112,1.883,0.048,0.208,1.683,-36.425,2,0,466.303,28.944,0.089,0,0,1,1,2,R,"Megu3568",175.3,86,0.404,3,132,1524.192,255,8,103,100,18,150,97,46.15,-31.796,-0.22,-0.009,-0.034,0.2,0,0.573,0.175,-37.089,0,"DoYaGee",0.1,-17.399,0,"Penguin_iDOL",-18.657,-45.543,0,"_앰프_",-14.734,-62.452,88,"peperon8655",20.192,-46.229,0,"muyang_",13.192,-61.358,0,"즉석카레",50.076,-97.148,85,"ByeolBam",-0.008,-114.513,0,"Dοpi",-48.833,-93.623,0,1528.801,38.94,-83.552,1528.933,6,"즉석카레",37.714,-81.498,0,0,0,0,0,0,0,1
7,1,1,0,0,0,0,1,1,0,0,0,255,255,6,1549.014,"-라후이-",R,10,71,115,-1.034,-0.102,0.096,1.813,-36.577,0,0,77.099,369.264,22.284,0,0,0,2,7,R,"Gonyong",175.2,80,0.2,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135,-37.4,0,"DoYaGee",-0.151,-17.295,120,"Penguin_iDOL",-19.349,-41.587,0,"_앰프_",-14.685,-62.889,0,"peperon8655",19.873,-45.756,0,"muyang_",12.346,-60.053,0,"즉석카레",37.492,-99.423,0,"ByeolBam",0.278,-111.854,0,"Dοpi",-51.576,-94.14,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,1,1,0,0,0,255,255,7,1567.286,"-라후이-",R,14,76,115,1.83,-0.328,0.227,1.753,-36.407,1,0,358.302,348.74,3.174,0,0,0,2,7,R,"Gonyong",175.2,80,0.2,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,-37.955,0,"DoYaGee",0.074,-17.276,0,"Penguin_iDOL",-19.962,-43.017,0,"_앰프_",-13.68,-63.758,0,"peperon8655",19.9,-45.794,0,"muyang_",9.408,-61.452,0,"즉석카레",39.296,-102.044,0,"ByeolBam",1.502,-114.979,0,"Dοpi",-47.789,-95.672,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,1,1,1,1,0,0,0,255,255,8,1599.107,"-라후이-",R,29,80,131,1.238,0.065,0.36,1.59,-36.296,0,0,-157.479,-138.314,-4.836,0,0,0,2,7,R,"Gonyong",175.2,80,0.2,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,-38.186,0,"DoYaGee",-0.017,-17.203,0,"Penguin_iDOL",-19.425,-45.551,0,"_앰프_",-14.056,-63.361,0,"peperon8655",19.701,-46.269,0,"muyang_",9.181,-61.615,0,"즉석카레",39.566,-101.822,0,"ByeolBam",0.469,-113.093,0,"Dοpi",-47.69,-95.605,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,2,1,1,0,0,0,255,255,9,1614.749,"-라후이-",R,14,75,116,1.481,-0.971,0.271,1.7,-36.435,1,0,190.683,400,22.059,0,0,0,2,7,R,"Gonyong",175.2,80,0.2,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,-38.189,0,"DoYaGee",-0.003,-17.113,0,"Penguin_iDOL",-20.155,-42.883,0,"_앰프_",-9.897,-61.412,0,"peperon8655",19.712,-46.286,0,"muyang_",8.685,-62.141,0,"즉석카레",42.619,-98.734,0,"ByeolBam",0.447,-113.011,0,"Dοpi",-47.751,-96.24,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
