id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1212.882,"encounter v",R,32,92,140,0.994,0.606,0.592,2.266,0.054,1.712,-36.962,64.569,0,0,250,-200,-7.826,0,0,0,0,7,R,"장덕춘_",169.9,94.753,0.316,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,-37.363,0,"Pring__",0.03,-16.92,0,"白霜らいふ",-17.376,-44.853,0,"Riyaj",-12.734,-62.819,0,"인생최패망자",21.676,-50.94,0,"Muna_328",11.192,-65.42,0,"SFIDA",37.931,-106.983,0,"아침땅_",-7.515,-108.169,0,"Roscosmos",-41.251,-89.342,0,0,0,0,0,0,"",0,0,0,0,1214.449,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1229.479,"encounter v",R,13,93,126,-0.15,-0.045,0.703,2.334,0.574,1.959,-37.154,79.689,2,0,-390.434,312.348,-8.172,0,0,1,0,7,R,"장덕춘_",169.9,94.753,0.316,3,161,1230.466,179,84,92,69,36,145,129,-30,44.661,0.53,0,0.098,-312.355,509.885,7.624,0.369,-37.108,0,"Pring__",-0.041,-17.118,0,"白霜らいふ",-17.378,-44.898,0,"Riyaj",-13.041,-63.443,0,"인생최패망자",21.939,-51.25,0,"Muna_328",11.14,-65.178,0,"SFIDA",38.285,-106.461,0,"아침땅_",-9.272,-107.876,0,"Roscosmos",-40.934,-90.144,0,1230.637,-1.339,-20.346,0,0,"",0,0,0,0,,,,,2,3
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1259.182,"encounter v",R,10,90,128,-0.047,-0.774,0.576,2.036,-0.02,1.602,-36.665,45.581,2,0,0,400,-16.697,0,0,1,0,7,R,"장덕춘_",169.9,94.753,0.316,3,50,1260.124,164,52,57,75,35,137,126,-30,-31.479,0.53,0,0.109,-478.175,-70.126,192.487,0.169,-37.108,0,"Pring__",-0.014,-17.12,0,"白霜らいふ",-19.643,-46.512,85,"Riyaj",-14.699,-62.804,0,"인생최패망자",21.447,-50.226,120,"Muna_328",9.817,-65.487,0,"SFIDA",38.102,-105.988,0,"아침땅_",-11.689,-107.321,0,"Roscosmos",-42.468,-89.969,0,1260.324,0.553,-20.88,1261.762,4,"인생최패망자",16.667,-47.147,0,0,,,,,19,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1287.049,"encounter v",R,10,72,115,-2.119,-0.897,0.38,1.933,-0.931,1.275,-36.958,57.98,1,0,0,400,-80.907,-0.385,-18.065,0,1,0,L,"_Chun",190,80,0.455,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,-37.332,0,"Pring__",-0.048,-17.485,120,"白霜らいふ",-18.804,-48.727,0,"Riyaj",-11.199,-64.317,0,"인생최패망자",24.771,-50.419,0,"Muna_328",14.217,-63.877,0,"SFIDA",50.275,-102.476,0,"아침땅_",4.227,-110.229,0,"Roscosmos",-38.658,-95.118,0,0,0,0,0,0,"",0,0,0,0,1290.116,,,,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,1304.607,"encounter v",R,8,72,122,1.15,-1.476,0.55,1.745,0.327,0.666,-36.713,42.206,1,0,124.238,0,-91.501,0.221,-17.076,0,1,0,L,"_Chun",190,80,0.455,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,-37.488,0,"Pring__",0.062,-17.094,0,"白霜らいふ",-19.109,-48.45,0,"Riyaj",-11.337,-64.692,0,"인생최패망자",24.066,-49.632,0,"Muna_328",14.176,-63.913,0,"SFIDA",49.058,-102.357,0,"아침땅_",4.594,-111.027,0,"Roscosmos",-42.082,-98.234,0,0,0,0,0,0,"",0,0,0,0,1306.283,,,,0,0
6,1,1,0,0,2,0,1,0,0,0,255,255,255,5,1321.641,"encounter v",R,26,95,140,-0.631,-0.033,0.461,2.168,-0.554,1.389,-36.79,55.558,2,0,189.614,-200,-19.371,0,0,1,1,0,L,"_Chun",190,80,0.455,3,157,1322.57,146,95,84,56,25,142,129,-10.519,-34.814,0.68,0,0.183,-367.444,-377.287,283.277,0.195,-36.92,0,"Pring__",-0.009,-17.141,0,"白霜らいふ",-19.057,-48.399,0,"Riyaj",-11.314,-64.593,82,"인생최패망자",24.148,-49.815,0,"Muna_328",14.173,-63.868,0,"SFIDA",49.55,-101.96,85,"아침땅_",4.594,-111.059,0,"Roscosmos",-40.505,-98.588,0,1322.79,2.472,-22.975,1326.102,6,"SFIDA",42.951,-88.317,1,0,,,,,138,2
7,1,1,0,0,0,0,1,1,0,0,0,255,255,6,1355.779,"encounter v",R,32,91,140,0.868,0.29,0.59,2.23,0.048,1.588,-36.94,66.172,0,0,250,-200,-16.654,0,0,0,2,2,R,"あおいぬ",190,90.486,0.43,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,-37.429,0,"Pring__",-0.164,-17.109,0,"白霜らいふ",-18.957,-42.315,0,"Riyaj",-12.08,-64.06,0,"인생최패망자",20.454,-49.555,0,"Muna_328",7.609,-65.31,0,"SFIDA",37.574,-102.674,0,"아침땅_",-10.933,-109.266,0,"Roscosmos",-45.196,-96.427,0,0,0,0,0,0,"",0,0,0,0,1357.533,,,,0,0
8,1,1,0,0,0,1,1,1,0,0,0,255,255,7,1376.872,"encounter v",R,32,98,140,20.056,0.959,0.502,2.16,-0.365,1.362,-36.797,56.09,2,0,233.047,-200,-22.741,0,0,1,2,2,R,"あおいぬ",190,90.486,0.43,3,155,1377.893,113,104,43,110,61,120,122,-9.698,16.401,0.55,0,0.643,-134.386,158.282,40.53,0.135,-36.996,0,"Pring__",-0.03,-17.137,0,"白霜らいふ",-18.687,-42.841,0,"Riyaj",-11.877,-64.005,95,"인생최패망자",21.353,-50.064,0,"Muna_328",7.635,-65.311,94,"SFIDA",35.637,-103.792,0,"아침땅_",-10.924,-109.293,0,"Roscosmos",-47.221,-96.01,0,1378.151,-1.445,-24.524,1379.852,3,"Riyaj",-11.888,-59.585,0,0,1406.686,1382.612,,,242,2
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1509.327,"_Chun",L,10,82,124,1.714,-1.537,-0.044,1.525,0.747,1.069,-36.407,9.753,4,0,0,400,-1.659,0.515,-18.592,1,0,4,R,"인생최패망자",190,80,0.299,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.067,-37.509,0,"Sabo_10",0.514,-18.713,0,"あおいぬ",-17.821,-43.332,0,"Ayu_Yua",-15.831,-63.118,0,"559：広告",20.708,-48.668,0,"즉석카레",14.263,-63.233,0,"ディシジョン",46.322,-102.099,0,"장덕춘_",5.939,-114.368,0,"TaeGeuk_",-49.682,-94.791,0,0,0,0,0,0,"",0,0,0,0,1511.831,,,,0,0
10,1,0,0,0,0,1,0,0,0,0,255,255,255,1,1527.728,"_Chun",L,14,88,126,-0.948,-1.8,-0.172,1.45,0.152,0.826,-36.502,18.161,2,0,-372.92,333.063,-35.724,0,0,1,0,4,R,"인생최패망자",190,80,0.299,3,89,1528.627,219,139,117,122,92,145,120,101.22,-78.314,0.76,0,0.362,254.039,-533.907,95.962,0.049,-36.855,0,"Sabo_10",-0.131,-17.974,0,"あおいぬ",-17.63,-43.297,0,"Ayu_Yua",-16.016,-63.681,0,"559：広告",21.3,-49.257,0,"즉석카레",14.336,-63.741,0,"ディシジョン",46.053,-102.358,0,"장덕춘_",6.05,-114.51,0,"TaeGeuk_",-48.775,-95.032,0,0,0,0,0,0,"",0,0,0,0,,,,,2,3
