id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1465.273,"アリアル",R,0,88,140,-0.797,-0.381,0.574,1.273,-0.363,1.383,-36.683,28.045,0,0,0,0,0,0,0,0,0,2,R,"559：広告",190,90.035,0.23,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361,-37.492,0,"encounter v",-0.196,-17.4,0,"_이누_",-23.907,-46.934,0,"˗ˋˏ 카피 ˎˊ˗",-14.971,-63.311,0,"Slaris",21.819,-52.044,0,"coder_",11.301,-65.883,0,"소솨소솨",37.834,-87.425,0,"ke ro",3.573,-114.817,0,"Sabo_10",-47.564,-91.31,0,0,0,0,0,0,"",0,0,0,0,1465.825,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1477.64,"アリアル",R,3,87,126,-4.632,-0.428,0.501,1.279,-1.23,1.353,-36.751,27.792,4,0,-500,0,15.468,0,0,1,0,2,R,"559：広告",190,90.035,0.23,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425,-37.53,0,"encounter v",-0.656,-17.382,0,"_이누_",-22.41,-46.172,0,"˗ˋˏ 카피 ˎˊ˗",-14.371,-61.898,0,"Slaris",21.07,-52.924,0,"coder_",10.405,-65.811,0,"소솨소솨",38.654,-88.677,0,"ke ro",3.739,-113.637,0,"Sabo_10",-49.49,-89.259,0,0,0,0,0,0,"",0,0,0,0,1478.375,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1490.024,"アリアル",R,14,53,101,1.307,-1.321,0.628,1.264,0.149,1.407,-36.605,31.609,4,0,190.919,400,-26.733,0.262,-17.822,1,0,2,R,"559：広告",190,90.035,0.23,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516,-37.426,0,"encounter v",0.185,-19.703,0,"_이누_",-21.965,-46.946,0,"˗ˋˏ 카피 ˎˊ˗",-12.47,-61.695,0,"Slaris",21.271,-52.919,0,"coder_",8.496,-65.728,0,"소솨소솨",38.634,-88.686,0,"ke ro",3.698,-113.663,0,"Sabo_10",-47.225,-90.086,0,0,0,0,0,0,"",0,0,0,0,1490.825,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1509.747,"アリアル",R,0,87,140,1.525,1.645,0.755,1.534,0.642,2.536,-36.64,19.719,1,0,0,0,0,0,0,0,1,3,R,"sano jpn",169.7,91.796,0.379,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596,-37.74,0,"encounter v",-0.062,-17.33,0,"_이누_",-20.869,-46.588,0,"˗ˋˏ 카피 ˎˊ˗",-14.005,-64.102,0,"Slaris",19.755,-51.481,0,"coder_",11.558,-63.523,0,"소솨소솨",29.206,-86.701,0,"ke ro",1.411,-104.979,0,"Sabo_10",-41.804,-84.34,0,0,0,0,0,0,"",0,0,0,0,1510.275,,,,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,1520.419,"アリアル",R,10,53,103,0.47,0.84,0.632,1.593,0.187,2.742,-36.492,15.53,0,0,0,400,-28.11,0,0,0,1,3,R,"sano jpn",169.7,91.796,0.379,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422,-37.339,0,"encounter v",-0.064,-17.306,0,"_이누_",-20.16,-43.911,0,"˗ˋˏ 카피 ˎˊ˗",-13.81,-63.598,0,"Slaris",19.841,-51.44,0,"coder_",8.875,-64.282,0,"소솨소솨",29.812,-85.185,0,"ke ro",-1.529,-103.785,0,"Sabo_10",-41.282,-86.362,0,0,0,0,0,0,"",0,0,0,0,1521.141,,,,0,0
6,1,1,0,0,1,1,1,0,0,0,255,255,255,5,1532.896,"アリアル",R,0,86,140,2.439,1.019,0.837,1.454,1.038,2.185,-36.62,26.079,2,0,0,0,0,0,0,1,1,3,R,"sano jpn",169.7,91.796,0.379,3,79,1533.954,65,23,53,34,20,74,63,28.046,32.23,-0.76,-0.055,0.006,0,0.305,0.682,-37.01,0,"encounter v",-0.034,-17.356,0,"_이누_",-21.033,-46.454,99,"˗ˋˏ 카피 ˎˊ˗",-13.768,-63.459,0,"Slaris",20.132,-51.21,0,"coder_",11.159,-64.349,0,"소솨소솨",29.856,-85.181,0,"ke ro",-1.443,-104.164,0,"Sabo_10",-44.22,-87.994,0,0,0,0,1536.308,2,"_이누_",-20.276,-51.972,0,0,,,,,64,1
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,1554.883,"アリアル",R,0,87,140,0.05,0.291,0.635,1.369,0.004,1.806,-36.601,22.38,0,0,0,0,0,0,0,0,2,4,R,"にゃんこ3K",190,90.223,0.502,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742,-37.605,0,"encounter v",-0.078,-17.338,120,"_이누_",-22.845,-48.044,0,"˗ˋˏ 카피 ˎˊ˗",-14.473,-64.094,0,"Slaris",22.129,-52.362,0,"coder_",8.57,-64.413,0,"소솨소솨",33.087,-85.547,0,"ke ro",3.945,-104.952,0,"Sabo_10",-43.485,-90.525,0,0,0,0,0,0,"",0,0,0,0,1555.425,,,,0,0
8,1,1,0,0,0,1,2,0,0,0,255,255,255,7,1569.668,"アリアル",R,3,84,123,-4.588,0.719,0.48,1.435,-1.193,2.071,-36.694,16.875,1,0,-500,0,23.452,-3.831,-5.606,0,2,4,R,"にゃんこ3K",190,90.223,0.502,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,-37.806,0,"encounter v",-0.872,-16.875,0,"_이누_",-22.936,-48.25,0,"˗ˋˏ 카피 ˎˊ˗",-14.022,-64.108,0,"Slaris",22.932,-52.853,0,"coder_",9.763,-65.977,0,"소솨소솨",35.536,-86.982,0,"ke ro",1.737,-104.808,0,"Sabo_10",-44.402,-88.719,0,0,0,0,0,0,"",0,0,0,0,1573.958,,,,0,0
9,1,1,0,0,1,1,2,0,0,0,255,255,255,8,1586.824,"アリアル",R,0,82,134,0.383,0.47,0.683,1.396,0.147,1.916,-36.548,21.806,2,0,0,0,0,0,0,1,2,4,R,"にゃんこ3K",190,90.223,0.502,3,58,1587.884,246,113,121,108,68,145,100,-27.52,21.275,-0.12,-0.058,-0.171,0,0.384,0.483,-36.904,0,"encounter v",-0.049,-17.306,0,"_이누_",-23.354,-49.19,0,"˗ˋˏ 카피 ˎˊ˗",-13.65,-63.983,85,"Slaris",22.727,-52.804,0,"coder_",11.402,-65.819,0,"소솨소솨",35.556,-87.006,0,"ke ro",1.751,-104.71,0,"Sabo_10",-43.82,-91.114,0,1587.075,-0.766,-21.694,1589.225,3,"˗ˋˏ 카피 ˎˊ˗",-14.169,-56.867,0,0,1635.742,,,,104,2
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1781.699,"Espressο",R,26,114,140,1.48,0.927,0.755,1.761,0.509,1.893,-36.779,38.479,2,0,81.935,-200,-2.481,0,0,1,0,5,R,"coder_",164.1,86.079,0.3,3,58,1782.702,154,71,128,47,22,145,86,112.29,-55.594,-0.59,0.002,-0.009,0,0.227,0.117,-37.341,0,"ゆっち一",-0.075,-16.532,0,"559：広告",-18.841,-45.213,0,"sano jpn",-10.662,-52.298,0,"にゃんこ3K",18.002,-45.691,0,"쟈가리코",9.902,-64.426,0,"ぐだもん",31.002,-85.509,0,"alcohol500",-6.845,-110.523,0,"あくせる",-43.586,-88.826,0,0,0,0,0,0,"",0,0,0,0,,,,,0,3
