id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1656.216,"アリアル",R,14,51,98,3.473,-2.294,0.684,1.277,0.725,0.691,-36.772,36.672,1,0,346.221,314.607,-4.801,0.662,-19.862,0,0,0,L,"ʚEveɞ",190,80,0.347,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467,-37.992,0,"encounter v",0.047,-17.398,0,"_이누_",-21.219,-47.204,0,"˗ˋˏ 카피 ˎˊ˗",-9.33,-63.139,0,"Slaris",22.539,-52.606,0,"coder_",11.74,-65.544,0,"소솨소솨",42.648,-92.786,0,"ke ro",1.175,-113.523,0,"Sabo_10",-39.762,-87.908,0,0,0,0,0,0,"",0,0,0,0,1657.978,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1672.497,"アリアル",R,0,74,126,-1.468,-1.461,0.708,1.179,-0.66,0.7,-36.623,32.064,1,0,0,0,0,0,0,0,0,0,L,"ʚEveɞ",190,80,0.347,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503,-37.976,0,"encounter v",-0.037,-17.619,0,"_이누_",-22.206,-47.997,0,"˗ˋˏ 카피 ˎˊ˗",-9.702,-62.411,0,"Slaris",22.593,-52.584,0,"coder_",11.894,-65.353,0,"소솨소솨",41.364,-93.138,0,"ke ro",1.16,-113.571,0,"Sabo_10",-39.761,-87.553,0,0,0,0,0,0,"",0,0,0,0,1674.019,,,,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,1688.351,"アリアル",R,3,86,126,-0.025,1.268,0.792,1.502,0.752,2.416,-36.66,23.007,2,0,-500,0.278,10.771,0,0,1,0,0,L,"ʚEveɞ",190,80,0.347,3,136,1689.474,246,97,92,28,6,140,130,-30,-46.657,0.62,0.045,-0.013,0,0.336,0.525,-36.961,0,"encounter v",-0.15,-17.403,0,"_이누_",-22.441,-48.477,0,"˗ˋˏ 카피 ˎˊ˗",-14.032,-64.345,0,"Slaris",22.503,-52.519,0,"coder_",11.554,-65.689,0,"소솨소솨",41.363,-93.194,0,"ke ro",1.159,-113.587,0,"Sabo_10",-44.245,-90.698,0,1689.644,2.481,-20.9,0,0,"",0,0,0,0,,,,,0,3
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,1705.544,"アリアル",R,0,84,137,-0.997,0.302,0.593,1.397,-0.451,1.811,-36.645,17.308,0,0,0,0,0,0,0,0,0,0,L,"ʚEveɞ",190,80,0.347,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539,-37.703,0,"encounter v",-0.015,-17.356,0,"_이누_",-23.967,-47.663,0,"˗ˋˏ 카피 ˎˊ˗",-9.687,-64.89,0,"Slaris",23.262,-52.586,0,"coder_",12.31,-65.454,0,"소솨소솨",41.281,-92.669,0,"ke ro",0.757,-111.158,0,"Sabo_10",-42.883,-88.643,0,0,0,0,0,0,"",0,0,0,0,1707.068,,,,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,1719.903,"アリアル",R,14,52,100,2.577,-1.048,0.737,1.314,0.406,1.487,-36.59,28.539,4,0,332.182,341.296,4.246,0,0,1,0,0,L,"ʚEveɞ",190,80,0.347,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668,-37.791,0,"encounter v",-1.437,-20.92,0,"_이누_",-21.341,-46.473,0,"˗ˋˏ 카피 ˎˊ˗",-10.079,-64.326,0,"Slaris",23.215,-52.679,0,"coder_",11.994,-64.591,0,"소솨소솨",41.288,-92.63,0,"ke ro",0.777,-111.171,0,"Sabo_10",-44.73,-92.751,0,0,0,0,0,0,"",0,0,0,1,1721.665,,,,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,1741.257,"アリアル",R,0,88,140,0.501,-0.402,0.688,1.254,0.198,1.369,-36.697,28.482,2,0,0,0,0,0,0,1,1,2,L,"Pring__",190,94.516,0.485,3,134,1741.961,222,105,111,102,42,145,117,7.39,0.857,0.17,-0.011,-0.059,0,0.581,0.65,-37.021,0,"encounter v",-0.029,-17.484,96,"_이누_",-21.217,-49.821,0,"˗ˋˏ 카피 ˎˊ˗",-13.731,-63.833,0,"Slaris",23.274,-52.541,0,"coder_",11.106,-65.897,0,"소솨소솨",46.46,-100.308,0,"ke ro",1.357,-115.549,90,"Sabo_10",-49.257,-102.736,0,1744.241,5.867,-80.277,1745.971,7,"ke ro",11.25,-107.8,1,0,1756.255,1755.719,,,144,2
7,1,1,0,0,0,0,1,0,1,0,255,2,255,6,1785.785,"アリアル",R,0,86,139,1.174,1.79,0.751,1.553,0.489,2.651,-36.626,18.885,1,0,0,0,0,0,0,0,2,4,R,"Megu3568",175,86,0.404,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634,-37.79,0,"encounter v",-0.081,-17.224,120,"_이누_",-23.041,-46.74,0,"˗ˋˏ 카피 ˎˊ˗",-12.026,-63.972,0,"Slaris",21.896,-50.221,0,"coder_",7.804,-65.139,0,"소솨소솨",35.271,-91.357,0,"ke ro",-5.551,-111.514,0,"Sabo_10",-45.76,-94.268,0,0,0,0,0,0,"",0,0,0,0,1787.297,1788.203,,,0,0
8,1,1,0,0,1,0,1,0,1,0,255,2,255,7,1805.026,"アリアル",R,0,84,138,1.168,0.374,0.813,1.443,0.485,1.829,-36.69,22.738,2,0,0,0,0,0,0,1,2,4,R,"Megu3568",175,86,0.404,3,133,1806.101,255,47,108,68,20,145,128,-30,14.024,0.49,0.003,-0.011,0,0.559,0.675,-37.124,0,"encounter v",-0.05,-17.427,0,"_이누_",-21.751,-47.367,86,"˗ˋˏ 카피 ˎˊ˗",-14.016,-63.593,88,"Slaris",21.685,-50.041,86,"coder_",9.837,-63.579,0,"소솨소솨",35.364,-91.356,0,"ke ro",-5.555,-111.545,0,"Sabo_10",-47.627,-95.32,0,1806.221,-0.238,-20.641,1808.103,3,"˗ˋˏ 카피 ˎˊ˗",-10.21,-59.556,1,2,,,1811.28,,98,2
9,1,1,0,0,0,0,2,1,0,0,4,255,255,8,1836.234,"アリアル",R,0,84,137,1.927,0.439,0.803,1.368,0.816,1.85,-36.591,25.506,2,0,0,0,0,0,0,1,3,7,R,"Yaksok~",164.7,95.241,0.261,3,132,1837.061,212,119,70,11,0,129,122,-30,10.508,0.56,-0.06,0.011,0,0.535,0.45,-36.971,0,"encounter v",0.122,-17.446,0,"_이누_",-22.816,-49.245,96,"˗ˋˏ 카피 ˎˊ˗",-12.769,-62.549,0,"Slaris",21.343,-50.246,0,"coder_",8.84,-66.21,0,"소솨소솨",33.593,-86.782,0,"ke ro",-1.44,-106.119,0,"Sabo_10",-46.739,-91.584,0,1837.144,0.037,-20.58,1838.866,3,"˗ˋˏ 카피 ˎˊ˗",-6.721,-56.46,1,0,,1842.27,1847.02,,98,2
10,1,1,0,0,0,0,2,0,1,1,255,7,4,9,1972.87,"アリアル",R,3,81,121,-0.558,0.493,0.778,1.411,0.358,1.89,-36.659,23.814,0,0,-464.196,1.821,23.917,0,0,0,4,8,L,"SOM_candy",170.3,98.339,0.503,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454,-37.465,0,"encounter v",-0.12,-17.55,0,"_이누_",-20.571,-46.618,0,"˗ˋˏ 카피 ˎˊ˗",-9.37,-63.297,0,"Slaris",20.595,-49.677,0,"coder_",12.672,-63.675,0,"소솨소솨",41.999,-86.19,0,"ke ro",8.432,-110.425,0,"Sabo_10",-38.098,-85.45,0,0,0,0,0,0,"",0,0,0,0,1974.582,1975.685,1975.424,,0,0
