id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1541.685,"Pring__",R,3,80,108,1.606,0.311,0.523,1.527,1.28,1.788,-36.342,57.075,2,0,-383.98,0,5.085,0,0,1,0,5,R,"coder_",163.9,100.193,0.425,3,57,1542.933,4,7,36,0,0,1,32,8.999,40.768,0.65,-0.004,0.018,1,0.784,0.047,-36.616,0,"ʚEveɞ",0.116,-17.46,0,"Megu3568",-17.514,-44.104,0,"Fresh825",-10.887,-59.624,0,"인생최패망자",14.996,-44.345,0,"Yaksok~",10.59,-62.421,0,"IbikiKai_JP",46.671,-91.244,0,"Gonyong",-11.624,-114.059,0,"SOM_candy",-43.658,-84.735,0,1543.821,-4.942,-25.5,1548.738,0,"Pring__",-15.849,-41.218,1,0,,,,,8,2
2,1,1,0,0,0,0,0,1,0,0,5,255,255,1,1714.52,"Pring__",R,32,77,128,1.036,0.407,0.268,1.544,0.125,1.724,-36.403,54.466,0,0,250,-158.098,-5.344,0,0,0,1,0,R,"Slaris",190,86.36,0.452,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221,-36.802,0,"ʚEveɞ",0.093,-16.942,99,"Megu3568",-18.949,-42.162,0,"Fresh825",-15.527,-62.043,0,"인생최패망자",20.88,-55.003,0,"Yaksok~",5.32,-62.474,0,"IbikiKai_JP",53.313,-101.361,0,"Gonyong",1.537,-123.902,0,"SOM_candy",-56.203,-100.091,0,0,0,0,0,0,"",0,0,0,0,1715.821,,,,0,0
3,1,1,0,0,0,1,0,1,0,0,5,255,255,2,1732.251,"Pring__",R,3,65,95,-0.97,-0.32,0.367,1.401,0.506,1.447,-36.356,56.034,0,0,-431.818,0,-0.497,0,0,1,1,0,R,"Slaris",190,86.36,0.452,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-36.865,0,"ʚEveɞ",-0.064,-17.237,0,"Megu3568",-18.062,-43.424,0,"Fresh825",-15.505,-62.019,0,"인생최패망자",18.733,-53.295,0,"Yaksok~",2.138,-61.978,85,"IbikiKai_JP",59.258,-100.851,0,"Gonyong",1.536,-123.889,0,"SOM_candy",-57.107,-99.986,0,0,0,0,0,0,"",0,0,0,0,1733.738,1735.405,,,0,0
4,1,1,0,0,0,2,0,0,1,0,255,5,255,3,1756.472,"Pring__",R,32,89,140,-2.137,-0.89,-0.058,1.314,-1.202,0.898,-36.031,13.65,2,0,250,-200,45.246,0,0,1,1,0,R,"Slaris",190,86.36,0.452,3,73,1757.471,141,55,129,68,27,145,130,-30,16.685,0.45,-0.029,-0.095,0,0.179,-0.367,-36.769,0,"ʚEveɞ",-0.037,-17.154,0,"Megu3568",-18.42,-44.401,107,"Fresh825",-15.359,-63.672,99,"인생최패망자",20.021,-50.946,85,"Yaksok~",7.44,-59.225,0,"IbikiKai_JP",58.636,-101.489,0,"Gonyong",1.533,-123.908,0,"SOM_candy",-56.534,-99.794,0,1757.404,-0.74,-20.018,1759.104,3,"Fresh825",-12.284,-58.43,0,0,,,1762.079,,282,2
5,1,1,0,0,0,0,1,0,0,1,255,255,5,4,1787.748,"Pring__",R,14,72,112,-0.105,-1.187,0.082,1.422,-0.549,1.237,-35.907,19.131,1,0,364.629,342.12,-0.801,0,0,0,2,8,L,"Sabo_10",184.8,90,0.552,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.242,-37.494,0,"ʚEveɞ",0.401,-17.037,0,"Megu3568",-19.511,-46,0,"Fresh825",-10.197,-66.403,0,"인생최패망자",18.164,-42.526,0,"Yaksok~",14.777,-62.62,0,"IbikiKai_JP",58.182,-103.077,0,"Gonyong",15.192,-124.313,0,"SOM_candy",-35.764,-109.941,0,0,0,0,0,0,"",0,0,0,0,1789.071,,1790.452,,0,0
6,1,1,0,0,1,0,1,0,0,1,255,255,5,5,1809.555,"Pring__",R,32,84,137,-1.069,-0.66,-0.066,1.364,-0.77,1.044,-36.005,17.302,0,0,239.613,-200,24.859,0,0,1,2,8,L,"Sabo_10",184.8,90,0.552,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198,-37.441,0,"ʚEveɞ",-0.001,-17.162,0,"Megu3568",-19.468,-45.851,0,"Fresh825",-10.162,-66.369,0,"인생최패망자",19.191,-43.023,0,"Yaksok~",14.386,-62.908,0,"IbikiKai_JP",57.432,-102.605,0,"Gonyong",15.219,-124.261,0,"SOM_candy",-34.032,-111.426,0,0,0,0,0,0,"",0,0,0,0,1810.838,,1812.16,,0,0
7,1,1,0,0,1,1,1,0,0,1,255,255,5,6,1828.156,"Pring__",R,14,76,103,1.471,-0.147,0.108,1.705,0.025,2.004,-35.996,30.807,2,0,331.025,353.585,-15.586,0,0,1,2,8,L,"Sabo_10",184.8,90,0.552,3,57,1829.266,242,72,78,136,78,145,122,33.806,-43.663,0.24,0.07,-0.129,0,0.589,-0.16,-36.409,0,"ʚEveɞ",0.35,-17.447,0,"Megu3568",-19.413,-45.816,0,"Fresh825",-10.025,-66.221,0,"인생최패망자",19.526,-44.716,0,"Yaksok~",12.774,-60.3,0,"IbikiKai_JP",56.808,-101.658,0,"Gonyong",15.191,-124.459,0,"SOM_candy",-35.992,-109.512,0,1834.521,68.591,-109.104,0,0,"",0,0,0,0,,1839.249,1831.388,1839.846,8,4
8,1,1,2,0,0,0,1,0,0,0,255,255,255,7,1869.215,"Pring__",R,33,81,133,1.836,0.939,0.136,1.681,0.635,2.086,-36.216,47.525,1,0,136.504,-133.901,1.339,0,0,0,3,4,L,"눈꽃",190,90,0.5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.241,-37.737,0,"ʚEveɞ",0.137,-17.182,0,"Megu3568",-19.524,-45.87,0,"Fresh825",-9.019,-66.788,0,"인생최패망자",22.099,-48.817,0,"Yaksok~",12.607,-64.494,0,"IbikiKai_JP",57.57,-101.599,0,"Gonyong",2.569,-121.309,0,"SOM_candy",-42.947,-87.74,0,0,0,0,0,0,"",0,0,0,0,1870.804,,,,0,0
9,1,1,2,0,1,0,1,0,0,0,255,255,255,8,1887.423,"Pring__",R,26,92,140,-2.232,-0.751,-0.214,1.374,-0.997,1.091,-36.03,12.449,2,0,169.557,-200,38.968,0,0,1,3,4,L,"눈꽃",190,90,0.5,3,57,1888.611,137,173,24,122,99,81,66,105.9,50.407,-0.31,0.02,-0.113,0,0.404,-0.159,-37.116,0,"ʚEveɞ",-0.125,-17.212,0,"Megu3568",-19.404,-45.876,0,"Fresh825",-9.888,-66.561,0,"인생최패망자",23.246,-50.007,0,"Yaksok~",12.608,-64.5,0,"IbikiKai_JP",57.516,-101.635,0,"Gonyong",1.77,-121.197,0,"SOM_candy",-45.051,-89.859,0,1893.704,21.391,-1.195,0,0,"",0,0,0,0,,,,,8,3
10,1,1,2,0,1,1,1,0,0,0,255,255,255,9,1909.407,"Pring__",R,32,72,125,3.891,1.363,0.334,1.697,1.434,2.394,-36.484,63.168,2,0,158.394,-75.686,2.522,0,0,1,3,4,L,"눈꽃",190,90,0.5,3,86,1910.66,211,103,116,105,77,145,111,22.214,-46.894,0.89,-0.004,0.009,0,0.294,-0.048,-36.867,0,"ʚEveɞ",0.13,-17.228,0,"Megu3568",-19.462,-46.078,0,"Fresh825",-9.08,-66.852,86,"인생최패망자",23.391,-50.297,0,"Yaksok~",13.686,-64.367,0,"IbikiKai_JP",61.472,-98.25,92,"Gonyong",1.143,-120.399,0,"SOM_candy",-44.909,-90.498,0,1915.121,61.543,-94.555,1917.438,6,"IbikiKai_JP",61.955,-99.857,1,0,,1920.612,,,392,2
