id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,2097.977,"_Chun",L,0,130,0.945,1.166,0,-23.991,-89.959,0,0,1,0,7,R,"Pugeuk",160,97,0.598,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066,-37.775,0.089,-17.34,-20.372,-45.114,-13.171,-65.175,21.119,-47.055,13.61,-64.838,47.391,-94.001,-0.321,-114.75,-51.217,-92.923,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,2115.926,"_Chun",L,6,119,2.068,0.167,1,-500,0,0,0,0,0,7,R,"Pugeuk",160,97,0.598,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,-37.738,0.076,-17.337,-20.48,-45.163,-13.171,-65.158,21.259,-47.276,13.554,-64.838,47.423,-93.971,-0.579,-114.173,-51.023,-92.538,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,2132.247,"_Chun",L,0,134,1.58,1.19,2,-29.589,-111.01,0,0,1,0,7,R,"Pugeuk",160,97,0.598,3,59,2133.22,61,51,18,62,62,-29.236,1.55,-0.08,-0.008,-0.069,0.029,0,0,0,-0.069,-37.074,0.133,-17.329,-20.23,-45.22,-13.129,-65.199,21.166,-47.227,13.617,-64.824,47.41,-93.964,-0.555,-114.013,-51.308,-92.931,2133.403,0.237,-21.329,2134.786,0,"_Chun",-0.331,-35.653,0,0,0,0,0,0,0,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,2366.445,"_Chun",L,6,121,0.198,1.086,2,-495.573,0,0,0,1,1,3,R,"Oort__Cloud",160,89.754,0.2,2,59,2367.522,166,132,28,152,116,97.539,-61.426,0.8,-0.114,-0.047,0.495,0,0,0,-0.015,-37.22,0.072,-17.431,-21.23,-46.326,-13.23,-65.253,20.898,-46.921,13.333,-64.572,40.941,-93.788,-0.2,-111.053,-49.657,-89.683,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,2416.091,"_Chun",L,14,84,-1.43,-1.23,4,-268.422,355.591,-0.396,-18.432,1,1,3,R,"Oort__Cloud",160,89.754,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,-37.849,-0.212,-17.334,-19.611,-43.839,-13.213,-65.217,21.61,-47.923,13.525,-64.877,40.808,-93.831,-3.03,-109.262,-46.824,-84.47,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,2,1,0,0,0,255,255,255,5,2460.251,"_Chun",L,6,122,-2.033,-0.568,2,-407.263,0,0,0,1,1,3,R,"Oort__Cloud",160,89.754,0.2,2,59,2461.386,212,112,19,149,70,57.947,48.121,0.98,-0.119,-0.127,0.562,0,0,0,0.027,-37.416,-0.407,-17.303,-20.317,-45.242,-13.368,-65.126,21.977,-48.138,13.521,-64.789,42.05,-94.44,-4.02,-109.17,-48.573,-86.819,2466.203,-34.834,-50.974,2469.07,8,"NABIMan",-44.508,-61.038,0,0,0,0,0,0,0,2
7,1,1,0,0,0,2,1,0,0,0,255,255,255,6,2490.193,"_Chun",L,0,140,-0.877,-1.959,4,-26.044,-124.534,0,0,1,1,3,R,"Oort__Cloud",160,89.754,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.816,0.04,-17.359,-20.143,-41.62,-12.745,-65.042,22.244,-48.279,13.523,-64.849,39.88,-90.468,-1.71,-108.8,-51.435,-84.959,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,2520.031,"_Chun",L,0,139,-3.507,-0.151,1,-31.54,-124.582,0,0,0,2,5,R,"장덕춘_",170,94.815,0.549,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,-37.585,-0.23,-17.317,-20.495,-44.459,-13.163,-65.279,22.48,-48.841,12.955,-64.089,44.193,-91.505,1.554,-110.972,-51.613,-88.764,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,1,0,2,0,0,0,255,255,255,8,2540.571,"_Chun",L,10,113,0.38,1.583,2,0,400,0,0,1,2,5,R,"장덕춘_",170,94.815,0.549,2,59,2541.397,114,111,72,140,82,56.583,-8.209,-0.3,-0.016,-0.011,0.122,0,0,0,0.182,-36.939,0.059,-17.327,-20.351,-44.458,-13.152,-65.377,22.495,-48.856,13.632,-64.825,44.193,-91.524,2.15,-112.101,-51.603,-89.987,0,0,0,2547.336,3,"오띵__",7.126,-63.415,0,0,0,0,0,0,0,1
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,2700.058,"Apple_Sherbet",R,13,103,-2.136,-1.607,4,-280.027,400,-0.55,-18.41,1,0,3,R,"오띵__",164.1,90,0.405,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253,-37.397,-0.178,-16.988,-20.808,-46.132,-13.086,-64.662,22.985,-48.016,12.271,-64.262,39.63,-89.612,0.865,-119.19,-41.658,-98.156,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
