id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1992.876,"-Alta-",L,0,136,1.182,0.753,0,-82.723,-142.122,0,0,1,0,5,R,"coder_",164.7,107,0.268,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,-37.618,0.063,-16.552,-23.147,-47.067,-11.612,-59.436,17.935,-43.376,10.444,-63.448,37.902,-88.527,-0.416,-116.48,-41.926,-87.157,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,2012.653,"-Alta-",L,5,137,0.333,0.446,0,69.117,0,0,0,0,0,5,R,"coder_",164.7,107,0.268,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394,-36.614,0.054,-16.533,-23.234,-47.124,-10.865,-60.162,17.353,-43.83,9.611,-64.396,37.944,-88.736,-0.395,-116.577,-42.781,-87.612,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,2028.189,"-Alta-",L,4,133,0.976,0.889,0,210.497,0,0,0,0,0,5,R,"coder_",164.7,107,0.268,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,-36.905,0.074,-16.485,-23.271,-47.356,-10.849,-60.834,17.812,-43.418,10.679,-62.013,37.898,-88.877,-0.635,-117.088,-42.345,-88.215,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,2056.594,"-Alta-",L,3,128,1.572,-0.016,4,404.451,0,0,0,1,1,9,L,"encounter v",190,100,0.447,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,-36.79,0.18,-16.675,-23.222,-47.969,-9.63,-63.162,17.365,-43.972,12.092,-63.966,39.012,-82.243,0.501,-117.375,-40.835,-97.002,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,2071.017,"-Alta-",L,13,126,4.657,-1.822,4,417.71,274.806,1.001,-18.47,1,1,9,L,"encounter v",190,100,0.447,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379,-36.962,0.108,-16.558,-23.032,-47.953,-9.545,-63.189,17.413,-43.985,10.728,-62.77,39.953,-83.942,0.494,-117.385,-41.226,-97.032,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,2,1,0,0,0,255,255,255,5,2087.511,"-Alta-",L,0,135,-3.789,0.341,2,-82.45,-200,0,0,1,1,9,L,"encounter v",190,100,0.447,3,48,2088.548,206,180,20,155,98,98.176,-61.953,-0.31,0.123,-0.114,0.59,0,0,0,0.292,-36.737,0.02,-16.656,-22.245,-46.803,-9.34,-63.649,16.611,-44.345,13.498,-63.976,33.639,-87.588,0.401,-116.89,-41.88,-97.001,2095.486,-24.701,1.201,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,2,1,0,0,0,255,255,255,6,2109.392,"-Alta-",L,3,128,1.376,-0.044,0,414.068,0,0,0,1,1,9,L,"encounter v",190,100,0.447,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334,-36.936,0.019,-16.465,-23.053,-47.265,-9.733,-63.697,17.572,-44.306,13.693,-62.405,40.167,-80.374,0.472,-115.753,-41.83,-92.429,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,2130.56,"-Alta-",L,0,139,-0.45,0.722,2,-73.984,-141.342,0,0,1,2,1,L,"눈꽃",190,104.886,0.496,3,59,2131.425,230,120,25,153,96,-48.411,35.939,-0.45,-0.015,0.02,0.056,0,0,0,0.084,-36.63,0.017,-16.514,-22.376,-46.887,-9.691,-63.639,17.54,-44.676,14.548,-63.826,41.695,-88.296,-0.29,-115.997,-43.188,-91.136,2131.586,-0.855,-20.875,2133.686,2,"P0TA0",-18.041,-44.468,0,0,0,0,0,0,0,2
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,2357.95,"Slaris",R,0,140,-1.496,-0.318,1,-40.617,-200,0,0,0,0,6,R,"甲斐野柊太",190,86,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.406,-38.109,-0.072,-16.886,-20.73,-44.821,-14.115,-62.763,17.985,-48.337,11.036,-65.884,30.079,-85.555,-0.691,-104.563,-39.063,-86.159,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,1,0,0,0,0,0,255,255,255,1,2370.987,"Slaris",R,0,138,0.207,0.399,2,3.032,-182.111,0,0,1,0,6,R,"甲斐野柊太",190,86,0.2,2,36,2372.074,147,138,79,149,92,99.261,-77.065,-0.45,0.146,-0.118,0.33,0,0,0,-0.076,-36.73,0.043,-17.007,-23.168,-48.137,-14.83,-63.725,19.154,-50.37,11.45,-65.975,30.01,-85.601,-0.55,-104.501,-39.373,-87.16,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
