id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1367.696,"소솨소솨",R,3,104,0.682,-0.073,0.256,1.57,-36.905,0,0,-397.938,0,0,0,0,1,0,3,R,"mochi_2929",174.2,98.434,0.447,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112,-38.014,0,"ke ro",-0.069,-17.026,0,"アリアル",-22.462,-46.757,0,"아침땅_",-14.135,-64.539,0,"_이누_",19.98,-50.723,0,"coder_",12.467,-65.42,0,"Slaris",37.117,-87.269,0,"눈꽃",-5.154,-105.574,0,"Sabo_10",-41.914,-91.537,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1382.689,"소솨소솨",R,27,134,0.336,-0.531,0.054,1.461,-36.664,0,0,56.963,-101.915,0,0,0,0,0,3,R,"mochi_2929",174.2,98.434,0.447,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.959,0,"ke ro",-0.028,-17.101,0,"アリアル",-22.471,-47.086,0,"아침땅_",-13.915,-64.662,0,"_이누_",19.786,-50.844,0,"coder_",12.531,-65.48,0,"Slaris",37.301,-86.975,0,"눈꽃",-5.163,-105.602,0,"Sabo_10",-42.396,-91.963,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1398.768,"소솨소솨",R,10,117,-0.331,-2.742,0.048,1.487,-36.87,1,0,0,383.63,0,-0.052,-21.861,0,0,3,R,"mochi_2929",174.2,98.434,0.447,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.311,-37.918,0,"ke ro",-0.053,-17.047,0,"アリアル",-22.552,-46.848,0,"아침땅_",-14.201,-64.551,0,"_이누_",19.55,-50.88,0,"coder_",12.543,-65.387,0,"Slaris",34.217,-89.25,0,"눈꽃",-5.156,-105.602,0,"Sabo_10",-42.4,-91.977,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1413.017,"소솨소솨",R,0,123,-0.985,0.569,-0.051,1.667,-36.808,0,0,0,0,0,0,0,0,0,3,R,"mochi_2929",174.2,98.434,0.447,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.271,-37.784,0,"ke ro",-0.163,-17.065,0,"アリアル",-22.619,-46.777,0,"아침땅_",-15.148,-64.104,0,"_이누_",18.662,-51.199,0,"coder_",12.242,-65.605,0,"Slaris",38.543,-88.461,0,"눈꽃",-5.153,-105.521,0,"Sabo_10",-44.228,-88.309,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1441.335,"소솨소솨",R,3,111,1.672,0.43,0.339,1.645,-36.89,2,0,-351.062,0,0,0,0,1,1,6,R,"sano jpn",169.8,92.083,0.342,3,58,1442.525,119,12,85,45,24,85,138,90,90.623,-88.995,-0.23,-0.054,0.021,0.162,0.048,0.015,-37.917,0,"ke ro",0.035,-17.153,0,"アリアル",-22.604,-46.773,0,"아침땅_",-13.823,-62.847,0,"_이누_",17.335,-48.32,0,"coder_",11.028,-62.583,0,"Slaris",36.681,-87.454,0,"눈꽃",-1.961,-105.887,0,"Sabo_10",-36.782,-84.074,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,1459.984,"소솨소솨",R,3,113,-0.263,-0.182,0.172,1.592,-36.779,0,0,-401.959,107.878,0,0,0,0,1,6,R,"sano jpn",169.8,92.083,0.342,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.212,-38.13,0,"ke ro",-0.009,-16.897,0,"アリアル",-22.211,-45.795,0,"아침땅_",-14.074,-63.527,0,"_이누_",17.502,-49.401,0,"coder_",11.046,-62.903,0,"Slaris",35.633,-86.779,0,"눈꽃",-3.891,-103.346,0,"Sabo_10",-39.445,-82.648,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,2,1,0,0,0,255,255,255,6,1474.565,"소솨소솨",R,4,117,0.206,0.2,0.142,1.607,-36.683,2,0,-223.77,0,0,0,0,1,1,6,R,"sano jpn",169.8,92.083,0.342,3,58,1475.748,102,10,60,38,19,66,116,77,27.269,40.564,-0.15,-0.038,0,0.087,0,-0.038,-37.829,0,"ke ro",0.002,-16.971,0,"アリアル",-21.994,-46.047,0,"아침땅_",-14.24,-63.446,0,"_이누_",17.513,-49.409,0,"coder_",11.401,-62.786,0,"Slaris",36.089,-86.515,0,"눈꽃",-4.08,-103.329,0,"Sabo_10",-39.161,-82.932,0,1479.557,-41.017,-59.191,1481.053,8,"Sabo_10",-49.3,-66.944,0,0,0,0,0,0,0,2
8,1,1,0,0,0,2,1,0,0,0,255,255,255,7,1496.8,"소솨소솨",R,0,125,-1.621,1.032,-0.11,1.734,-36.773,2,0,0,0,0,0,0,1,1,6,R,"sano jpn",169.8,92.083,0.342,3,58,1497.962,68,12,59,30,16,69,92,94,-30,-15.651,0.71,-0.03,0.033,0.1,0,-0.298,-37.892,0,"ke ro",-0.11,-16.948,0,"アリアル",-22.955,-46.508,0,"아침땅_",-14.944,-63.189,0,"_이누_",17.565,-48.765,0,"coder_",10.839,-62.197,0,"Slaris",35.315,-85.359,0,"눈꽃",-4.381,-100.47,0,"Sabo_10",-40.818,-81.906,0,1498.138,0.196,-20.812,1500.332,5,"coder_",9.738,-54.792,0,0,0,0,0,0,0,2
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,1524.364,"소솨소솨",R,3,114,-2.571,-1.156,-0.064,1.434,-36.741,4,0,-405.984,233.336,0,0,0,1,2,1,R,"ゆっち一",190,89.623,0.46,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.252,-38,0,"ke ro",-0.115,-16.983,0,"アリアル",-22.705,-46.331,0,"아침땅_",-15.149,-63.821,0,"_이누_",18.938,-51.128,0,"coder_",10.753,-65.905,0,"Slaris",33.906,-93.947,0,"눈꽃",-7.668,-114.998,0,"Sabo_10",-44.833,-92.277,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,2,0,0,0,255,255,255,9,1538.86,"소솨소솨",R,0,129,3.147,0.451,0.333,1.664,-36.785,1,0,0,0,0,0,0,0,2,1,R,"ゆっち一",190,89.623,0.46,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-37.991,0,"ke ro",-0.01,-16.959,0,"アリアル",-22.269,-46.633,0,"아침땅_",-14.621,-64.025,0,"_이누_",18.797,-50.967,0,"coder_",11.485,-66.045,0,"Slaris",33.327,-94.508,0,"눈꽃",-3.085,-114.929,0,"Sabo_10",-39.659,-96.168,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
