id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,891.79,"Kenomo",R,34,133,-1.583,-0.261,-0.167,1.476,-36.629,1,0,64.632,-63.992,5.054,0,0,0,0,5,L,"눈꽃",174.9,80,0.496,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,-37.274,0,"あおいぬ",-0.15,-16.935,0,"Nibi-chan",-20.832,-46.565,0,"カズティー",-11.899,-58.459,0,"甲斐野柊太",18.137,-43.937,0,"shimenawa",13.807,-63.261,0,"horisen",44.961,-94.424,0,"紅さかな",1.089,-120.457,0,"Pizzallaris",-40.521,-94.838,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,908.999,"Kenomo",R,27,140,-2.056,-1.103,-0.213,1.322,-36.582,1,0,79.411,-130.783,12.485,0,0,0,0,5,L,"눈꽃",174.9,80,0.496,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,-37.422,0,"あおいぬ",-0.051,-16.87,0,"Nibi-chan",-20.915,-46.512,0,"カズティー",-11.682,-59.342,0,"甲斐野柊太",18.046,-43.852,0,"shimenawa",13.375,-64.306,0,"horisen",44.927,-94.366,0,"紅さかな",1.067,-119.816,0,"Pizzallaris",-40.538,-94.843,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,925.306,"Kenomo",R,34,122,0.596,1.152,0.036,1.709,-36.702,2,0,59.866,-42.754,4.152,0,0,1,0,5,L,"눈꽃",174.9,80,0.496,3,59,926.403,223,26,106,76,38,180,150,115,-0.229,4.855,0.87,0.036,0.004,0.089,0,-0.284,-37.164,0,"あおいぬ",-0.025,-17.051,0,"Nibi-chan",-20.85,-46.392,0,"カズティー",-11.612,-59.162,0,"甲斐野柊太",17.661,-43.734,0,"shimenawa",14.31,-64.172,0,"horisen",44.973,-94.424,0,"紅さかな",1.042,-119.808,0,"Pizzallaris",-40.546,-94.898,0,927.206,-1.619,-42.453,930.556,7,"紅さかな",-10.208,-106.951,1,0,0,0,0,0,0,2
4,1,1,0,0,0,0,0,1,0,0,5,255,255,3,957.698,"Kenomo",R,0,98,0.735,-0.612,0.103,1.367,-36.52,0,0,0,0,10.625,0,0,0,1,1,L,"encounter v",190,93,0.497,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.445,0,"あおいぬ",-0.087,-16.86,0,"Nibi-chan",-20.276,-44.055,0,"カズティー",-12.185,-60.277,0,"甲斐野柊太",18.743,-46.558,0,"shimenawa",8.394,-63.899,0,"horisen",46.682,-97.284,0,"紅さかな",1.519,-121.475,0,"Pizzallaris",-41.647,-99.582,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,1,0,1,0,0,5,255,255,4,974.79,"Kenomo",R,6,87,3.148,-1.238,0.183,1.351,-36.613,1,0,318.077,196.98,22.789,0,0,0,1,1,L,"encounter v",190,93,0.497,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,-37.561,0,"あおいぬ",0.451,-17.599,0,"Nibi-chan",-19.096,-46.183,0,"カズティー",-5.802,-62.482,0,"甲斐野柊太",18.525,-45.622,0,"shimenawa",0.722,-57.433,0,"horisen",46.653,-97.235,0,"紅さかな",1.207,-120.54,0,"Pizzallaris",-41.651,-99.567,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,1,0,0,1,0,255,5,255,5,994.186,"Kenomo",R,26,140,0.677,-0.437,0.045,1.41,-36.711,0,0,62.235,-165.057,4.717,0,0,0,1,1,L,"encounter v",190,93,0.497,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,-37.954,0,"あおいぬ",-0.085,-16.945,0,"Nibi-chan",-20.597,-46.32,0,"カズティー",-11.877,-59.754,0,"甲斐野柊太",19.387,-44.212,0,"shimenawa",11.042,-63.107,0,"horisen",45.305,-98.572,0,"紅さかな",2.64,-120.85,0,"Pizzallaris",-41.652,-100.41,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,2,0,0,1,0,255,5,255,6,1011.968,"Kenomo",R,0,140,-1.317,-0.127,-0.124,1.508,-36.635,0,0,6.172,-19.174,1.158,0,0,0,1,1,L,"encounter v",190,93,0.497,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,-37.838,0,"あおいぬ",0.062,-17.359,0,"Nibi-chan",-20.543,-46.258,0,"カズティー",-11.009,-59.959,0,"甲斐野柊太",18.641,-43.576,0,"shimenawa",9.697,-63.249,0,"horisen",45.211,-98.527,0,"紅さかな",1.616,-121.096,0,"Pizzallaris",-41.651,-100.406,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,1,0,1,0,255,5,255,7,1040.283,"Kenomo",R,13,99,-0.883,-1.332,0.369,1.718,-37.073,4,0,-250.251,400,6.598,0,0,1,2,4,R,"Slaris",190,86.36,0.452,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158,-37.511,0,"あおいぬ",0.125,-18.296,0,"Nibi-chan",-20.381,-45.001,0,"カズティー",-9.409,-60.534,0,"甲斐野柊太",18.317,-44.525,0,"shimenawa",1.3,-59.725,0,"horisen",43.879,-98.685,0,"紅さかな",1.314,-121.167,0,"Pizzallaris",-41.742,-99.889,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,1,0,1,0,255,5,255,8,1076.138,"Kenomo",R,26,129,-1.04,-1.7,-0.033,1.347,-36.585,2,0,98.412,-156.858,5.165,0,0,1,2,4,R,"Slaris",190,86.36,0.452,3,70,1077.057,159,12,105,50,22,144,144,100,-6.5,0.107,-0.34,-0.05,-0.08,0.21,0,-0.189,-37.085,0,"あおいぬ",0.015,-17.051,0,"Nibi-chan",-20.96,-46.849,0,"カズティー",-10.637,-60.07,0,"甲斐野柊太",18.538,-44.088,0,"shimenawa",9.833,-63.286,0,"horisen",45.134,-97.77,0,"紅さかな",2.472,-119.552,0,"Pizzallaris",-41.056,-98.21,0,1077.389,-0.022,-25.262,1079.323,5,"shimenawa",0.882,-61.888,1,1,0,0,0,0,0,2
10,1,1,0,0,0,0,2,1,0,0,4,255,255,9,1128.027,"Kenomo",R,26,137,0.308,-1.019,0.027,1.288,-36.629,1,0,10.117,-200,3.415,0,0,0,3,2,R,"アリアル",189.5,94.5,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,-37.78,0,"あおいぬ",0.046,-17.979,0,"Nibi-chan",-20.421,-46.46,0,"カズティー",-12.235,-58.918,0,"甲斐野柊太",17.839,-44.999,0,"shimenawa",7.983,-63.263,0,"horisen",42.94,-96.25,0,"紅さかな",1.014,-120.824,0,"Pizzallaris",-39.348,-101.47,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
