id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,2007.577,"_이누_",R,28,76,128,2.516,1.694,0.23,2.045,-36.727,1,0,60.338,-97.451,2.433,0,0,0,0,7,R,"紅さかな",172.5,87.576,0.452,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45,-36.917,0,"눈꽃",-0.013,-17.048,0,"Sabo_10",-21.301,-48.389,0,"˗ˋˏ 카피 ˎˊ˗",-13.616,-64.653,0,"Slaris",19.084,-49.428,0,"coder_",10.603,-65.844,0,"소솨소솨",40.656,-87.601,0,"ke ro",0.727,-109.481,0,"아침땅_",-43.948,-85.957,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,2021.024,"_이누_",R,28,93,140,-1.484,-0.553,-0.15,1.625,-36.21,1,0,42.586,-80.156,3.83,0,0,0,0,7,R,"紅さかな",172.5,87.576,0.452,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222,-37.401,0,"눈꽃",-0.074,-17.074,0,"Sabo_10",-22.595,-49.989,0,"˗ˋˏ 카피 ˎˊ˗",-13.597,-64.608,0,"Slaris",18.981,-49.434,0,"coder_",10.29,-66.397,0,"소솨소솨",40.712,-87.713,0,"ke ro",0.159,-109.487,0,"아침땅_",-43.832,-86.064,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,2034.354,"_이누_",R,27,64,120,3.23,1.739,0.22,1.977,-36.691,1,0,90.956,-113.865,2.261,0,0,0,0,7,R,"紅さかな",172.5,87.576,0.452,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.486,-36.915,0,"눈꽃",-0.229,-16.959,0,"Sabo_10",-22.342,-49.716,0,"˗ˋˏ 카피 ˎˊ˗",-13.654,-64.7,0,"Slaris",19.061,-49.474,0,"coder_",10.412,-66.295,0,"소솨소솨",40.667,-87.731,0,"ke ro",0.266,-108.513,0,"아침땅_",-43.831,-86.068,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,3,0,0,0,0,0,255,255,255,3,2050.047,"_이누_",R,27,83,136,1.419,1.496,0.106,1.935,-36.527,1,0,89.222,-135.507,4.129,0,0,0,0,7,R,"紅さかな",172.5,87.576,0.452,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.425,-36.933,0,"눈꽃",-0.244,-16.914,0,"Sabo_10",-21.679,-48.31,0,"˗ˋˏ 카피 ˎˊ˗",-13.644,-64.663,0,"Slaris",19.114,-49.393,0,"coder_",9.97,-66.392,0,"소솨소솨",40.675,-87.732,0,"ke ro",0.244,-108.514,0,"아침땅_",-43.839,-86.089,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,5
5,1,1,0,0,0,0,0,1,0,0,7,255,255,4,2076.033,"_이누_",R,26,86,140,0.27,0.516,0.004,1.776,-36.419,2,0,87.611,-162.631,4.069,0,0,1,1,5,L,"shimenawa",174.8,95.407,0.2,3,59,2077.112,122,17,124,75,0,141,127,113.226,44.967,0.43,-0.014,-0.03,0.181,0,0.235,-0.576,-36.945,0,"눈꽃",-0.067,-17.143,0,"Sabo_10",-19.571,-44.314,0,"˗ˋˏ 카피 ˎˊ˗",-13.57,-64.327,0,"Slaris",20.234,-50.836,0,"coder_",11.23,-64.86,0,"소솨소솨",44.705,-89.043,0,"ke ro",10.614,-113.692,0,"아침땅_",-36.264,-90.932,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
6,1,1,0,0,0,1,0,1,0,0,7,255,255,5,2093.455,"_이누_",R,27,75,127,1.201,1.408,0.092,1.927,-36.585,1,0,59.429,-125.475,4.694,0,0,0,1,5,L,"shimenawa",174.8,95.407,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.563,-37.196,0,"눈꽃",0.186,-17.115,0,"Sabo_10",-19.212,-45.251,0,"˗ˋˏ 카피 ˎˊ˗",-10.637,-64.101,0,"Slaris",22.263,-50.264,0,"coder_",6.561,-63.584,0,"소솨소솨",44.824,-88.967,0,"ke ro",12.525,-110.665,0,"아침땅_",-36.935,-91.841,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,1,0,1,0,0,7,255,255,6,2108.038,"_이누_",R,27,84,137,-0.812,0.222,-0.09,1.739,-36.368,0,0,50.601,-118.973,4.621,0,0,0,1,5,L,"shimenawa",174.8,95.407,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.65,-37.303,0,"눈꽃",-0.14,-17.037,0,"Sabo_10",-19.766,-42.943,0,"˗ˋˏ 카피 ˎˊ˗",-8.783,-63.795,0,"Slaris",21.09,-51.192,0,"coder_",7.3,-64.374,0,"소솨소솨",44.501,-89.228,0,"ke ro",12.527,-110.705,0,"아침땅_",-36.871,-91.765,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,2,0,1,0,0,7,255,255,7,2123.821,"_이누_",R,6,68,115,3.705,-0.046,-0.04,1.749,-36.408,2,0,314.148,26.536,-4.248,0,0,1,1,5,L,"shimenawa",174.8,95.407,0.2,3,59,2124.983,144,18,104,124,83,150,130,2.29,-37.372,0.61,-0.063,-0.028,0.047,0,0.154,-0.897,-36.597,0,"눈꽃",-0.049,-17.154,0,"Sabo_10",-19.2,-47.418,107,"˗ˋˏ 카피 ˎˊ˗",-12.862,-64.845,0,"Slaris",21.088,-51.054,72,"coder_",10.836,-63.499,0,"소솨소솨",38.576,-86.58,94,"ke ro",11.895,-111.671,0,"아침땅_",-36.882,-91.778,0,2125.656,18.883,-42.227,2131.005,6,"소솨소솨",60.558,-90.619,1,0,0,0,0,0,0,2
9,1,1,0,0,0,0,0,0,1,1,255,5,7,8,2160.595,"_이누_",R,28,74,127,1.011,1.252,0.063,1.989,-36.536,1,0,44.516,-97.36,3.192,0,0,0,2,4,L,"-Alta-",190.1,84,0.479,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,-37.28,0,"눈꽃",-0.06,-17.086,120,"Sabo_10",-20.522,-47.376,0,"˗ˋˏ 카피 ˎˊ˗",-7.974,-64.937,0,"Slaris",21.297,-49.541,0,"coder_",11.6,-64.847,0,"소솨소솨",43.694,-85.384,0,"ke ro",2.458,-119.486,0,"아침땅_",-32.589,-93.466,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,0,0,0,1,1,255,5,7,9,2175.976,"_이누_",R,11,80,125,2.17,-0.088,0.215,1.789,-36.474,1,0,-38.867,219.594,-1.064,0,0,0,2,4,L,"-Alta-",190.1,84,0.479,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156,-37.289,0,"눈꽃",0.073,-17.07,0,"Sabo_10",-20.911,-47.107,0,"˗ˋˏ 카피 ˎˊ˗",-7.03,-63.044,0,"Slaris",22.851,-48.059,0,"coder_",10.742,-64.458,0,"소솨소솨",44.224,-86.536,0,"ke ro",1.87,-119.209,0,"아침땅_",-32.574,-93.42,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
