id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,2053.372,"なおｐ--",R,0,88,140,1.35,0.543,0.126,1.744,0.584,1.95,-36.424,12.509,0,0,0,0,0,0,0,0,0,2,R,"559：広告",190,90.035,0.23,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31,-37.749,0,"Kr_Luna",0.017,-17.674,0,"_Chun",-22.429,-50.338,0,"오띵__",-12.654,-65.48,0,"_AKASATA_",23.948,-51.525,0,"CVPileMaki",14.382,-63.975,0,"M_lunatic",38.59,-96.408,0,"Multeinn",-4.612,-111.441,0,"NABIMan",-46.922,-90.436,0,0,0,0,0,0,"",0,0,0,0,2054.291,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,2072.302,"なおｐ--",R,0,95,140,1.595,0.06,0.148,1.651,0.69,1.648,-36.486,8.967,2,0,0,0,0,0,0,1,0,2,R,"559：広告",190,90.035,0.23,3,54,2073.376,255,114,89,108,61,145,89,104.062,76.049,-0.89,-0.042,-0.096,0,0.359,-0.122,-37.395,0,"Kr_Luna",0.136,-17.683,0,"_Chun",-22.368,-50.317,0,"오띵__",-12.588,-65.487,0,"_AKASATA_",22.033,-51.24,0,"CVPileMaki",14.394,-64.077,0,"M_lunatic",38.349,-96.026,0,"Multeinn",-7.286,-108.555,0,"NABIMan",-48.229,-90.892,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,2096.258,"なおｐ--",R,0,90,140,1.484,-0.166,0.114,1.646,0.53,1.633,-36.463,8.4,4,0,0,0,0,-0.341,-19.883,1,0,2,R,"559：広告",190,90.035,0.23,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056,-37.387,0,"Kr_Luna",0.007,-18.198,0,"_Chun",-22.419,-51.015,0,"오띵__",-12.489,-65.369,0,"_AKASATA_",22.521,-49.849,0,"CVPileMaki",14.386,-64.044,0,"M_lunatic",35.021,-93.29,0,"Multeinn",-6.213,-106.434,0,"NABIMan",-49.889,-91.182,0,0,0,0,0,0,"",0,0,0,0,2098.557,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,2127.314,"なおｐ--",R,0,83,136,-1.745,-0.102,-0.162,1.622,-0.755,1.541,-36.478,10.01,1,0,0,0,0,0,0,0,1,3,R,"sano jpn",169.7,89.796,0.314,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.266,-37.276,0,"Kr_Luna",0.02,-17.806,0,"_Chun",-21.652,-50.215,0,"오띵__",-12.616,-65.459,0,"_AKASATA_",23.155,-50.728,0,"CVPileMaki",11.196,-65.397,0,"M_lunatic",35.513,-94.58,0,"Multeinn",-2.648,-109.322,0,"NABIMan",-49.338,-93.816,0,0,0,0,0,0,"",0,0,0,0,2128.307,,,,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,2146.105,"なおｐ--",R,0,84,138,-1.031,-1.159,-0.096,1.459,-0.446,0.952,-36.486,7.675,1,0,0,0,0,0,0,0,1,3,R,"sano jpn",169.7,89.796,0.314,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213,-37.218,0,"Kr_Luna",0.012,-17.841,0,"_Chun",-22.175,-49.382,0,"오띵__",-13.34,-65.124,0,"_AKASATA_",23.603,-50.76,0,"CVPileMaki",10.388,-65.583,0,"M_lunatic",35.465,-94.602,0,"Multeinn",-2.421,-109.786,0,"NABIMan",-50.878,-95.944,0,0,0,0,0,0,"",0,0,0,0,2147.074,,,,0,0
6,1,1,0,0,2,0,1,0,0,0,255,255,255,5,2166.978,"なおｐ--",R,0,85,139,1.233,0.194,0.115,1.668,0.533,1.708,-36.562,12.789,0,0,0,0,0,0,0,1,1,3,R,"sano jpn",169.7,89.796,0.314,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168,-37.684,0,"Kr_Luna",0.038,-17.74,0,"_Chun",-22.032,-49.096,0,"오띵__",-12.759,-65.365,0,"_AKASATA_",21.129,-50.55,0,"CVPileMaki",10.397,-65.463,0,"M_lunatic",35.113,-94.759,0,"Multeinn",-2.149,-109.621,0,"NABIMan",-51.591,-96.207,0,0,0,0,0,0,"",0,0,0,0,2167.99,,,,0,0
7,1,1,0,0,2,1,1,0,0,0,255,255,255,6,2187.675,"なおｐ--",R,13,48,83,-1.996,-0.742,-0.014,1.751,-0.077,1.88,-36.835,12.525,2,0,-294.601,312.348,0,0,0,0,1,3,R,"sano jpn",169.7,89.796,0.314,3,53,2189.033,136,40,88,86,60,140,128,-1.248,1.358,0.57,-0.069,-0.026,0.476,0.309,-0.216,-37.5,0,"Kr_Luna",-0.079,-17.818,0,"_Chun",-21.669,-48.798,0,"오띵__",-12.877,-65.305,0,"_AKASATA_",20.62,-55.923,0,"CVPileMaki",8.275,-66.347,78,"M_lunatic",35.18,-94.924,0,"Multeinn",-2.261,-110.613,90,"NABIMan",-52.511,-96.051,0,2188.907,-0.903,-32.253,2191.791,7,"Multeinn",-5.386,-97.093,1,0,,,,,289,2
8,1,1,0,0,0,0,1,1,0,0,3,255,255,7,2217.687,"なおｐ--",R,10,48,99,-2.707,-1.352,-0.114,1.537,-1.174,1.305,-36.693,17.029,1,0,0,400,0,0,0,0,2,1,R,"ゆっち一",190,83.623,0.399,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.248,-37.497,0,"Kr_Luna",-0.108,-18.138,119,"_Chun",-20.762,-45.186,0,"오띵__",-12.415,-65.799,0,"_AKASATA_",18.786,-52.536,0,"CVPileMaki",0.495,-58.99,0,"M_lunatic",32.476,-104.192,0,"Multeinn",-9.034,-116.053,0,"NABIMan",-45.169,-101.632,0,0,0,0,0,0,"",0,0,0,0,2218.824,2220.489,,,0,0
9,1,1,0,0,1,0,1,0,1,0,255,3,255,8,2248.865,"なおｐ--",R,0,69,123,1.285,0.204,0.12,1.677,0.556,1.733,-36.525,15.217,0,0,0,0,0,0,0,1,2,1,R,"ゆっち一",190,83.623,0.399,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122,-37.254,0,"Kr_Luna",0.038,-17.66,0,"_Chun",-22.081,-48.99,0,"오띵__",-12.581,-64.107,0,"_AKASATA_",19.211,-44.932,0,"CVPileMaki",6.911,-65.35,0,"M_lunatic",32.298,-103.598,0,"Multeinn",-7.189,-111.668,0,"NABIMan",-45.01,-102.174,0,0,0,0,0,0,"",0,0,0,0,2249.824,2251.294,,,0,0
10,1,1,0,0,1,1,1,0,1,0,255,3,255,9,2271.074,"なおｐ--",R,10,45,97,-0.436,-2.509,-0.026,1.339,-0.188,0.759,-36.623,11.448,1,0,0,400,0,-0.081,-20.224,0,2,1,R,"ゆっち一",190,83.623,0.399,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.291,-37.688,0,"Kr_Luna",0.114,-17.765,0,"_Chun",-22.362,-49.662,0,"오띵__",-10.879,-63.533,0,"_AKASATA_",18.592,-40.488,85,"CVPileMaki",7.697,-65.774,0,"M_lunatic",32.543,-101.967,0,"Multeinn",-8.046,-112.85,0,"NABIMan",-46.768,-101.45,0,0,0,0,0,0,"",0,0,0,0,2272.307,,2273.656,,0,0
